Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	dataset	color
AQFR0001	AQFR0001	AQFR0001	Adult	black
AQFR0002	AQFR0002	AQFR0002	Adult	black
AQFR0003	AQFR0003	AQFR0003	Adult	black
AQFR0004	AQFR0004	AQFR0004	Adult	black
AQFR0005	AQFR0005	AQFR0005	Adult	black
AQFR0006	AQFR0006	AQFR0006	Adult	black
AQFR0007	AQFR0007	AQFR0007	Adult	black
AQFR0008	AQFR0008	AQFR0008	Adult	black
AQFR0009	AQFR0009	AQFR0009	Adult	black
AQFR0010	AQFR0010	AQFR0010	Adult	black
AQFR0011	AQFR0011	AQFR0011	Adult	black
AQFR0012	AQFR0012	AQFR0012	Adult	black
AQFR0013	AQFR0013	AQFR0013	Adult	black
AQFR0014	AQFR0014	AQFR0014	Adult	black
AQFR0015	AQFR0015	AQFR0015	Adult	black
AQFR0016	AQFR0016	AQFR0016	Adult	black
AQFR0017	AQFR0017	AQFR0017	Adult	black
AQFR0018	AQFR0018	AQFR0018	Adult	black
AQFR0019	AQFR0019	AQFR0019	Adult	black
AQFR0020	AQFR0020	AQFR0020	Adult	black
AQFR0031	AQFR0031	AQFR0031	Adult	black
AQFR0032	AQFR0032	AQFR0032	Adult	black
AQFR0033	AQFR0033	AQFR0033	Adult	black
AQFR0034	AQFR0034	AQFR0034	Adult	black
AQFR0035	AQFR0035	AQFR0035	Adult	black
AQFR0036	AQFR0036	AQFR0036	Adult	black
