CNGA1,CNG_CNGA1
CNGA2,CNG_CNGA2
CNGA3,CNG_CNGA3
CNGA4,CNG_CNGA4
CNGB1,CNG_CNGB1
CNGB3,CNG_CNGB3
GUCA1A,GCAP_GUCA1A
GUCA1B,GCAP_GUCA1B
GUCA1C,GCAP_GUCA1C
GUCY2D,GC_GUCY2D
GUCY2F,GC_GUCY2F
PDE6A,PDE6_PDE6A
PDE6B,PDE6_PDE6B
PDE6C,PDE6_PDE6C
PDE6G,PDE6_PDE6G
PDE6H,PDE6_PDE6H
RCVRN,Recoverin_RCVRN
RGS9,RGS9_RGS9
RGS9BP,R9AP_RGS9BP
GNB5,GB5_GNB5
SLC24A1,NCKX_SLC24A1
SLC24A2,NCKX_SLC24A2
SLC24A4,NCKX_SLC24A4
GNAT1,G_alpha_GNAT1
GNAT2,G_alpha_GNAT2
GNB1,G_beta_GNB1
GNGT1,G_gamma_GNGT1
GNGT2,G_gamma_GNGT2
ARR3,Arrestin_ARR3
SAG,Arrestin_SAG
CALM1,Calmodulin_CALM1
GRK1,RK_GRK1
GRK7,RK_GRK7
OPN1LW,Opsin_OPN1LW
OPN1MW3,Opsin_OPN1MW3
OPN1SW,Opsin_OPN1SW
OPN3,Opsin_OPN3
OPN4,Opsin_OPN4
OPN5,Opsin_OPN5
RHO,Opsin_RHO
RRH,Opsin_RRH
RGR,Opsin_RGR
ARRB1,Arrestin
ARRB2,Arrestin
CALML3,Calmodulin
CALML6,Calmodulin
CALML4,Calmodulin
CALML5,Calmodulin
GNB2,G_beta
GNB3,G_beta
GNB4,G_beta
GNB5,G_beta
GNG10,G_gamma
GNG11,G_gamma
GNG12,G_gamma
GNG13,G_gamma
GNG2,G_gamma
GNG3,G_gamma
GNG4,G_gamma
GNG5,G_gamma
GNG7,G_gamma
GNG8,G_gamma
GRK2,RK
GRK3,RK
GRK4,RK
GRK5,RK
GRK6,RK
GNAI1,Ga_C
GNAI2,Ga_C
GNAI3,Ga_C
GNAO1,Ga_C
GNAT3,Ga_C
GNAZ,Ga_C
MPDZ,INAD
PATJ,INAD
TRPC1,TRP
TRPC3,TRP
TRPC7,TRP
TRPC4,TRP
TRPC5,TRP
TRPC6,TRP
MYO3A,NINAC
MYO3B,NINAC
MYO16,NINAC
PLCH2,PLC
PLCG2,PLC
PLCG1,PLC
PLCD1,PLC
PLCB2,PLC
PLCB3,PLC
PLCL1,PLC
PLCB4,PLC
PLCH1,PLC
PLCZ1,PLC
PLCD3,PLC
PLCD4,PLC
PLCB1,PLC
PLCE1,PLC
PLCL2,PLC
ITPR2,IP3R
ITPR3,IP3R
ITPR1,IP3R
GNA14,Ga_R
GNA11,Ga_R
GNA15,Ga_R
GNAQ,Ga_R
ACTA1,Actin
ACTA2,Actin
ACTB,Actin
ACTBL2,Actin
ACTC1,Actin
ACTG1,Actin
ACTG2,Actin
ACTL6A,Actin
ACTL6B,Actin
ACTL7A,Actin
ACTL7B,Actin
ACTL9,Actin
ACTR1A,Actin
ACTR1B,Actin
ACTR2,Actin
ACTRT1,Actin
ACTRT2,Actin
ACTRT3,Actin
POTEI,Actin
DAGLB,DAGL
DAGLA,DAGL
PRKCG,PKC
PRKCB,PKC
PRKCA,PKC
PRKCH,PKC
PRKCI,PKC
PRKCE,PKC
PRKCQ,PKC
PRKCZ,PKC
PRKCD,PKC
PPEF1,rdgC
PPEF2,rdgC
CAMK2B,CamKII
CAMK2G,CamKII
CAMK2D,CamKII
CAMK2A,CamKII
