t31618aep|DTBP1_CHICK,0.00214623222046758
t36970aep|EXOS6_DANRE,0.19976181552191
t34456aep|TAF3_CHICK,0.283542254591526
t34453aep|RIFK_DROME,0.0089656727108501
t34450aep|KCNH5_MOUSE,0.0112554008473427
t36332aep|COPG2_ORYSJ,0.0112554008473427
t36336aep|CEP76_PONAB,0.0672106134452917
t35900aep|RHCG_XENTR,0.00802164627867945
t35903aep|S35E3_DANRE,0.234796582506504
t35908aep|CAF1A_CHICK,0.125656077622701
t32664aep|AQP9_HUMAN,0.0252022841426276
t32662aep|SERB_BOVIN,0.0578889140446948
t38110aep|P2R3C_HUMAN,0.0601103035776378
t33739aep|RPP14_MOUSE,0.0406014456869494
t33741aep|IFT20_DANRE,0.0620614949634247
t32685aep|RN146_XENTR,0.0183036024055141
t32692aep|GPTC4_XENTR,0.38728000276938
t35866aep|MEL2A_DANRE,0.171390876423331
t35863aep|SSPO_CHICK,0.000480188873444097
t35861aep|ABCBA_HUMAN,0.102894665523046
t35862aep|MEGF6_HUMAN,0.00155009179398748
t37371aep|IDI1_BOVIN,0.00740728347040155
t37374aep|VWDE_HUMAN,0.0112554008473427
t37381aep|RPAC2_BOVIN,0.151911188711288
t37368aep|PEX10_MOUSE,0.214316673811696
t37375aep|TC3A_CAEEL,0.0112554008473427
t32310aep|LSM1_HUMAN,0.0738593385490541
t32304aep|SWT15_VITVI,0.125925112169624
t33480aep|MSRB_METBF,0.355592086129724
t33080aep|KIF17_HUMAN,0.324234065871228
t33589aep|THAP2_MOUSE,0.0112554008473427
t32809aep|TRPA1_HUMAN,0.0224707896082035
t32810aep|NDUA5_BOVIN,0.238993613669914
t35724aep|SYF2_DANRE,0.510290644775402
t35979aep|ECI1_RAT,0.228369503894881
t35981aep|PRPF3_CHICK,0.264979324090745
t35982aep|NLTP_CHICK,0.177321737568444
t35993aep|VATE_DROME,0.180528009407367
t35988aep|CIA30_DROME,0.0872611110511154
t38633aep|DRG1_XENLA,0.152831979650178
t38636aep|ALG3_HUMAN,0.0453364211461386
t38647aep|RAP1_CAEEL,0.0112554008473427
t38646aep|PARG_BOVIN,0.0729134551365861
t37013aep|LAGE3_MOUSE,0.204026091632989
t34435aep|IMPTB_XENTR,0.058130309935434
t34431aep|RSPH1_HUMAN,0.00336007964417543
t34434aep|S12A8_XENLA,0.017895860424698
t34436aep|XRN1_HUMAN,0.295681414004974
t34428aep|SPC25_RAT,0.305909952564008
t34430aep|RPAP1_BOVIN,0.0807388247491777
t34429aep|PP4C_XENTR,0.422387009037137
t31844aep|TLL1_DANRE,0.0112554008473427
t31842aep|TERA_XENLA,0.202635526280397
t31849aep|TYPH_RAT,0.0120324109483669
t31847aep|RS2_ICTPU,0.837231646322483
t31848aep|SPCS3_CHICK,0.567237747912112
t34792aep|PTH2_BOVIN,0.163455854263385
t32481aep|GUAA_RAT,0.549624194666515
t32473aep|RB18B_DANRE,0.000627326524803284
t32475aep|WHITE_DROME,0.0393409475952693
t32470aep|LYRM2_MOUSE,0.0856859922185816
t31220aep|P52K_HUMAN,0.0112554008473427
t31227aep|SYCP2_RAT,0.0112554008473427
t31225aep|RT35_BOVIN,0.0975691782936998
t36650aep|ANKK1_MOUSE,0.0351235019865706
t37817aep|RS6_BRAFL,0.524139624243495
t37818aep|EF1A_HYDVU,0.33142029102776
t32256aep|P5CR1_BOVIN,0.648664932431175
t32261aep|GAPR1_HUMAN,0.0112554008473427
t32266aep|GGT1_PIG,1.70792226954595
t35085aep|RS30_ORYLA,0.044124838688301
t35075aep|COMD6_MOUSE,0.0334456973135042
t35552aep|DTL_CHICK,0.0225127976352166
t35549aep|PDRG1_RAT,0.238859927544047
t36397aep|ARMC7_MOUSE,0.0856579215831039
t36392aep|UTP15_HUMAN,0.417407347667837
t36391aep|HETE1_PODAS,0.0447833254195616
t35409aep|BTBD7_HUMAN,0.0336466167239425
t35401aep|LIN52_DANRE,0.0862965499472593
t35403aep|MYPN_MOUSE,0.0112554008473427
t33695aep|GID8_NEMVE,0.0402767688688591
t35845aep|TIM9_MOUSE,0.198244656352785
t35853aep|TM175_MOUSE,0.0112554008473427
t35848aep|MS3L1_PONAB,0.0376834582973858
t35846aep|SDHF3_NEMVE,0.235596599634837
t35847aep|PHF3_HUMAN,0.141979985554731
t35208aep|TTC28_MOUSE,0.0112554008473427
t35215aep|MTA1_HUMAN,0.5100243726973
t35204aep|RET_RAT,0.0112554008473427
t37316aep|ASPM_SHEEP,0.0465291900886961
t37317aep|ASPM_SAIBB,0.162861345064876
t36969aep|CISD3_HUMAN,0.194623457856404
t32614aep|XRRA1_MOUSE,0.0178208107444279
t32615aep|UNK_HUMAN,0.0655101456980184
t32633aep|MED16_XENTR,0.00064995802249212
t37951aep|MPU1_MOUSE,0.185799135650035
t37961aep|NRDC_MOUSE,0.121977662091534
t31825aep|F185A_MOUSE,0.221168784286937
t31819aep|CPSF1_BOVIN,0.107888551184602
t31818aep|DYR_AEDAL,0.0514816829547648
t31817aep|AKR1_YARLI,0.0224707896082035
t32420aep|RPE_HUMAN,0.00856244993093707
t32421aep|PCS3_LOTJA,0.047002046317831
t32422aep|UTP11_MOUSE,0.212514057642849
t32427aep|TBC20_MOUSE,0.14496006561471
t32416aep|COMD8_HUMAN,0.0954332713175951
t36953aep|RBM26_HUMAN,0.254587139228119
t36948aep|RM54_HUMAN,0.217871769193445
t33904aep|TFB1M_XENTR,0.102383236480835
t33907aep|BRAT1_MOUSE,0.0847559840119123
t33627aep|VMP1_DANRE,0.188216622384738
t33626aep|PFLD_ECOLI,0.0306016322648237
t31713aep|TBA_NOTVI,0.0422208414976103
t33193aep|RSBNL_HUMAN,0.0516106948646909
t33183aep|PNKP_HUMAN,0.138676164923158
t33195aep|RA54B_CHICK,0.00680640202274229
t33191aep|ALRA_DICDI,0.0631529744329161
t37623aep|RHES_HUMAN,0.026972701582918
t37622aep|NEK4_MOUSE,0.118418997652667
t37627aep|CD2B2_MOUSE,0.247254950800235
t37634aep|KELP_ARATH,0.483216903172431
t36963aep|PPID_HUMAN,0.0932003456677854
t36583aep|CSTF3_MOUSE,0.103127923469052
t36585aep|CALM_MACPY,0.00822537147733852
t34760aep|QORL1_MOUSE,0.0958468803943743
t34765aep|ZBED4_HUMAN,0.0112554008473427
t34759aep|TDRD5_AILME,0.0579670278229131
t34577aep|ARSB_RAT,0.0150964867680069
t34581aep|PELI1_MOUSE,0.0327653496928699
t38671aep|SETD7_HUMAN,0.0502835988264934
t38685aep|TBP_XENTR,0.0636482246043289
t38683aep|H10A_XENLA,0.221181712487163
t38674aep|S7A14_HUMAN,0.480142739286417
t38672aep|SHL2_ORYSJ,0.0178208107444279
t38687aep|PTPRD_MOUSE,0.0224707896082035
t36972aep|FUCM_HUMAN,0.102734483871088
t32855aep|ZN205_BOVIN,0.0221736503071844
t32845aep|KTI12_DANRE,0.144375117644947
t32852aep|NPC2_DROME,0.0219196354936571
t32851aep|STX18_HUMAN,0.286561452144663
t32840aep|CNOT2_HUMAN,0.220411173840925
t36483aep|TAF8_DANRE,0.140903372508124
t36499aep|S22A5_HUMAN,0.00109379136974391
t36488aep|TIGD2_MOUSE,0.0112554008473427
t36486aep|SCN1_HETBL,0.014578276489559
t38463aep|RS17_BOVIN,0.540356832393749
t38464aep|AB1G_ARATH,0.0112554008473427
t34603aep|RWDD1_RAT,0.197783083989385
t34608aep|CATL_SARPE,0.0224707896082035
t34605aep|CRFR2_XENLA,0.0364134662500776
t38358aep|PLK4_NEMVE,0.109482506697032
t38366aep|DDRGK_TRIAD,0.0774872125284568
t32782aep|ARGLA_DANRE,0.363628197857397
t37025aep|THG1_HUMAN,0.0654739669446544
t32780aep|TBRG1_XENTR,0.0131505287104025
t32786aep|SETD4_HUMAN,0.0228919520010913
t36257aep|EDIL3_MOUSE,0.033278555422478
t36261aep|CTU2A_XENLA,0.142150564489415
t36265aep|TXND_THEPA,1.09887016601452
t36270aep|Y1101_SYNY3,0.022606976144279
t36256aep|RTBS_DROME,0.0224707896082035
t37210aep|DPOD3_BOVIN,0.498295399053061
t37217aep|BAZ1A_HUMAN,0.43287634851887
t36465aep|PA1B3_RAT,0.0477807106534975
t36474aep|RT06_BOVIN,0.334464899916439
t36462aep|PAPOG_MOUSE,0.631774717506915
t36469aep|DNLI1_XENLA,0.526821201845423
t36466aep|TF2H1_HUMAN,0.265527573708864
t38654aep|BBS4_HUMAN,0.0547609670395919
t38667aep|CAH5_CAEEL,0.0112554008473427
t38657aep|CCD94_MOUSE,0.125545886674198
t38655aep|RRP44_HUMAN,0.571231705298589
t35885aep|PPR42_XENLA,0.0169335132728789
t35898aep|NPHP3_XENLA,0.0042449812554624
t38450aep|KCY_DANRE,0.170575620727119
t38457aep|RTEL1_DANRE,0.0455240946924586
t31916aep|ZCRB1_XENLA,0.123057246055536
t31921aep|NXF1_COTJA,0.19320319714504
t34560aep|AMPN_RAT,0.0123753836647152
t34555aep|TM107_DANRE,0.195054465836494
t34559aep|XPA_XENLA,0.26998577782981
t35295aep|RM09_RAT,0.159588247531745
t35307aep|DTD2_MOUSE,0.017427466753115
t37101aep|OTX2B_XENLA,0.00991616192916971
t34989aep|MOG1_BOVIN,0.0800584996864234
t34997aep|HBAP1_RAT,0.080958043226414
t34991aep|RBM25_MOUSE,0.3413245409869
t34996aep|RET_RAT,0.0235303116299439
t31900aep|FRIH_TREBE,0.0448692263012491
t31904aep|RPB11_MOUSE,0.269236477475232
t31908aep|RSLBA_HUMAN,0.0482201436062827
t31909aep|RBM25_MOUSE,0.530382826178209
t31899aep|AT1A_HYDVU,0.147887090746627
t31910aep|CAH1_RAT,0.0112554008473427
t38176aep|APC1_MOUSE,0.00367231099007428
t36373aep|RTXE_DROME,0.0336466167239425
t38183aep|APC_RAT,0.0643186169551693
t32713aep|SDA1_RAT,0.334604002615401
t32725aep|TIM10_CAEBR,0.00822537147733852
t32715aep|KCMA1_BOVIN,0.0112554008473427
t32719aep|T2FA_XENLA,0.325040962143634
t35366aep|XRN1_HUMAN,0.139842234884198
t35363aep|TMX2B_DANRE,0.0135695149796852
t35373aep|RS14_MARMM,0.416987602684507
t34194aep|THNS2_MOUSE,0.190565521138885
t34195aep|SAM9L_HUMAN,0.0075735132209438
t34183aep|TLN1_HUMAN,0.0585833401991657
t34191aep|SRSF7_BOVIN,0.978230923714394
t34186aep|BRPF1_HUMAN,0.0712626761761019
t32772aep|P4R3A_MOUSE,0.312552208490189
t32762aep|RAD50_MOUSE,0.249297687839784
t32760aep|BRM_DROME,0.915271327608805
t32779aep|SNR48_HUMAN,0.0998442324308186
t33154aep|OXR1_MOUSE,0.163384219663798
t33152aep|ANKY1_HUMAN,0.0112554008473427
t33149aep|TOLL6_DROME,0.0338283151711866
t36920aep|SWI5_HUMAN,0.0643313262695425
t36923aep|ZGRF1_MOUSE,0.117355149785315
t35000aep|S23IP_MOUSE,0.0597012436843023
t35013aep|HERC1_HUMAN,0.00684939955317053
t35014aep|HERC1_HUMAN,0.0305287151472794
t35011aep|HEMK1_HUMAN,0.0388367106950718
t32100aep|PRRT1_MOUSE,0.00203434634927579
t32102aep|KRI1_MOUSE,0.24280459710836
t32111aep|TAF9B_RAT,0.00797451011361596
t32101aep|NEK4_HUMAN,0.120434036749896
t32099aep|DDX46_MOUSE,0.344133033336153
t32107aep|PPIL4_HUMAN,0.452919095657745
t32313aep|USP9X_HUMAN,0.133444021804305
t32319aep|AAPK2_HUMAN,0.0139704325085244
t32315aep|IN80B_HUMAN,0.126786618281145
t32323aep|SYMC_XENLA,0.703162559614468
t36035aep|TCEA2_HUMAN,0.245032944788294
t34090aep|MYLK_RABIT,0.0112554008473427
t35701aep|HOME2_HUMAN,0.044781797339332
t35690aep|HMGX4_HUMAN,0.585661816164979
t32147aep|DDX10_HUMAN,0.419993256506422
t37177aep|MDC1_RAT,0.0611556353527561
t37182aep|HMCN1_HUMAN,0.0224707896082035
t37192aep|FBXW2_MOUSE,0.00656765594689376
t37187aep|CDK7_HUMAN,0.0637566136523279
t37178aep|MSH3_MOUSE,0.0112554008473427
t38445aep|ATRX_PONPY,0.143266432210454
t38446aep|RNF10_XENLA,0.0127309292725863
t38442aep|SMC1A_HUMAN,0.462325033060388
t38440aep|AGGF1_MOUSE,0.190508721817413
t38435aep|DHX9_XENLA,0.86124143248674
t36566aep|YRD6_CAEEL,0.0112554008473427
t36568aep|POL_SIVEK,0.0224707896082035
t36571aep|FL2D_DANRE,0.240430395539889
t36569aep|BCD1_PONAB,0.209023801213123
t36557aep|DHSO_BOVIN,0.821338325582977
t36736aep|ARP8_SALSA,0.235680019905696
t36749aep|NEMP1_XENTR,0.0701177884916361
t36744aep|ZER1_HUMAN,0.0268982668236864
t36735aep|S30BP_HUMAN,0.265622196033797
t36741aep|DYHC1_MOUSE,0.0949856106022588
t38618aep|MOS1T_DROMA,0.0112554008473427
t38616aep|G3ST1_HUMAN,0.171088190920137
t38621aep|MOCS3_AEDAE,0.126810931275895
t38617aep|U2AFM_HUMAN,0.285072456954271
t34473aep|PGBD4_HUMAN,0.0112554008473427
t34465aep|NPHP4_MOUSE,0.0947006247002681
t34481aep|PYM1_BOVIN,0.0521934619658625
t34477aep|HGH1_DROME,0.478607912225227
t34670aep|VKORL_HUMAN,0.155765938062783
t37723aep|INTU_BOVIN,0.0708866394924714
t37717aep|TSAL_GEOSL,0.116722924430454
t32504aep|RPN2_PONAB,0.674170593880821
t32508aep|CLK2_MOUSE,0.322322834774187
t32518aep|PTHD3_MOUSE,0.00346163515757781
t32519aep|PTR36_ARATH,0.0336466167239425
t32496aep|CNR1A_TAKRU,0.370426529790824
t32515aep|ZFY26_BOVIN,0.014140499761111
t32494aep|RBM45_MOUSE,0.125481681354396
t36989aep|GPX5_PIG,0.0215359156423991
t36976aep|WBS22_MOUSE,0.149771557085724
t36974aep|CNFNA_XENLA,0.0112554008473427
t36990aep|TV23B_BOVIN,0.209506715454196
t36996aep|MPIP1_HUMAN,0.123324594844132
t36997aep|CYSP2_LEIPI,0.0112554008473427
t37006aep|SVIL_MOUSE,0.0520530480947025
t35158aep|LITH_RAT,0.00241053872486757
t35160aep|ZN862_HUMAN,0.00544726185301104
t35150aep|FEM1C_MOUSE,0.00309629158458638
t35148aep|MT21D_MOUSE,0.0490912983243416
t35154aep|DJC17_BOVIN,0.177326264386102
t35155aep|PRS8_DROME,0.195786260650892
t37975aep|ZNHI1_HUMAN,0.496245757237877
t37986aep|TIDC1_HUMAN,0.187160476845436
t37987aep|MET17_MOUSE,0.10843311687045
t37978aep|HDGF_RAT,1.0489214401575
t33520aep|DDX17_MOUSE,0.821129270066309
t33498aep|DDX51_DANRE,0.104112062700664
t33519aep|CCD25_DANRE,0.0295890296772706
t33502aep|RET_RAT,0.0215458401129421
t38571aep|VLDLR_HUMAN,0.135771277344422
t38575aep|CC146_RAT,0.0198091178063406
t38572aep|TADA1_RAT,0.0782233604568327
t38574aep|DDX31_MOUSE,0.162347842336039
t31271aep|GAB1_MESAU,0.0455240946924586
t31280aep|ANKL1_HUMAN,1.28923695816182
t31269aep|DALD3_RAT,0.303532247895904
t33777aep|IKBP1_HUMAN,0.0716957643944714
t33775aep|UB2G2_PONAB,0.0360781019276487
t33778aep|LARP1_MOUSE,0.904447557451981
t31935aep|AP4S1_HUMAN,0.024107504814678
t31936aep|PRRT1_MOUSE,0.0224707896082035
t31938aep|UCP4_HUMAN,0.0409482334496193
t31956aep|ARID2_HUMAN,0.225240162899971
t31930aep|GXN_ACRMI,0.0142472873460164
t32745aep|PRRT1_MOUSE,0.024013141337982
t32747aep|ZIC2B_XENLA,0.00475854787044339
t32740aep|KLC4_HUMAN,0.00508611099563685
t33590aep|STS_HUMAN,0.11536189044884
t33591aep|EXOS4_BOVIN,0.273047296514467
t33603aep|XPP1_MOUSE,0.339348901034305
t32376aep|FA96A_HUMAN,0.185971887656871
t32369aep|GAPR1_HUMAN,0.00581302302305001
t38580aep|BCOR_HUMAN,0.0148527636840132
t38579aep|CB069_DANRE,0.153167817976427
