t34453aep|RIFK_DROME,0.0155388661420182
t36329aep|FGOP2_CHICK,0.121006303877246
t31838aep|STXB1_RAT,0.0817280861399427
t38110aep|P2R3C_HUMAN,0.103609018541308
t38118aep|AGRIN_MOUSE,0.0590803951043401
t38117aep|SAXO1_RAT,0.305303973081636
t32693aep|S27A4_HUMAN,0.453411546835439
t35866aep|MEL2A_DANRE,0.0203488451191875
t35863aep|SSPO_CHICK,0.0516793333139426
t37368aep|PEX10_MOUSE,0.0737776105625181
t32305aep|PPCT_MOUSE,0.0295170177243084
t33480aep|MSRB_METBF,1.20767793277804
t33080aep|KIF17_HUMAN,0.772482534737868
t32812aep|TCB2_CAEBR,0.0624545452878409
t35981aep|PRPF3_CHICK,0.130858390151174
t38636aep|ALG3_HUMAN,0.0940676084950006
t34431aep|RSPH1_HUMAN,0.0210312995124547
t34428aep|SPC25_RAT,0.0194461951707394
t34430aep|RPAP1_BOVIN,0.0196682998780645
t31848aep|SPCS3_CHICK,0.622461605353317
t34802aep|PISD_CRIGR,0.0421605980729099
t34796aep|PCMD2_BOVIN,0.0780095020556327
t32470aep|LYRM2_MOUSE,0.200704345823391
t31220aep|P52K_HUMAN,0.0624545452878409
t37816aep|LRP2_RAT,0.029442512253436
t32256aep|P5CR1_BOVIN,1.2127602338557
t32261aep|GAPR1_HUMAN,0.716359067143238
t32266aep|GGT1_PIG,3.42349899064957
t32269aep|FSTL1_BOVIN,0.246234885213819
t32255aep|CHSS1_MOUSE,0.0923743270097983
t32258aep|SHPK_MOUSE,0.0198972303686982
t35085aep|RS30_ORYLA,0.0606639077778467
t35845aep|TIM9_MOUSE,0.135307117674127
t35847aep|PHF3_HUMAN,0.0807399701896955
t35215aep|MTA1_HUMAN,0.167011017927152
t37320aep|CO6A6_HUMAN,0.056352938141449
t37312aep|UBC12_SCHPO,0.284701323373328
t32622aep|MK14_CANLF,0.0260091084749978
t32615aep|UNK_HUMAN,0.56513435176467
t32623aep|F1142_BOVIN,0.075329298867199
t32633aep|MED16_XENTR,0.053876722100864
t33647aep|WHITE_LUCCU,0.00307243808438736
t33644aep|CC180_HUMAN,0.0213117428975907
t33650aep|DUS22_HUMAN,0.0224398904538341
t31819aep|CPSF1_BOVIN,0.0320842427948537
t32416aep|COMD8_HUMAN,0.00464908436009057
t36944aep|CFA74_MOUSE,0.198212969179712
t36946aep|ELOV5_XENTR,0.0769552173289721
t33907aep|BRAT1_MOUSE,0.0252049593222781
t31719aep|VATC_MANSE,0.66900799137398
t36573aep|LTBP4_HUMAN,0.0379926224925032
t36580aep|S39AD_DANRE,0.122049833167586
t34754aep|FXC2B_XENLA,0.0514349801465318
t34577aep|ARSB_RAT,0.032767706636286
t34581aep|PELI1_MOUSE,0.0643897151090375
t38683aep|H10A_XENLA,0.89842417092477
t38674aep|S7A14_HUMAN,0.615016160688567
t38670aep|RADI_BOVIN,0.145728905785697
t38672aep|SHL2_ORYSJ,0.0624545452878409
t36972aep|FUCM_HUMAN,0.206078573928314
t32838aep|RASLC_DANRE,0.0527492362344858
t32855aep|ZN205_BOVIN,0.0709048376560467
t32852aep|NPC2_DROME,0.0713476068040053
t34604aep|RA51D_ARATH,0.0363389908710787
t32786aep|SETD4_HUMAN,0.00738342911438147
t32785aep|HEBP1_MOUSE,0.134544994959951
t36257aep|EDIL3_MOUSE,0.670730727653075
t36261aep|CTU2A_XENLA,0.0428501154338888
t36265aep|TXND_THEPA,0.435235744934522
t37210aep|DPOD3_BOVIN,0.052189245952174
t36465aep|PA1B3_RAT,0.146816400874264
t36462aep|PAPOG_MOUSE,0.0779452825959826
t38654aep|BBS4_HUMAN,0.0667760125399127
t38653aep|TOR1A_MACFA,0.0846514967240554
t34555aep|TM107_DANRE,0.0774625283255191
t34559aep|XPA_XENLA,0.0153658932610579
t34997aep|HBAP1_RAT,0.0415816300944132
t31900aep|FRIH_TREBE,0.468326711722057
t31908aep|RSLBA_HUMAN,0.305479708464913
t31899aep|AT1A_HYDVU,0.724353430044189
t31910aep|CAH1_RAT,0.23787924648291
t35363aep|TMX2B_DANRE,0.112605205200452
t34195aep|SAM9L_HUMAN,0.0499807992908909
t34191aep|SRSF7_BOVIN,0.142144217105941
t34192aep|FORF_DICDI,0.0242761446742201
t36376aep|RTBS_DROME,0.122821085325695
t34186aep|BRPF1_HUMAN,0.0937422111151984
t32772aep|P4R3A_MOUSE,0.00942862857399992
t33154aep|OXR1_MOUSE,0.335622734218681
t32180aep|MYLK_SHEEP,0.0429081568930792
t32176aep|AGRB2_MOUSE,0.122821085325695
t36920aep|SWI5_HUMAN,0.00510511671858369
t35835aep|IFT22_XENTR,0.187889505891848
t35829aep|PLPL9_HUMAN,0.0469312726480712
t35000aep|S23IP_MOUSE,0.0106457592210066
t32108aep|FITM2_XENTR,0.136041882884193
t32316aep|IPP_HUMAN,0.0361281138972322
t32323aep|SYMC_XENLA,0.356506839773199
t35690aep|HMGX4_HUMAN,0.38363593622289
t37177aep|MDC1_RAT,0.158013357025471
t37187aep|CDK7_HUMAN,0.114196819554717
