t35904aep|DDAC_ENTAG,0.0257207057807523
t32664aep|AQP9_HUMAN,0.0172763731994376
t38104aep|B3GN4_HUMAN,0.0413712460526763
t38117aep|SAXO1_RAT,0.184822116965824
t32685aep|RN146_XENTR,0.0238457602338532
t32691aep|PP14C_RAT,0.00863917417081443
t35871aep|NOD1_MOUSE,0.0257207057807523
t35872aep|NAPEP_BOVIN,0.00519856015714428
t35353aep|B4GA1_DANRE,0.0117479900737059
t33691aep|ABCB2_DICDI,0.0257207057807523
t33080aep|KIF17_HUMAN,0.547013441058998
t35991aep|FLNC_RAT,0.0142159357836685
t35994aep|MLRP2_ACRMI,0.0583895103473122
t34430aep|RPAP1_BOVIN,0.129977972923484
t34802aep|PISD_CRIGR,0.0557849994871257
t32473aep|RB18B_DANRE,0.00387724269735191
t31220aep|P52K_HUMAN,0.0257207057807523
t36650aep|ANKK1_MOUSE,0.00823698891805101
t32256aep|P5CR1_BOVIN,1.49614749380514
t32266aep|GGT1_PIG,3.65904204078366
t32269aep|FSTL1_BOVIN,0.119168481584548
t32258aep|SHPK_MOUSE,0.00851924018688861
t36391aep|HETE1_PODAS,0.0257207057807523
t35403aep|MYPN_MOUSE,0.0257207057807523
t35411aep|EDC3_PONAB,0.0261210207506404
t35408aep|NK2R_RAT,0.0257207057807523
t33710aep|SEC_ARATH,0.0257207057807523
t35846aep|SDHF3_NEMVE,0.00921163038285145
t35208aep|TTC28_MOUSE,0.0257207057807523
t35214aep|ZMYM1_HUMAN,0.0257207057807523
t37312aep|UBC12_SCHPO,0.543679833583804
t32615aep|UNK_HUMAN,0.453352208471632
t33656aep|CRYAB_BOVIN,0.0396444462615275
t31824aep|DNJC5_TETCF,0.58428081964125
t32427aep|TBC20_MOUSE,0.119649974442174
t31713aep|TBA_NOTVI,0.110348435093554
t31719aep|VATC_MANSE,0.662749253507005
t37624aep|VATF_HUMAN,0.166063646889454
t36590aep|GLYM_HUMAN,0.305105798873149
t36573aep|LTBP4_HUMAN,0.0012587829854145
t34754aep|FXC2B_XENLA,0.040056989964722
t34577aep|ARSB_RAT,0.0213897164544765
t38683aep|H10A_XENLA,0.319677915086111
t38674aep|S7A14_HUMAN,0.537144783468439
t38670aep|RADI_BOVIN,0.0245817642420056
t38672aep|SHL2_ORYSJ,0.0510765551060313
t32838aep|RASLC_DANRE,0.12944177422402
t32852aep|NPC2_DROME,0.0735928847187608
t36502aep|NPHP3_HUMAN,0.0054515358816588
t36486aep|SCN1_HETBL,0.0224781715258831
t34605aep|CRFR2_XENLA,0.0034333158098715
t32785aep|HEBP1_MOUSE,0.0064612348957544
t36257aep|EDIL3_MOUSE,0.579621571627869
t36265aep|TXND_THEPA,0.0858073629623676
t36270aep|Y1101_SYNY3,0.253368225249316
t36465aep|PA1B3_RAT,0.00967590968559898
