t36327aep|RAD21_SCHPO,0.0130711579049142
t36336aep|CEP76_PONAB,0.00427628962776034
t36335aep|RTJK_DROME,0.0130711579049142
t35903aep|S35E3_DANRE,0.0794285625289208
t31833aep|BP10_PARLI,2.94627487811606
t38104aep|B3GN4_HUMAN,0.00336584885155918
t38117aep|SAXO1_RAT,0.275439326361995
t33741aep|IFT20_DANRE,0.0345826976646712
t32696aep|OTOF_DANRE,0.0130711579049142
t35862aep|MEGF6_HUMAN,0.0164102453634069
t33081aep|ZMYM5_BOVIN,0.0130711579049142
t33085aep|TXIP1_HUMAN,0.0130711579049142
t35724aep|SYF2_DANRE,0.155015683746889
t35991aep|FLNC_RAT,0.00156638790783066
t35989aep|M2K3_ARATH,0.0130711579049142
t35985aep|DYH6_HUMAN,0.0130711579049142
t31651aep|LRRK2_MOUSE,0.0130711579049142
t34431aep|RSPH1_HUMAN,0.360726896779252
t31846aep|CEP70_RAT,0.0274783398979672
t31844aep|TLL1_DANRE,0.307838057256106
t31848aep|SPCS3_CHICK,0.118842263108704
t34796aep|PCMD2_BOVIN,0.00731365550928344
t32469aep|CO6A4_MOUSE,0.0130711579049142
t35545aep|KLC4_MOUSE,0.0130711579049142
t36387aep|NPHP3_HUMAN,0.0261155544167622
t33710aep|SEC_ARATH,0.0130711579049142
t35851aep|OPSD1_MIZYE,0.0608152829038667
t35853aep|TM175_MOUSE,0.0130711579049142
t37312aep|UBC12_SCHPO,0.230620182995192
t32614aep|XRRA1_MOUSE,0.0130711579049142
t32623aep|F1142_BOVIN,0.027734078259622
t33656aep|CRYAB_BOVIN,0.0277013756232635
t33645aep|TLR1_DROME,0.135461069087894
t33644aep|CC180_HUMAN,0.126276094521522
t32412aep|M3K19_HUMAN,0.0176181216208802
t32413aep|NTPES_BACSU,1.34590006997403
t36940aep|ROP1L_XENLA,0.104378140424089
t36944aep|CFA74_MOUSE,0.0167973486406766
t36938aep|SYT15_HUMAN,0.120483173904788
t33893aep|MCPI_MELCP,0.0261155544167622
t33901aep|KLC4_BOVIN,0.0130711579049142
t33627aep|VMP1_DANRE,0.118970826423931
t33620aep|SYT7_HUMAN,0.216082938488114
t31714aep|KLC4_RAT,0.0130711579049142
t37623aep|RHES_HUMAN,0.019744484479208
t37637aep|DYHC_HELCR,0.0038340928441446
t36585aep|CALM_MACPY,0.01004112853491
t38683aep|H10A_XENLA,0.0806353477150763
t38674aep|S7A14_HUMAN,0.0809642181532021
t38672aep|SHL2_ORYSJ,0.0130711579049142
t38673aep|RDR2_ORYSJ,0.0130711579049142
t38687aep|PTPRD_MOUSE,0.0261155544167622
t32838aep|RASLC_DANRE,0.00336584885155918
t32852aep|NPC2_DROME,1.205303163515
t36490aep|CCD81_HUMAN,0.0127809243437329
t36502aep|NPHP3_HUMAN,0.00584638451766859
t36488aep|TIGD2_MOUSE,0.0130711579049142
t34608aep|CATL_SARPE,0.0130711579049142
t38363aep|DNAL4_PIG,0.0370734464370802
t38365aep|TMOD2_RAT,0.184080457529141
t32785aep|HEBP1_MOUSE,0.496947863750788
t36257aep|EDIL3_MOUSE,0.00156638790783066
t36265aep|TXND_THEPA,0.0837124150497327
t36256aep|RTBS_DROME,0.0130711579049142
t37211aep|RYK_MOUSE,0.00870512292350722
t37220aep|HMCN2_HUMAN,0.318440139671736
t36467aep|CEAM5_HUMAN,0.0130711579049142
t38667aep|CAH5_CAEEL,0.0391334844677674
t38653aep|TOR1A_MACFA,0.00317335785311434
t31918aep|RAD9A_MOUSE,0.0427217566810581
t34987aep|FA47E_HUMAN,0.0498138728242273
t31908aep|RSLBA_HUMAN,0.196902856427992
t31899aep|AT1A_HYDVU,0.00102240280024178
t36373aep|RTXE_DROME,0.0391334844677674
t32725aep|TIM10_CAEBR,0.01004112853491
t32709aep|MCFD2_PONAB,0.132524295968185
t34183aep|TLN1_HUMAN,0.0067358264413769
t32769aep|KLC4_HUMAN,0.0261155544167622
t32762aep|RAD50_MOUSE,0.091111363917542
t32766aep|SC5AC_MOUSE,0.0130711579049142
t33155aep|CBPD_LOPSP,0.0130711579049142
t36935aep|KCNC1_HUMAN,0.0130711579049142
t35006aep|CER1_HUMAN,0.0130711579049142
t32100aep|PRRT1_MOUSE,0.00385010340684744
t32321aep|DYH7_HUMAN,0.0380773477518312
t32136aep|ZDH11_MOUSE,0.811196517139581
t32148aep|DPOA2_HUMAN,0.0130711579049142
t32151aep|HE_PARLI,4.22334440039567
t37191aep|DUR1_LACKL,0.0130711579049142
t37177aep|MDC1_RAT,0.00287806911014256
t37176aep|ABCA2_DICDI,0.0391334844677674
t36568aep|POL_SIVEK,0.0726637603877377
t33385aep|CDD_DICDI,0.0130711579049142
t36736aep|ARP8_SALSA,0.0065090388840641
t34475aep|LRIG2_HUMAN,0.180316082472911
t34464aep|RUSD4_HUMAN,0.146876298070923
t34669aep|CK070_BOVIN,0.00326363173145796
t34670aep|VKORL_HUMAN,0.717705640664087
t37727aep|KLC4_HUMAN,0.0130711579049142
t37718aep|CFA45_HUMAN,0.546345222390835
t32496aep|CNR1A_TAKRU,0.050459166371452
t32513aep|MRC2_HUMAN,0.508494506085033
t36989aep|GPX5_PIG,0.0106196817413091
t36994aep|KINH_SYNRA,0.0130711579049142
t35158aep|LITH_RAT,0.0356585757867856
t35148aep|MT21D_MOUSE,0.0232534689291364
t37988aep|GLNA_PANAR,0.0130711579049142
t33506aep|GP126_MOUSE,0.0261155544167622
t38563aep|TRXR1_EMIHU,0.0130711579049142
t38575aep|CC146_RAT,0.0160530047290134
t33777aep|IKBP1_HUMAN,0.010934129596836
t31950aep|B3GN2_HUMAN,0.0262141869532882
t31930aep|GXN_ACRMI,0.03090998220558
t32736aep|GRM7_MOUSE,0.0391334844677674
t32747aep|ZIC2B_XENLA,0.00657430492801519
t32740aep|KLC4_HUMAN,0.0199462645650563
t33592aep|ZNT1_HUMAN,0.00701379789622745
t33590aep|STS_HUMAN,0.0328146200778082
t33595aep|FLT3_HUMAN,0.0130711579049142
t33605aep|BGLG_ASPTN,0.0130711579049142
t32382aep|TCHP_DANRE,0.0519036180886085
t32363aep|RTBS_DROME,0.0130711579049142
t38580aep|BCOR_HUMAN,0.0110966506066863
t38581aep|HE_HEMPU,5.59116730307492
t38506aep|ANK2_HUMAN,0.316316850037701
t38509aep|DCDC2_MOUSE,0.262101716660978
t38497aep|DDC_HUMAN,0.0887256260011931
t31735aep|NOTU2_XENLA,0.0235026206625753
t33119aep|KINH_STRPU,0.00701379789622745
t36591aep|ZMYM1_HUMAN,0.00600671587957778
t36612aep|ERIC3_HUMAN,0.210338941608805
t32283aep|PPBT_CHICK,0.595870753782303
t32275aep|CAN5_MOUSE,0.0168944999186954
t32280aep|5HTR_LYMST,0.0521252387793455
t32909aep|F228B_MOUSE,0.0712168711606911
t32901aep|APBP2_RAT,0.00628904650642856
t32334aep|DCTP1_MOUSE,0.00427302812290769
t32343aep|GRT1A_DANRE,0.0202015301482519
t32866aep|PDD2L_CHICK,0.0295508546373952
t32870aep|ZMYM1_HUMAN,0.0130711579049142
t32896aep|LOX5_RAT,0.164791540702165
t37695aep|ANPRA_MOUSE,0.00181575705757183
t33233aep|RAD1_PONAB,0.0130711579049142
t33224aep|CD047_MOUSE,0.261968205962015
t33864aep|CNTP5_CANLF,0.151807125835381
t35776aep|KLC4_MOUSE,0.0292240462755791
t37400aep|AMPP1_PENRW,0.456203450410649
t37402aep|NAC1_CAVPO,0.00548686774382484
t37422aep|ADA12_MOUSE,0.159430398371188
t37417aep|GRM8_RAT,0.0130711579049142
t37427aep|Y2R2_DROME,0.0130711579049142
t37421aep|RIMB1_RAT,0.0133984689186848
t37414aep|KCNB1_PIG,0.0467363325768963
t37420aep|TTLL6_DANRE,0.607447595482925
t32202aep|B4GN4_HUMAN,0.0206731765924695
t32188aep|ZBED4_HUMAN,0.0130711579049142
t32206aep|EGL15_CAEEL,0.166954357882237
t32191aep|TC1A_CAEEL,0.0261155544167622
t38724aep|TCB2_CAEBR,0.0207048702814106
t38159aep|TPGS2_HUMAN,0.00713435008360407
t38162aep|RTXE_DROME,0.0130711579049142
t38172aep|CCD13_HUMAN,0.117970090626412
t38155aep|FUCL_ANGAN,0.0130711579049142
t38146aep|MLP_ACRMI,0.0130711579049142
t38169aep|CARTF_RAT,0.00220500219787208
t37740aep|SAL_SILAS,0.0111152978777693
t37750aep|ABHD8_BOVIN,0.018236273189813
t33061aep|TTLL4_CAEBR,0.0368639212517554
t35655aep|NPHP3_HUMAN,0.151351248925864
t35677aep|PGDH_HUMAN,1.0039123759395
t31398aep|ANPRB_HUMAN,0.0471359989752115
t31424aep|CFA57_MOUSE,0.0408959864946711
t31408aep|TRF6A_XENLA,0.0100826030168409
t37796aep|DC2L1_HUMAN,0.012899741674242
t35801aep|NOS1_MOUSE,0.0223832478283833
t34507aep|SAMD9_HUMAN,0.00229594593101596
t34532aep|TFF3_RAT,0.0130711579049142
t34490aep|PK1L2_MOUSE,0.0536250143219378
t34520aep|AGRG4_HUMAN,0.000545206590397127
t34506aep|C163A_CANLF,0.0130711579049142
t34530aep|ZN862_HUMAN,0.0130711579049142
t37137aep|TET2_HUMAN,0.0112806085792353
t37156aep|CHIA_MOUSE,3.26552487344115
t37143aep|SETMR_HUMAN,0.0130711579049142
t37162aep|LTBP4_HUMAN,0.0130711579049142
t36775aep|ANKE1_HUMAN,0.0456819766538897
t36799aep|ZMYM1_HUMAN,0.0130711579049142
t31783aep|DMBT1_RABIT,0.994681298467798
t31810aep|TF28_SCHPO,0.0130711579049142
t31804aep|P53_TETMU,0.0130711579049142
t36091aep|F166B_XENTR,0.156945814611108
t36104aep|SDK1_HUMAN,0.00520955963352309
t31319aep|RTXE_DROME,0.0130711579049142
t31348aep|ZBED4_MOUSE,0.0130711579049142
t31346aep|MGT4A_RAT,0.07803136248148
t37247aep|NAS13_CAEEL,4.80826556432485
t37293aep|K1586_HUMAN,0.0130711579049142
t37309aep|WHRN_HUMAN,0.147420590420912
t37250aep|SMG8_CULQU,0.0245985562113441
t37256aep|PTPRS_RAT,0.0130711579049142
t37257aep|PTPRS_MOUSE,0.0130711579049142
t31485aep|TOR1A_MACFA,0.263990603035469
t31525aep|HOBOT_DROME,0.0122805955636704
t31534aep|RTXE_DROME,0.0391334844677674
t31502aep|FGFR3_CHICK,0.0391334844677674
t34421aep|GTD2A_HUMAN,0.0130711579049142
t34387aep|YDJC_MOUSE,0.00967122977290374
t34400aep|MJK2_METJA,0.0130711579049142
t34425aep|ZMYM1_HUMAN,0.0370146947862951
t34424aep|TRY3_SALSA,4.53155769811646
t34415aep|CC157_BOVIN,0.00527814020062803
t32529aep|LOXH1_MOUSE,0.427864257831805
t32573aep|RTBS_DROME,0.0130711579049142
t32555aep|PROP_HUMAN,0.0130711579049142
t38292aep|BVMO2_STRCO,0.389039119382625
t38316aep|AB22G_ARATH,0.00277656236367788
t38284aep|WDR66_HUMAN,0.0386699340464737
t38280aep|GRDP2_ARATH,0.0130711579049142
t38310aep|FGFR3_DANRE,0.000726817042611271
t38311aep|RET_HUMAN,0.0130711579049142
t32047aep|RTJK_DROME,0.0113923633265609
t32035aep|GRM8_HUMAN,9.14475534245696e-05
t32032aep|SOX7_XENTR,0.0130711579049142
t31997aep|ZNFX1_MOUSE,0.150803567464913
t32023aep|RTJK_DROME,0.0144803633968649
t32012aep|TTC3_HUMAN,0.0249659821641113
t35488aep|AGO2_HUMAN,0.420368627256455
t35456aep|PK1L2_MOUSE,0.0130711579049142
t35477aep|RTJK_DROME,0.0170927139393078
t35484aep|F200A_HUMAN,0.0130711579049142
t35489aep|JERKL_HUMAN,0.0130711579049142
t35503aep|DSCL1_CHICK,0.0333351953554124
t37568aep|DLEC1_HUMAN,0.00093926293593178
t37577aep|RTJK_DROME,0.0185100329694786
t33011aep|PELET_DROME,0.0278005884224581
t32976aep|ZMYM1_HUMAN,0.0283838257595208
t33020aep|TSP3_MOUSE,0.171260776431013
t33008aep|THAP2_MOUSE,0.0130711579049142
t32997aep|HMCN1_HUMAN,0.00176175472288872
t33004aep|CNTP2_HUMAN,0.000966538715703711
t35592aep|SE1L2_HUMAN,0.019521931415818
t35590aep|RTBS_DROME,0.0346773873485796
t35587aep|ZBED1_HUMAN,0.0034183522650474
t35573aep|SHL2_ORYSJ,0.0171550369313682
t34201aep|RTJK_DROME,0.0112552935418325
t34209aep|TCB2_CAEBR,0.01004112853491
t34219aep|POL5_DROME,0.00600671587957778
t34261aep|AGRL3_BOVIN,0.012215579592339
t37916aep|DEAH5_ARATH,0.0182154651837899
t37857aep|GIN1_HUMAN,0.0298234061727775
t37902aep|TRAF4_HUMAN,0.0974421152904738
t32083aep|OPN4_BRABE,0.0453801542046307
t32087aep|RPC9_BOVIN,0.00418087904692872
t31596aep|HSP13_HUMAN,0.0223427455554037
t31589aep|COCH_CHICK,0.0261155544167622
t37598aep|GRM3_MOUSE,0.0650911039400097
t37472aep|PDE12_MOUSE,0.026769103891421
t37469aep|YDJC_XENLA,0.0261155544167622
