t37645aep|CP4V2_MOUSE,0.0102945955412363
t31619aep|ABCA2_HUMAN,0.0205640666875556
t34451aep|RSGI5_CLOTH,0.0205640666875556
t34450aep|KCNH5_MOUSE,0.0102945955412363
t36327aep|RAD21_SCHPO,0.0102945955412363
t36337aep|CRYAB_BOVIN,0.0997353493409915
t35900aep|RHCG_XENTR,0.00931717032374488
t35903aep|S35E3_DANRE,0.0818672777585567
t35908aep|CAF1A_CHICK,0.00478538033920433
t32664aep|AQP9_HUMAN,0.00185026295992173
t32662aep|SERB_BOVIN,0.0277938454703517
t31832aep|P52K_HUMAN,0.0102945955412363
t31833aep|BP10_PARLI,4.97020720807568
t38110aep|P2R3C_HUMAN,0.0409075671958047
t38118aep|AGRIN_MOUSE,0.0681686587926832
t38117aep|SAXO1_RAT,0.498827525112256
t33741aep|IFT20_DANRE,0.0107954121410986
t32692aep|GPTC4_XENTR,0.0318113357364038
t32687aep|RAB23_HUMAN,0.0714905495482414
t32688aep|CPT2_MOUSE,0.0102945955412363
t35860aep|KIF3A_MACFA,0.0648852384908714
t35863aep|SSPO_CHICK,0.0302533761987609
t35862aep|MEGF6_HUMAN,0.000589286487881343
t35857aep|PKD2_ORYLA,0.0102945955412363
t35356aep|CASP8_RAT,0.00915416902141801
t35353aep|B4GA1_DANRE,0.00170002314033392
t37374aep|VWDE_HUMAN,0.0102945955412363
t32307aep|NCAN_PANTR,0.0205640666875556
t32305aep|PPCT_MOUSE,0.00385238124772357
t33473aep|THAP1_DANRE,0.0102945955412363
t33084aep|TXIP1_MOUSE,0.0102945955412363
t33085aep|TXIP1_HUMAN,0.0613954383156536
t33589aep|THAP2_MOUSE,0.0102945955412363
t32819aep|T106C_HUMAN,0.026457792948818
t35724aep|SYF2_DANRE,0.582923466385136
t35994aep|MLRP2_ACRMI,0.0393171977776425
t35988aep|CIA30_DROME,0.000898053226656357
t35984aep|DYH6_HUMAN,0.0223643197323319
t38648aep|TM175_CHICK,0.0102945955412363
t34431aep|RSPH1_HUMAN,0.65974507807356
t34434aep|S12A8_XENLA,0.00392118731878277
t31846aep|CEP70_RAT,0.0209897863926716
t34802aep|PISD_CRIGR,0.0105147050987155
t34796aep|PCMD2_BOVIN,0.00641252367988466
t34792aep|PTH2_BOVIN,0.0142638675218837
