t31620aep|PTRB_MORLA,0.00673357100018024
t36340aep|AT1A_HYDVU,0.00673357100018024
t31833aep|BP10_PARLI,0.0075725795604848
t38118aep|AGRIN_MOUSE,0.0236969873207355
t32696aep|OTOF_DANRE,0.00673357100018024
t35871aep|NOD1_MOUSE,0.00673357100018024
t35863aep|SSPO_CHICK,0.00949395792519493
t35858aep|SCND3_HUMAN,0.00673357100018024
t33691aep|ABCB2_DICDI,0.00673357100018024
t33084aep|TXIP1_MOUSE,0.00673357100018024
t33085aep|TXIP1_HUMAN,0.00673357100018024
t32818aep|SY65_DROME,0.00673357100018024
t35724aep|SYF2_DANRE,0.0834527034682031
t35984aep|DYH6_HUMAN,0.00504563832070823
t31651aep|LRRK2_MOUSE,0.00673357100018024
t38647aep|RAP1_CAEEL,0.00673357100018024
t34431aep|RSPH1_HUMAN,0.525285401593804
t31844aep|TLL1_DANRE,0.533184306447318
t31848aep|SPCS3_CHICK,0.189469695691299
t32475aep|WHITE_DROME,0.0216287596799442
t31220aep|P52K_HUMAN,0.013489970902023
t32263aep|IF172_DANRE,0.00021531111502697
t35085aep|RS30_ORYLA,0.0213343004611654
t35545aep|KLC4_MOUSE,0.00673357100018024
t36391aep|HETE1_PODAS,0.00673357100018024
t35403aep|MYPN_MOUSE,0.00673357100018024
t35406aep|WDY_ANOGA,0.00673357100018024
t33710aep|SEC_ARATH,0.013489970902023
t33696aep|CNRP1_BOVIN,0.00673357100018024
t35851aep|OPSD1_MIZYE,0.0426575831681373
t35850aep|CYTA_MOUSE,0.00673357100018024
t35208aep|TTC28_MOUSE,0.00673357100018024
t32614aep|XRRA1_MOUSE,0.013489970902023
t33645aep|TLR1_DROME,0.134218818658126
t33647aep|WHITE_LUCCU,0.0410751922818978
t32412aep|M3K19_HUMAN,0.0850689222600215
t32413aep|NTPES_BACSU,0.107549000310944
t36938aep|SYT15_HUMAN,0.112080160451323
t33893aep|MCPI_MELCP,0.00673357100018024
t33901aep|KLC4_BOVIN,0.013489970902023
t33620aep|SYT7_HUMAN,0.0154003810919481
t37636aep|FAT2_DROME,0.013489970902023
t37632aep|LGR5_XENTR,0.00673357100018024
t36579aep|YL728_MIMIV,0.013489970902023
t36574aep|OPN4B_XENLA,0.00673357100018024
t34765aep|ZBED4_HUMAN,0.00673357100018024
t34577aep|ARSB_RAT,0.00821172818300749
t38683aep|H10A_XENLA,0.174278736649238
t38674aep|S7A14_HUMAN,0.0539235760386169
t38672aep|SHL2_ORYSJ,0.0106830422626821
t32852aep|NPC2_DROME,6.12534926482611
t36486aep|SCN1_HETBL,0.010247436647154
t34609aep|SAL_SILAS,0.00673357100018024
t38363aep|DNAL4_PIG,0.0174443175912576
t38365aep|TMOD2_RAT,0.00580692929515309
t32785aep|HEBP1_MOUSE,0.25656262601597
t36257aep|EDIL3_MOUSE,0.00876439990200967
t37220aep|HMCN2_HUMAN,0.140190829864252
t37029aep|USH2A_HUMAN,0.00673357100018024
t34548aep|KLC4_HUMAN,0.00673357100018024
t35297aep|MATN4_HUMAN,0.00673357100018024
t37095aep|AGRG4_HUMAN,0.00784977359246856
t34987aep|FA47E_HUMAN,0.00422124994072602
t34996aep|RET_RAT,0.0169548324102381
t31908aep|RSLBA_HUMAN,0.0485806182166471
t31905aep|DYH2_MOUSE,0.00673357100018024
t31910aep|CAH1_RAT,0.00673357100018024
t36373aep|RTXE_DROME,0.00673357100018024
t32725aep|TIM10_CAEBR,0.003703541630176
t32709aep|MCFD2_PONAB,0.0663159885993061
t34181aep|HARB1_DANRE,0.00673357100018024
t33147aep|MFSD8_DANRE,0.00673357100018024
t32175aep|ATK4_ARATH,0.00673357100018024
t36935aep|KCNC1_HUMAN,0.0338958425533748
t32108aep|FITM2_XENTR,0.0162124309871384
t32104aep|ASIC1_MOUSE,0.00673357100018024
t32321aep|DYH7_HUMAN,0.00163711545079081
t36031aep|ANPRA_MOUSE,0.0986628422638932
t36039aep|GRM3_HUMAN,0.00673357100018024
t32151aep|HE_PARLI,3.40391918528594
t37191aep|DUR1_LACKL,0.00673357100018024
t37182aep|HMCN1_HUMAN,0.00673357100018024
t37176aep|ABCA2_DICDI,0.00673357100018024
t36572aep|NLR1A_MOUSE,0.0185391129199232
t36566aep|YRD6_CAEEL,0.00673357100018024
t36568aep|POL_SIVEK,0.013489970902023
t33385aep|CDD_DICDI,0.00673357100018024
t38616aep|G3ST1_HUMAN,0.0270711375042366
t34465aep|NPHP4_MOUSE,0.0107775625600259
t34464aep|RUSD4_HUMAN,0.156934547866257
t34671aep|GT2D2_MOUSE,0.00361004278709064
t34685aep|CPMD8_HUMAN,0.00673357100018024
t34686aep|CPMD8_HUMAN,0.00673357100018024
t34669aep|CK070_BOVIN,0.036558300788342
t34670aep|VKORL_HUMAN,0.543370361301761
t37718aep|CFA45_HUMAN,0.0381017785955902
t32502aep|MKS3_RAT,0.00673357100018024
t32496aep|CNR1A_TAKRU,0.0338491943250083
t32513aep|MRC2_HUMAN,0.818334497847217
t36073aep|KIF9_MOUSE,0.00673357100018024
t36975aep|DYH5_HUMAN,0.00241136212503521
t36994aep|KINH_SYNRA,0.0310605759491174
t37004aep|MICA2_RAT,0.00662924018093117
t37005aep|CPMD8_HUMAN,0.00673357100018024
t33506aep|GP126_MOUSE,0.00673357100018024
t33502aep|RET_RAT,0.00782309064249773
t33783aep|GRM3_MOUSE,0.00673357100018024
t33770aep|AL14E_BOVIN,0.00673357100018024
t31950aep|B3GN2_HUMAN,0.108322161040975
t32736aep|GRM7_MOUSE,0.0338958425533748
t32740aep|KLC4_HUMAN,0.0454732858767092
t33590aep|STS_HUMAN,0.0139503055091343
t32369aep|GAPR1_HUMAN,0.00129119317588782
t32363aep|RTBS_DROME,0.00673357100018024
t38581aep|HE_HEMPU,0.608702459167519
t38586aep|KCNB1_PIG,0.00673357100018024
t38578aep|CAN7_MOUSE,0.00673357100018024
t38509aep|DCDC2_MOUSE,0.0116473540155785
t38497aep|DDC_HUMAN,0.14670901300416
t31734aep|VITRN_MOUSE,0.000163610347979266
t37459aep|RTBS_DROME,0.013489970902023
t36591aep|ZMYM1_HUMAN,0.00642552887668623
t34694aep|PGBD4_HUMAN,0.013489970902023
t34695aep|SORCN_SCHJA,0.00673357100018024
t34691aep|PLCL2_MOUSE,0.000414706610221107
t32283aep|PPBT_CHICK,0.286690154901002
t32280aep|5HTR_LYMST,0.00673357100018024
t32272aep|FAT4_MOUSE,0.00673357100018024
t32909aep|F228B_MOUSE,0.00812395437582851
t32907aep|KALRN_MOUSE,0.183725521053664
t32328aep|SPIT3_HUMAN,0.000952038266077142
t32866aep|PDD2L_CHICK,2.59521193829009e-05
t32898aep|CAC1B_RAT,0.00563374557122608
t32869aep|ZMYM1_HUMAN,0.00673357100018024
