t36047aep|FUCTA_DROME,0.0123008929587392
t36340aep|AT1A_HYDVU,0.0123008929587392
t32664aep|AQP9_HUMAN,0.00385656037742448
t31832aep|P52K_HUMAN,0.0123008929587392
t31833aep|BP10_PARLI,0.0501894450092331
t38118aep|AGRIN_MOUSE,0.00892674277523826
t35862aep|MEGF6_HUMAN,0.00259558390538395
t37375aep|TC3A_CAEEL,0.0123008929587392
t33085aep|TXIP1_HUMAN,0.0123008929587392
t32809aep|TRPA1_HUMAN,0.0123008929587392
t35984aep|DYH6_HUMAN,0.00385656037742448
t35985aep|DYH6_HUMAN,0.0123008929587392
t38647aep|RAP1_CAEEL,0.0245658710345943
t34431aep|RSPH1_HUMAN,0.375849490572646
t31844aep|TLL1_DANRE,0.654538363246072
t32475aep|WHITE_DROME,0.00685851513444666
t31220aep|P52K_HUMAN,0.0245658710345943
t31231aep|UNC89_CAEEL,0.0123008929587392
t35085aep|RS30_ORYLA,0.0423047042188974
t35545aep|KLC4_MOUSE,0.0611493600330531
t36391aep|HETE1_PODAS,0.0123008929587392
t36387aep|NPHP3_HUMAN,0.0123008929587392
t35403aep|MYPN_MOUSE,0.0123008929587392
t35406aep|WDY_ANOGA,0.0123008929587392
t35851aep|OPSD1_MIZYE,0.0320843464461501
t35208aep|TTC28_MOUSE,0.0123008929587392
t33645aep|TLR1_DROME,0.0659687656324607
t37951aep|MPU1_MOUSE,0.00589957052961074
t31817aep|AKR1_YARLI,0.0123008929587392
t32412aep|M3K19_HUMAN,0.0599084631149648
t32413aep|NTPES_BACSU,0.442563131027474
t36938aep|SYT15_HUMAN,0.0695423848089309
t33901aep|KLC4_BOVIN,0.0245658710345943
t33620aep|SYT7_HUMAN,0.0783633712795294
t36579aep|YL728_MIMIV,0.0123008929587392
t36573aep|LTBP4_HUMAN,0.000103948239256271
t36585aep|CALM_MACPY,0.00927086358873501
t34754aep|FXC2B_XENLA,0.00128132781743001
t38683aep|H10A_XENLA,0.0587922690818034
t38674aep|S7A14_HUMAN,0.05652440878907
t32852aep|NPC2_DROME,4.25822651728728
t36488aep|TIGD2_MOUSE,0.0123008929587392
t34599aep|YTX2_XENLA,0.0229351773468534
t38365aep|TMOD2_RAT,0.0147981822074799
t32780aep|TBRG1_XENTR,0.00691049552501506
t32786aep|SETD4_HUMAN,0.00607824385959343
t32785aep|HEBP1_MOUSE,0.128103914113323
t36257aep|EDIL3_MOUSE,0.000796122961655268
t37220aep|HMCN2_HUMAN,0.30434880955871
t38667aep|CAH5_CAEEL,0.0123008929587392
t35296aep|MORN2_BOVIN,0.00825279824641959
t37095aep|AGRG4_HUMAN,0.0175739778862229
t34987aep|FA47E_HUMAN,0.00171598347108377
t31908aep|RSLBA_HUMAN,0.0566964605952405
t36373aep|RTXE_DROME,0.0245658710345943
t32709aep|MCFD2_PONAB,0.144649351990538
t33147aep|MFSD8_DANRE,0.0123008929587392
t36932aep|IQCD_BOVIN,0.0123008929587392
t32094aep|TCB2_CAEBR,0.0123008929587392
t32100aep|PRRT1_MOUSE,0.00307983846067216
t32103aep|CUL1_ARATH,0.0123008929587392
t36031aep|ANPRA_MOUSE,0.00325999257878202
t32136aep|ZDH11_MOUSE,0.254299200752454
t32151aep|HE_PARLI,4.0510341198044
t32143aep|RN212_MOUSE,0.0123008929587392
t38447aep|SAX_LITCT,0.000623281621533099
t36572aep|NLR1A_MOUSE,0.0230033735422792
t36566aep|YRD6_CAEEL,0.0123008929587392
t36568aep|POL_SIVEK,0.0123008929587392
t33385aep|CDD_DICDI,0.0245658710345943
t36738aep|ZSCA2_MOUSE,0.00636976119945621
t38616aep|G3ST1_HUMAN,0.0123008929587392
t34473aep|PGBD4_HUMAN,0.0123008929587392
t34476aep|Y1199_DICDI,0.0123008929587392
t34475aep|LRIG2_HUMAN,0.105475222257922
t34464aep|RUSD4_HUMAN,0.0382203378127492
t34670aep|VKORL_HUMAN,0.474820064761862
t37718aep|CFA45_HUMAN,0.0849950027719672
t37731aep|S17A9_MOUSE,0.0123008929587392
t37729aep|KPCD3_MOUSE,0.112430198755797
t32519aep|PTR36_ARATH,0.0123008929587392
t32496aep|CNR1A_TAKRU,0.117754758000295
t32513aep|MRC2_HUMAN,0.494398965631985
t36977aep|ECT_ACRMI,0.00454894591192163
t35150aep|FEM1C_MOUSE,0.016406761771838
t33506aep|GP126_MOUSE,0.0123008929587392
t33502aep|RET_RAT,0.00132838572797465
t38563aep|TRXR1_EMIHU,0.0123008929587392
t31950aep|B3GN2_HUMAN,0.064843937861543
t31942aep|ECE1_CAVPO,0.00766439205540157
t31952aep|HMCN1_HUMAN,0.0123008929587392
t31930aep|GXN_ACRMI,0.00407739069655194
t32740aep|KLC4_HUMAN,0.0306260519462851
t33615aep|S43A3_BOVIN,0.0123008929587392
t32369aep|GAPR1_HUMAN,0.00685851513444666
t38581aep|HE_HEMPU,3.58012724291229
t38586aep|KCNB1_PIG,0.0123008929587392
t38506aep|ANK2_HUMAN,0.0853660834851507
t38509aep|DCDC2_MOUSE,0.0142481867660318
t38497aep|DDC_HUMAN,0.0702555394921003
t38498aep|MARH1_HUMAN,0.00398863522534585
t37461aep|EYS_HUMAN,0.0123008929587392
t32283aep|PPBT_CHICK,0.2112474937909
t32280aep|5HTR_LYMST,0.0123008929587392
t32339aep|QRFPR_HUMAN,0.0123008929587392
t32328aep|SPIT3_HUMAN,0.0231630320634735
t32895aep|RMR2_ORYSJ,0.00298460544515116
t32887aep|TOPB1_HUMAN,0.0170885128900758
t33224aep|CD047_MOUSE,0.00583877543429796
t33864aep|CNTP5_CANLF,0.0174109183712852
t35776aep|KLC4_MOUSE,0.00630647989485158
t37400aep|AMPP1_PENRW,0.0482159602580075
t37422aep|ADA12_MOUSE,0.00368051621443847
t37417aep|GRM8_RAT,0.0245658710345943
t37427aep|Y2R2_DROME,0.0123008929587392
t37421aep|RIMB1_RAT,0.0118487855365169
t37414aep|KCNB1_PIG,0.0245658710345943
t37420aep|TTLL6_DANRE,0.0997390668584925
t32186aep|COPIA_DROME,0.0123008929587392
t32202aep|B4GN4_HUMAN,0.0191234932103017
t32206aep|EGL15_CAEEL,0.103263912369494
t32191aep|TC1A_CAEEL,0.180919479466885
t38730aep|FBN1_PIG,0.0123008929587392
t38721aep|TC3A_CAEEL,0.0123008929587392
t38147aep|TCB2_CAEBR,0.0123008929587392
t38162aep|RTXE_DROME,0.0123008929587392
t38146aep|MLP_ACRMI,0.0123008929587392
t37745aep|USH2A_HUMAN,0.0123008929587392
t37746aep|USH2A_HUMAN,0.0123008929587392
t37760aep|RTJK_DROME,0.000226327705727665
t37484aep|HMP_OCEIH,0.0420105389885091
t35655aep|NPHP3_HUMAN,0.110169095633982
t35677aep|PGDH_HUMAN,0.79209358086426
t31424aep|CFA57_MOUSE,0.0369542425877144
t31394aep|ZBED1_HUMAN,0.0123008929587392
t37782aep|EMAL4_XENTR,0.0120736296398354
t35805aep|MLP_ACRMI,0.0123008929587392
t35786aep|AP1G_DICDI,0.00688169958723366
t35818aep|TCB2_CAEBR,0.0123008929587392
t35801aep|NOS1_MOUSE,0.00856858637036017
t35785aep|KCNA1_RAT,0.0123008929587392
t35803aep|GT2D2_BOVIN,0.0245658710345943
t34532aep|TFF3_RAT,0.0123008929587392
t34490aep|PK1L2_MOUSE,0.00621299910195837
t34506aep|C163A_CANLF,0.036795341797991
t34529aep|GRM3_HUMAN,0.0123008929587392
t37155aep|MRC1_MOUSE,0.00685851513444666
t37145aep|ZCPW1_HUMAN,0.00916600563998379
t37156aep|CHIA_MOUSE,5.26293563526064
t36775aep|ANKE1_HUMAN,0.0227644102731619
t31789aep|YG31B_YEAST,0.0123008929587392
t31783aep|DMBT1_RABIT,0.440244066034776
t31811aep|UBIQ_ENCCU,0.0110354460718652
t36091aep|F166B_XENTR,0.00350557009616123
t36128aep|CAH2_TRIHK,0.00999421726576687
t31319aep|RTXE_DROME,0.0123008929587392
t31361aep|COPIA_DROME,0.036795341797991
t31346aep|MGT4A_RAT,0.0123008929587392
t37266aep|HARB1_HUMAN,0.00604831501641754
t37247aep|NAS13_CAEEL,5.63571671270287
t37309aep|WHRN_HUMAN,0.0996923267199318
t37272aep|ZBED1_HUMAN,0.0245658710345943
t37271aep|AT133_HUMAN,0.0123008929587392
t37243aep|PK2L1_MOUSE,0.00558110598520915
t37258aep|PTPRS_MOUSE,0.0123008929587392
t37257aep|PTPRS_MOUSE,0.0123008929587392
t31485aep|TOR1A_MACFA,0.193929281998714
t31525aep|HOBOT_DROME,0.0229603829448991
t31534aep|RTXE_DROME,0.036795341797991
t31486aep|RTJK_DROME,0.0245658710345943
t31515aep|POL4_DROME,0.0245658710345943
t34421aep|GTD2A_HUMAN,0.0123008929587392
t34424aep|TRY3_SALSA,6.79481098758048
t34415aep|CC157_BOVIN,0.00133639629367117
t32570aep|SYT11_HUMAN,0.0165978968168431
t32529aep|LOXH1_MOUSE,0.0951710363849944
t32571aep|RTBS_DROME,0.00429670113550079
t32550aep|CAC1E_RABIT,0.0123008929587392
t38292aep|BVMO2_STRCO,0.200678701130345
t38316aep|AB22G_ARATH,0.0265007462567547
t32025aep|P52K_HUMAN,0.00685851513444666
t32035aep|GRM8_HUMAN,0.0238156314465012
t32032aep|SOX7_XENTR,0.0123008929587392
t32037aep|SAMD3_MOUSE,0.0123008929587392
t37568aep|DLEC1_HUMAN,0.0107954849342321
t37577aep|RTJK_DROME,0.00469537151145556
t37551aep|POGK_HUMAN,0.00561089406423811
t33011aep|PELET_DROME,0.00024122067770691
t33020aep|TSP3_MOUSE,0.0926004870740419
t33008aep|THAP2_MOUSE,0.0123008929587392
t35576aep|ZBED4_MOUSE,0.033002635318133
t35577aep|KLC_DORPE,0.0110981104830257
t35590aep|RTBS_DROME,0.0397799036637003
t35620aep|RTJK_DROME,0.00969955151007556
t35604aep|JERKL_HUMAN,0.0117052285865407
t35573aep|SHL2_ORYSJ,0.0126024676437095
t35626aep|PGBD4_HUMAN,0.0123008929587392
t34206aep|TIGD6_HUMAN,0.0123008929587392
t34261aep|AGRL3_BOVIN,0.08253064752225
t34230aep|RTBS_DROME,0.0123008929587392
t34256aep|ZMYM1_HUMAN,0.0123008929587392
t37932aep|ZMYM1_HUMAN,0.0123008929587392
t37902aep|TRAF4_HUMAN,0.089369047300312
t37869aep|TC3A_CAEEL,0.0123008929587392
t37855aep|THAP9_HUMAN,0.0205251780282871
t37348aep|KLC4_HUMAN,0.0245658710345943
t37329aep|GIN1_PONAB,0.0123008929587392
t32083aep|OPN4_BRABE,0.0178207864598793
t34039aep|BAI1_MOUSE,0.0123008929587392
t37598aep|GRM3_MOUSE,0.0245658710345943
t36827aep|CAC1D_MESAU,0.00178633282119535
t34847aep|Y165_RICPR,0.157222432388928
t37069aep|B3GN4_HUMAN,0.0123008929587392
t34952aep|RTJK_DROME,0.0123008929587392
t35927aep|KCRB_BOVIN,0.0123008929587392
t34983aep|RTJK_DROME,0.0123008929587392
t34069aep|ERIP6_HUMAN,0.0378780782599642
t34064aep|RS27L_BOVIN,0.0245530959546361
t34824aep|PCR3_ARATH,0.03085711710105
t38006aep|DRD2A_XENLA,0.0123008929587392
t35628aep|CENPS_XENLA,0.000623281621533099
t38607aep|TU92_POLAB,0.0489897064660676
t38402aep|JMJD8_RAT,0.0123008929587392
t37033aep|DRD1_HUMAN,0.0123008929587392
t35228aep|RTBS_DROME,0.0123008929587392
t33356aep|AMPE_RAT,0.0123008929587392
t34594aep|TARB1_HUMAN,0.025275120239379
t32680aep|RL29_MACFA,0.015957394115317
t31554aep|CYT_NOTSC,2.39753517961529
t31471aep|APOB_RAT,0.0110564361611903
t36058aep|ACHA3_CHICK,0.0194797786531797
t36448aep|RL27_HIPCM,0.0142125468767594
t32130aep|NPC2_DROME,0.0401740023121825
t36020aep|ADCY9_MOUSE,0.0450172632454656
t38351aep|DYH2_HUMAN,0.0123008929587392
t37770aep|DDX59_MOUSE,0.0123008929587392
t33465aep|MA2B1_CAVPO,0.0123008929587392
t37043aep|SSPO_CHICK,0.0245658710345943
t36537aep|BOULE_DROME,0.0245658710345943
t34830aep|HSLU_PARL1,0.0123008929587392
t34838aep|DYH7_HUMAN,0.0123008929587392
t38191aep|ENPP4_XENLA,0.0123008929587392
t38546aep|PELET_DROME,0.0307074479412102
t31375aep|OPSC1_HEMSA,0.0123008929587392
t36301aep|MCPI_MELCP,0.00793898951413252
t34733aep|MCPI_MELCP,4.26527317217067
t34780aep|Y1101_SYNY3,0.01372733461737
t34781aep|SET1_YEAST,0.0477242202697499
t32861aep|DYH8_MOUSE,0.0123008929587392
t33567aep|RSLBB_DANRE,0.0961741302651986
t34663aep|DYH10_HUMAN,0.0123008929587392
t38050aep|FBXW9_BOVIN,0.00930650971915362
t33881aep|MFSD6_MOUSE,0.0123008929587392
t36478aep|KLC4_RAT,0.0123008929587392
t36310aep|CPI1_PIG,0.0134153746367267
t38384aep|VF259_IIV6,0.0245658710345943
t35341aep|GALT2_DROME,0.0427035367489083
t35350aep|DYH1_RAT,0.0123008929587392
t36152aep|ZN862_HUMAN,0.0123008929587392
t37841aep|PYRD1_BOVIN,0.0123008929587392
t37087aep|REV1_HUMAN,0.00398863522534585
t29957aep|UBP7_MOUSE,0.0123008929587392
t29949aep|OPSD_NEOAU,0.0489897064660676
t1171aep|TOB1_HUMAN,0.0854966871160345
t28847aep|CC191_HUMAN,0.0119309447188245
t25932aep|SPX3_BOVIN,0.00568038214786358
t18735aep|FOXA2_ORYLA,0.130097652461661
t14505aep|GAS2_MOUSE,0.0194311949986238
t28513aep|LAR_CAEEL,0.158859801855445
t30494aep|NANO1_DANRE,0.0224503997797919
t26432aep|KCNK9_XENLA,0.00345187202143701
t7698aep|MFNA_METPE,1.09164528140323
t4228aep|TENA_HUMAN,0.0123008929587392
t25309aep|HSFY1_HUMAN,0.0114003788772088
t14413aep|CP17A_RANDY,0.0123008929587392
t26394aep|TMED7_HUMAN,0.345442649272425
t19677aep|MEP1B_HUMAN,1.21227682325976
t24866aep|HMCN2_HUMAN,0.0175554514427139
t24865aep|AGRB3_MOUSE,0.015112640030204
t26158aep|VMO1_HUMAN,0.036795341797991
t7306aep|VATC_CAEBR,0.0123008929587392
t13964aep|SC16A_HUMAN,0.0268232643979472
t28574aep|PTC1_MOUSE,0.0142712754933579
t28568aep|B3GN4_HUMAN,0.0089924090321216
t18829aep|HPCL1_SHEEP,0.0031101367022274
t1207aep|GXN2_ACRMI,0.036795341797991
t23544aep|PRY1_YEAST,1.97176125454548
t23543aep|DIRA1_HUMAN,0.240509961826559
t11073aep|RAB24_HUMAN,0.744784092258842
t11061aep|APCD1_CHICK,0.367602687015626
t11077aep|FACD2_HUMAN,0.00797816224145225
t11063aep|G3ST3_MOUSE,0.0611493600330531
t3676aep|TES_CHICK,0.134554778050543
t25052aep|MET10_DANRE,0.00049290533909071
t14aep|MFSD6_PIG,0.0123008929587392
t1aep|NAS4_CAEEL,0.65536539967748
t3aep|G3ST3_MOUSE,0.00828862699708732
t17575aep|ENDUB_DANRE,2.33266480285018
t17610aep|S17B1_XENLA,0.0123008929587392
t17581aep|TC1D2_HUMAN,0.119539550799914
t24799aep|MGT5B_HUMAN,0.0491431538298955
t27591aep|CNR1A_TAKRU,0.0853660834851507
t27581aep|AGRG4_MOUSE,0.0471762640947322
t27987aep|ADGB_MOUSE,0.0124043187137807
t28913aep|KLC4_HUMAN,0.0245658710345943
t26400aep|CONT_DROME,0.17601209785388
t26402aep|DJC27_DANRE,0.0123008929587392
t26415aep|ATS7_RAT,0.0123008929587392
t26412aep|ODF3A_XENLA,0.0116404376420578
t14398aep|ANR52_CHICK,0.0123008929587392
t27741aep|HGNAT_HUMAN,0.0123008929587392
t19654aep|PPP5_RAT,0.0123008929587392
t29694aep|RLBP1_HUMAN,0.00703474384188918
t3968aep|NDF4_HUMAN,0.00284042140133249
t26356aep|NR1BA_DANRE,0.00548024626277934
t24328aep|HMCN2_MOUSE,0.0489897064660676
t1806aep|HEXA_HUMAN,0.0123008929587392
t29411aep|TTC28_HUMAN,0.0123008929587392
t26594aep|DYH8_MOUSE,0.0123008929587392
t26615aep|ADRB2_MOUSE,0.0123008929587392
t26322aep|ZIFL1_ARATH,0.036795341797991
t1509aep|FOXI2_XENTR,0.0123008929587392
t2532aep|DNAL1_BOVIN,0.099491939512546
t24217aep|CCD63_BOVIN,0.00865662898186549
t25827aep|DNAJ_EHRCR,0.0011892647526357
t25826aep|UGDH_MOUSE,0.0554900323782445
t25835aep|FAT2_DROME,0.0123008929587392
t5462aep|CCKAR_CAVPO,0.0215505861371011
t25829aep|CAH6_MOUSE,0.0123008929587392
t20372aep|TT30A_XENTR,0.0209696907444368
t29932aep|MRP1_HUMAN,0.0123008929587392
t2518aep|KLC_DORPE,0.0123008929587392
t2519aep|SPY_ARATH,0.0123008929587392
t29117aep|LY75_MESAU,0.0123008929587392
t2525aep|ANR10_HUMAN,0.036795341797991
t10991aep|COCA1_HUMAN,0.120390960306924
t27319aep|PIFO_MOUSE,0.029667001689024
t24575aep|AB6A_ARATH,0.0142277024441411
t25458aep|DYH2_MOUSE,0.00235789654857642
t25456aep|PDZD2_RAT,0.0155860813323377
t25470aep|TCB2_CAEBR,0.0123008929587392
t30881aep|DAPK2_MOUSE,0.00626844601673613
t30879aep|PGBD3_HUMAN,0.00825279824641959
t27148aep|ADRB2_TSCTR,0.606723999439029
t27157aep|FANCM_HUMAN,0.0124939274872253
t27158aep|FANCM_HUMAN,0.0395292349086607
t22550aep|TCB1_CAEBR,0.0123008929587392
t4431aep|ACMSD_RAT,0.00867408869468395
t25400aep|TRAF4_MOUSE,0.00400180434703855
t25396aep|NKX26_HUMAN,0.133399715251051
t4434aep|TCB1_CAEBR,0.0123008929587392
t25397aep|MED24_CHICK,0.0063485834820945
t18857aep|PRY1_YEAST,6.22227329607319
t28780aep|MLP_ACRMI,0.0123008929587392
t16097aep|DUT_PBCV1,0.0123008929587392
t29006aep|Y381_RICFE,0.138943930360551
t29005aep|GP2_CANLF,0.0021530895128959
