t32664aep|AQP9_HUMAN,0.0197786070709954
t31833aep|BP10_PARLI,0.0223055483107721
t32819aep|T106C_HUMAN,0.0459146332096083
t35994aep|MLRP2_ACRMI,0.00222341797211593
t35984aep|DYH6_HUMAN,0.0197786070709954
t31651aep|LRRK2_MOUSE,0.0282229396523103
t34431aep|RSPH1_HUMAN,0.538027513288968
t34434aep|S12A8_XENLA,0.00133547465744647
t34430aep|RPAP1_BOVIN,0.0133167603820979
t31844aep|TLL1_DANRE,0.714185402895715
t34802aep|PISD_CRIGR,0.0079289924373792
t36663aep|AA2AR_CANLF,0.0282229396523103
t32266aep|GGT1_PIG,0.00984008395631225
t32633aep|MED16_XENTR,0.0119696383948049
t33645aep|TLR1_DROME,0.0417199734764449
t37951aep|MPU1_MOUSE,0.0457105174668396
t32412aep|M3K19_HUMAN,0.00813056535059778
t32413aep|NTPES_BACSU,0.224017463770852
t36938aep|SYT15_HUMAN,0.186983170102647
t33620aep|SYT7_HUMAN,0.049538594821364
t33194aep|UBP54_RAT,0.00248363953504841
t38683aep|H10A_XENLA,0.0172952408733086
t32852aep|NPC2_DROME,5.89558486750709
t36502aep|NPHP3_HUMAN,0.00795376975321667
t38365aep|TMOD2_RAT,0.0431393379019719
t32785aep|HEBP1_MOUSE,0.136456242499832
t37220aep|HMCN2_HUMAN,0.342880673679536
t34548aep|KLC4_HUMAN,0.0282229396523103
t35296aep|MORN2_BOVIN,0.0119098668641358
t34987aep|FA47E_HUMAN,0.033253118228364
t34996aep|RET_RAT,0.0181066345583118
t31905aep|DYH2_MOUSE,0.0561030057918745
t36373aep|RTXE_DROME,0.0282229396523103
t36031aep|ANPRA_MOUSE,0.0103732919045891
t36962aep|RTBS_DROME,0.0282229396523103
t32151aep|HE_PARLI,3.17612487946774
t37177aep|MDC1_RAT,0.032865520485255
t37192aep|FBXW2_MOUSE,0.0123198059910003
t38621aep|MOCS3_AEDAE,0.00114621873071492
t34473aep|PGBD4_HUMAN,0.0282229396523103
t34475aep|LRIG2_HUMAN,0.0443326176699956
t34464aep|RUSD4_HUMAN,0.122676934173501
t34669aep|CK070_BOVIN,0.0202331530555653
t34670aep|VKORL_HUMAN,0.636368228773772
t37731aep|S17A9_MOUSE,0.0282229396523103
t37729aep|KPCD3_MOUSE,0.333844224109418
t32496aep|CNR1A_TAKRU,0.0720430824578498
t32513aep|MRC2_HUMAN,0.391594490413823
t36977aep|ECT_ACRMI,0.0204709926054927
t36974aep|CNFNA_XENLA,0.0282229396523103
t36988aep|FAT4_HUMAN,0.0129635783368695
t35150aep|FEM1C_MOUSE,0.0200638303895541
t38573aep|CL004_RAT,0.0200205045872187
t38564aep|DEN2C_HUMAN,0.00912548589674934
t31280aep|ANKL1_HUMAN,0.0343671427844661
t31950aep|B3GN2_HUMAN,0.0631286628375793
t31929aep|CERS6_HUMAN,0.0148028729329998
t31930aep|GXN_ACRMI,0.0199994373901229
t32747aep|ZIC2B_XENLA,0.0217260866754112
t32740aep|KLC4_HUMAN,0.0220536498006044
t32369aep|GAPR1_HUMAN,0.0227805618280177
t38580aep|BCOR_HUMAN,0.00354407474638969
t38581aep|HE_HEMPU,1.51329923243526
t38506aep|ANK2_HUMAN,0.0996152785678778
t38509aep|DCDC2_MOUSE,0.0367496351941659
t38497aep|DDC_HUMAN,0.0131123956592598
t33106aep|NPHP3_HUMAN,0.0241457062647183
t34691aep|PLCL2_MOUSE,0.0219040752623511
t32283aep|PPBT_CHICK,0.153656402822555
t32280aep|5HTR_LYMST,0.0282229396523103
t32898aep|CAC1B_RAT,0.0414675814640072
t35776aep|KLC4_MOUSE,0.0256141438887352
