t34446aep|VIAAT_XENLA,0.0363625500783383
t36334aep|DOCK3_HUMAN,0.0964365508308547
t36337aep|CRYAB_BOVIN,0.238552661599974
t35904aep|DDAC_ENTAG,0.0363625500783383
t35908aep|CAF1A_CHICK,0.0053149091713746
t31833aep|BP10_PARLI,0.169632130864007
t38117aep|SAXO1_RAT,0.544330206808776
t33741aep|IFT20_DANRE,0.0303745574119509
t33735aep|DHB11_RAT,0.227609713441389
t32692aep|GPTC4_XENTR,0.115029841370632
t32687aep|RAB23_HUMAN,0.112258991562625
t32691aep|PP14C_RAT,0.00440525055118189
t35860aep|KIF3A_MACFA,0.0275553301440565
t35862aep|MEGF6_HUMAN,0.0266572410249831
t37374aep|VWDE_HUMAN,0.0363625500783383
t37381aep|RPAC2_BOVIN,0.178668403920838
t37368aep|PEX10_MOUSE,0.064067022973703
t32305aep|PPCT_MOUSE,0.0742190911471368
t32304aep|SWT15_VITVI,0.18397088271807
t33480aep|MSRB_METBF,0.00193547826273727
t33084aep|TXIP1_MOUSE,0.0363625500783383
t32819aep|T106C_HUMAN,0.038074141584081
t35991aep|FLNC_RAT,0.060567567811271
t37010aep|NDUF4_PONAB,0.140812367629059
t35984aep|DYH6_HUMAN,0.0279182174970234
t37013aep|LAGE3_MOUSE,0.0498185565131291
t34431aep|RSPH1_HUMAN,0.649346682507358
t34434aep|S12A8_XENLA,0.00947508508347412
t31848aep|SPCS3_CHICK,0.210931216109402
t34802aep|PISD_CRIGR,0.0160686028634072
t34792aep|PTH2_BOVIN,0.163359332697697
t31220aep|P52K_HUMAN,0.0363625500783383
t36650aep|ANKK1_MOUSE,0.0144893227506145
t37816aep|LRP2_RAT,0.0482624168806375
t32265aep|SYD1_CAEEL,0.0584721331519509
t32266aep|GGT1_PIG,0.0333458942057948
t32255aep|CHSS1_MOUSE,0.0416255794924586
t32263aep|IF172_DANRE,0.107960458514548
t35087aep|CJ076_XENLA,0.031772872686066
t35082aep|WASH7_HUMAN,0.0146843282064615
t35079aep|RB39B_MOUSE,0.0048952709537898
t35549aep|PDRG1_RAT,0.059838630537593
t35558aep|ARP10_HUMAN,0.0671476745095807
t36392aep|UTP15_HUMAN,0.203932358950734
t36387aep|NPHP3_HUMAN,0.0363625500783383
t35403aep|MYPN_MOUSE,0.0363625500783383
t35406aep|WDY_ANOGA,0.0573288889385948
t35851aep|OPSD1_MIZYE,0.163701044721674
t35848aep|MS3L1_PONAB,0.0311016220036039
t35217aep|CEBPB_CHICK,0.0346801972672324
t32622aep|MK14_CANLF,0.0356269009955118
t32614aep|XRRA1_MOUSE,0.0720723378083549
t32623aep|F1142_BOVIN,0.0663264387151687
t33645aep|TLR1_DROME,0.0782865472465669
t33647aep|WHITE_LUCCU,0.0126902306049011
t33657aep|TM243_BOVIN,0.0695018624900176
t33644aep|CC180_HUMAN,0.32696964507746
t37951aep|MPU1_MOUSE,1.08615037345705
t37954aep|DYH10_HUMAN,0.0363625500783383
t31817aep|AKR1_YARLI,0.0363625500783383
t32422aep|UTP11_MOUSE,0.0503179518218001
t32416aep|COMD8_HUMAN,0.0907328776822686
t32413aep|NTPES_BACSU,2.41605625397429
t36940aep|ROP1L_XENLA,0.710700779861207
t36944aep|CFA74_MOUSE,0.0275553301440565
t36938aep|SYT15_HUMAN,1.33671828152708
t33627aep|VMP1_DANRE,0.145156185249293
t33620aep|SYT7_HUMAN,0.499378281290002
t33626aep|PFLD_ECOLI,0.00920081237190689
t36961aep|TRAF4_HUMAN,0.000753153130053075
t31714aep|KLC4_RAT,0.0363625500783383
t33194aep|UBP54_RAT,0.0390502133051705
t33195aep|RA54B_CHICK,0.00960383571349503
t33188aep|ADCY9_HUMAN,0.22372816595202
t37624aep|VATF_HUMAN,0.0155262014733657
t37634aep|KELP_ARATH,0.0820656504845291
t37637aep|DYHC_HELCR,0.0979195536498996
t34760aep|QORL1_MOUSE,0.014024574172839
t34577aep|ARSB_RAT,0.0774697800591146
t38683aep|H10A_XENLA,0.0096169441243286
t38674aep|S7A14_HUMAN,0.441300805413922
t38680aep|PGAP3_XENTR,0.0347090013992189
t32845aep|KTI12_DANRE,0.0314037233093075
t32852aep|NPC2_DROME,2.3185010613012
t32851aep|STX18_HUMAN,0.102058808604869
t36490aep|CCD81_HUMAN,0.175858479297818
t36502aep|NPHP3_HUMAN,0.0160933801792447
t36491aep|VP37B_HUMAN,0.0880571549659253
t38464aep|AB1G_ARATH,0.0363625500783383
t34599aep|YTX2_XENLA,0.0225023856272004
t34605aep|CRFR2_XENLA,0.0200450148017928
t38360aep|PIGL_RAT,0.0513889639311545
t38363aep|DNAL4_PIG,0.0884074881494583
t32786aep|SETD4_HUMAN,0.0170012216348954
t32785aep|HEBP1_MOUSE,1.83176727933675
t36257aep|EDIL3_MOUSE,0.0248577800812543
t36265aep|TXND_THEPA,0.222804664149571
t37210aep|DPOD3_BOVIN,0.087830017807813
t37218aep|EF1G2_ARATH,0.0363625500783383
t38654aep|BBS4_HUMAN,0.016027265022573
t38667aep|CAH5_CAEEL,0.0363625500783383
t38657aep|CCD94_MOUSE,0.0580227735386087
t35898aep|NPHP3_XENLA,0.0293521304864579
t38450aep|KCY_DANRE,0.106869364236576
t31921aep|NXF1_COTJA,0.0929908337485519
t31915aep|F149A_MOUSE,0.0144127237129331
t34560aep|AMPN_RAT,0.015091317019111
t34555aep|TM107_DANRE,0.00336830470409814
t35307aep|DTD2_MOUSE,0.0482624168806375
t35300aep|DJC11_PONAB,0.0980547339308901
t37098aep|MUG1_MOUSE,0.0363625500783383
t34987aep|FA47E_HUMAN,0.0135126625148278
t34990aep|LYST_MOUSE,0.0178441283881066
t31904aep|RPB11_MOUSE,0.0776316146405686
t31908aep|RSLBA_HUMAN,0.434572304001439
t31912aep|HSP70_HYDVU,0.462229980911655
t31899aep|AT1A_HYDVU,0.113208982178748
t38176aep|APC1_MOUSE,0.029400765269642
t38186aep|CRYAB_BOVIN,0.0148149493015579
t35366aep|XRN1_HUMAN,0.0257243778567708
t35363aep|TMX2B_DANRE,0.0836308373654147
t35365aep|SGCD_HUMAN,0.244338643774186
t35368aep|DCP2_MOUSE,0.0130361880850567
t34194aep|THNS2_MOUSE,0.0954154350205359
t34190aep|CRFR2_MOUSE,0.0363625500783383
t32762aep|RAD50_MOUSE,0.317739659143457
t32167aep|HAUS4_HUMAN,0.0601839566367237
t36933aep|ATG2B_HUMAN,0.0331810612472788
t36930aep|RTJK_DROME,0.0363625500783383
t35832aep|SPTN1_HUMAN,0.0204613741237426
t35835aep|IFT22_XENTR,0.756773573867864
t35829aep|PLPL9_HUMAN,0.0208392774385685
t35009aep|SPB10_BOVIN,0.0879720487657276
t35011aep|HEMK1_HUMAN,0.0329459803288758
t35006aep|CER1_HUMAN,0.0363625500783383
t32100aep|PRRT1_MOUSE,0.0271414955802713
t32108aep|FITM2_XENTR,0.0619476592627715
t32102aep|KRI1_MOUSE,0.0505781443442504
t32112aep|HACE1_HUMAN,0.0459693479825512
