t34451aep|RSGI5_CLOTH,0.0277102607810287
t34446aep|VIAAT_XENLA,0.0277102607810287
t36334aep|DOCK3_HUMAN,0.08940687477056
t36336aep|CEP76_PONAB,0.0634191627001436
t36337aep|CRYAB_BOVIN,0.324892571568549
t35903aep|S35E3_DANRE,0.129971408841117
t35908aep|CAF1A_CHICK,0.0309785588557483
t32664aep|AQP9_HUMAN,0.0736414635180065
t31833aep|BP10_PARLI,0.0217928694394908
t38104aep|B3GN4_HUMAN,0.72153020967431
t38117aep|SAXO1_RAT,0.173872928600755
t33735aep|DHB11_RAT,0.278338802387562
t35871aep|NOD1_MOUSE,0.0277102607810287
t35860aep|KIF3A_MACFA,0.114486846028699
t35353aep|B4GA1_DANRE,0.0157399749023415
t33691aep|ABCB2_DICDI,0.0277102607810287
t37381aep|RPAC2_BOVIN,0.100161042701603
t32305aep|PPCT_MOUSE,0.0758349628664363
t32304aep|SWT15_VITVI,0.103665919541281
t33480aep|MSRB_METBF,0.103891951701672
t33085aep|TXIP1_HUMAN,0.0277102607810287
t32819aep|T106C_HUMAN,0.120438883136972
t37010aep|NDUF4_PONAB,0.068647255170328
t35984aep|DYH6_HUMAN,0.0736414635180065
t31647aep|PPT1_HUMAN,0.0288183706957832
t37013aep|LAGE3_MOUSE,0.0207251097734186
t34435aep|IMPTB_XENTR,0.0242512534875307
t34431aep|RSPH1_HUMAN,0.274170594533042
t34434aep|S12A8_XENLA,0.0818850254351053
t34428aep|SPC25_RAT,0.0893875440563418
t31846aep|CEP70_RAT,0.0315327735158086
t31849aep|TYPH_RAT,0.0334543341590912
t31848aep|SPCS3_CHICK,0.0058826082048458
t34798aep|APH1_DROME,0.0196015350111388
t34796aep|PCMD2_BOVIN,0.0102569566646046
t34792aep|PTH2_BOVIN,0.0725225101346524
t32473aep|RB18B_DANRE,0.060242333015921
t32470aep|LYRM2_MOUSE,0.000701541418102929
t31231aep|UNC89_CAEEL,0.0550685399346668
t37814aep|CC105_BOVIN,0.0149207710578231
t37816aep|LRP2_RAT,0.0153939173577102
t32265aep|SYD1_CAEEL,0.223982207154608
t32253aep|YPEL5_PONAB,0.0383538802892746
t32261aep|GAPR1_HUMAN,0.0277102607810287
