t34450aep|KCNH5_MOUSE,0.0091907562565118
t36336aep|CEP76_PONAB,0.00310932694901458
t36337aep|CRYAB_BOVIN,0.16576578883847
t35903aep|S35E3_DANRE,0.225853454099306
t32664aep|AQP9_HUMAN,0.00991732395687908
t38110aep|P2R3C_HUMAN,0.065580362750242
t38118aep|AGRIN_MOUSE,0.00581660607301105
t38117aep|SAXO1_RAT,0.0482523977384939
t33741aep|IFT20_DANRE,0.0285072382307226
t33735aep|DHB11_RAT,0.199689327682727
t32696aep|OTOF_DANRE,0.0091907562565118
t32692aep|GPTC4_XENTR,0.0029796674174756
t32687aep|RAB23_HUMAN,0.00797132920895949
t32691aep|PP14C_RAT,0.000899625728469854
t32688aep|CPT2_MOUSE,0.0091907562565118
t35863aep|SSPO_CHICK,0.0167376571823618
t35354aep|KLC3_RAT,0.0091907562565118
t35353aep|B4GA1_DANRE,0.0245955762289388
t33691aep|ABCB2_DICDI,0.0237171519421216
t37371aep|IDI1_BOVIN,0.0352639568704392
t37374aep|VWDE_HUMAN,0.0091907562565118
t37381aep|RPAC2_BOVIN,0.192303668510753
t37368aep|PEX10_MOUSE,0.0264448589282072
t32307aep|NCAN_PANTR,0.0091907562565118
t32305aep|PPCT_MOUSE,0.00370703289888667
t32304aep|SWT15_VITVI,0.0271093184200517
t33080aep|KIF17_HUMAN,0.0463284063014524
t33084aep|TXIP1_MOUSE,0.0091907562565118
t33085aep|TXIP1_HUMAN,0.0275128691562602
t38021aep|YD286_MOUSE,0.0416742449858884
t32818aep|SY65_DROME,0.0145577885104379
t32819aep|T106C_HUMAN,0.151537893985244
t32810aep|NDUA5_BOVIN,0.208062223900978
t35724aep|SYF2_DANRE,0.871123744218558
t38633aep|DRG1_XENLA,0.186280088941287
t38648aep|TM175_CHICK,0.0091907562565118
t34431aep|RSPH1_HUMAN,1.07526780315699
t34434aep|S12A8_XENLA,0.0694129912797824
t34430aep|RPAP1_BOVIN,0.0211378958514875
t31842aep|TERA_XENLA,0.174596019581831
t31848aep|SPCS3_CHICK,0.300872098168729
t34798aep|APH1_DROME,0.00143988017308169
t34796aep|PCMD2_BOVIN,0.000945311608875108
t34792aep|PTH2_BOVIN,0.00649776839967841
t32475aep|WHITE_DROME,0.0403145170546447
t32469aep|CO6A4_MOUSE,0.0183616565381938
t32470aep|LYRM2_MOUSE,0.0655163993735566
t31220aep|P52K_HUMAN,0.0091907562565118
t36650aep|ANKK1_MOUSE,0.0263838270212869
t37817aep|RS6_BRAFL,0.198692420136494
t37818aep|EF1A_HYDVU,0.109418651832772
t32265aep|SYD1_CAEEL,0.0192567205992219
t32255aep|CHSS1_MOUSE,0.0334773829453676
t32263aep|IF172_DANRE,0.0408356866147211
t35087aep|CJ076_XENLA,0.0699123637410108
t35552aep|DTL_CHICK,0.0245990382566613
t35545aep|KLC4_MOUSE,0.0091907562565118
t36395aep|NAS15_CAEEL,0.0091907562565118
t36392aep|UTP15_HUMAN,0.135949809160752
t36391aep|HETE1_PODAS,0.0183616565381938
t36387aep|NPHP3_HUMAN,0.0091907562565118
t35411aep|EDC3_PONAB,0.0516448959919031
t33710aep|SEC_ARATH,0.0091907562565118
t35851aep|OPSD1_MIZYE,0.286848379400488
t35853aep|TM175_MOUSE,0.0091907562565118
t35848aep|MS3L1_PONAB,0.0511670454627948
t35846aep|SDHF3_NEMVE,0.00477333136325299
t35850aep|CYTA_MOUSE,0.0091907562565118
t35208aep|TTC28_MOUSE,0.0183616565381938
t35217aep|CEBPB_CHICK,0.191591061591066
t37316aep|ASPM_SHEEP,0.00602327215867807
t37317aep|ASPM_SAIBB,0.00709239926761348
t37312aep|UBC12_SCHPO,0.299827528909487
t32623aep|F1142_BOVIN,0.164555447069155
t33644aep|CC180_HUMAN,0.108690447778149
t37951aep|MPU1_MOUSE,2.49771529148951
t37961aep|NRDC_MOUSE,0.0194993757764989
t37948aep|RHG32_XENLA,0.0893515728440953
t32412aep|M3K19_HUMAN,0.0870069985341765
t32416aep|COMD8_HUMAN,0.00504062529257553
t32413aep|NTPES_BACSU,1.58515966906192
t36940aep|ROP1L_XENLA,0.566626408869608
t36938aep|SYT15_HUMAN,0.0564280405616636
t33901aep|KLC4_BOVIN,0.0091907562565118
t33907aep|BRAT1_MOUSE,0.0396525611391153
t33627aep|VMP1_DANRE,0.173656539515272
t33620aep|SYT7_HUMAN,0.374112985917051
t33626aep|PFLD_ECOLI,0.000351131449829064
t33195aep|RA54B_CHICK,0.00381330661320329
t33188aep|ADCY9_HUMAN,0.579133665287725
t37636aep|FAT2_DROME,0.0091907562565118
t37623aep|RHES_HUMAN,0.0690462388407188
t37627aep|CD2B2_MOUSE,0.0251744627836917
t36579aep|YL728_MIMIV,0.0091907562565118
t36573aep|LTBP4_HUMAN,0.00839500246028816
t34577aep|ARSB_RAT,0.0613469983524598
t38674aep|S7A14_HUMAN,0.145338975998089
t38672aep|SHL2_ORYSJ,0.0183616565381938
t38673aep|RDR2_ORYSJ,0.0091907562565118
t38687aep|PTPRD_MOUSE,0.0091907562565118
t32852aep|NPC2_DROME,3.05159600166672
t32851aep|STX18_HUMAN,0.054034940063052
t32840aep|CNOT2_HUMAN,0.107305731712778
t36490aep|CCD81_HUMAN,0.00785016755376565
t36502aep|NPHP3_HUMAN,0.0254877249798437
t36496aep|TNAP3_MACFA,0.0278018882503511
t36486aep|SCN1_HETBL,0.015119122283325
t38463aep|RS17_BOVIN,0.0240440472876573
t38465aep|SGT2_SCHPO,0.0091907562565118
t34603aep|RWDD1_RAT,0.131882951726866
t34599aep|YTX2_XENLA,0.0045014920870561
t34605aep|CRFR2_XENLA,0.0842732264059264
t34604aep|RA51D_ARATH,0.0196413404621749
t34600aep|KPSH1_BOVIN,0.019494666353052
t38354aep|TC1A_CAEEL,0.0091907562565118
t38363aep|DNAL4_PIG,0.243791102247185
t32785aep|HEBP1_MOUSE,2.40023143765855
t36265aep|TXND_THEPA,0.335570075708677
t36256aep|RTBS_DROME,0.0091907562565118
t37210aep|DPOD3_BOVIN,0.0301869720895482
t37220aep|HMCN2_HUMAN,0.0183616565381938
t36467aep|CEAM5_HUMAN,0.0091907562565118
t36469aep|DNLI1_XENLA,0.0290798069506017
t38654aep|BBS4_HUMAN,0.0492442267436595
t38666aep|EPHA3_MOUSE,0.0183616565381938
t38653aep|TOR1A_MACFA,0.0491237041108776
t35898aep|NPHP3_XENLA,0.00218033666463176
t38456aep|ELMD2_BOVIN,0.0986455823982106
t31921aep|NXF1_COTJA,0.77287095156316
t31918aep|RAD9A_MOUSE,0.0134557384297521
t31915aep|F149A_MOUSE,0.00375903035006652
t34555aep|TM107_DANRE,0.0882553554189618
t34559aep|XPA_XENLA,0.00742450400805621
t35307aep|DTD2_MOUSE,0.0261205444864245
t35300aep|DJC11_PONAB,0.0307161648503102
t37097aep|THA11_DANRE,0.0091907562565118
t37095aep|AGRG4_HUMAN,0.127051075328013
t34987aep|FA47E_HUMAN,0.013794672898909
t31900aep|FRIH_TREBE,0.127973502186714
t31908aep|RSLBA_HUMAN,0.391225580740087
t31912aep|HSP70_HYDVU,0.386565525183133
t31910aep|CAH1_RAT,0.0183616565381938
t38186aep|CRYAB_BOVIN,0.109699537431866
t32713aep|SDA1_RAT,0.0783465129200401
t32725aep|TIM10_CAEBR,0.0153316271681897
t32715aep|KCMA1_BOVIN,0.0091907562565118
t35366aep|XRN1_HUMAN,0.0175761813096801
t35368aep|DCP2_MOUSE,0.0345629517385826
t35373aep|RS14_MARMM,0.0875191644702756
t34181aep|HARB1_DANRE,0.0091907562565118
t32769aep|KLC4_HUMAN,0.0091907562565118
t32762aep|RAD50_MOUSE,0.0605813493653754
t32779aep|SNR48_HUMAN,0.0991048267716844
t33147aep|MFSD8_DANRE,0.0183616565381938
t32175aep|ATK4_ARATH,0.0091907562565118
t32167aep|HAUS4_HUMAN,0.0001813790385257
t36935aep|KCNC1_HUMAN,0.045756894878937
t36933aep|ATG2B_HUMAN,0.00804032873573878
t35835aep|IFT22_XENTR,0.583067098147649
t35007aep|NPFF2_HUMAN,0.0183616565381938
t35008aep|OPN4_PHOSU,0.0091907562565118
t35013aep|HERC1_HUMAN,0.00782296901254578
t34999aep|SRBP1_PIG,0.119201430868284
t32108aep|FITM2_XENTR,0.0368069267512316
t32101aep|NEK4_HUMAN,0.035270062143919
t32321aep|DYH7_HUMAN,0.097094982040855
t36035aep|TCEA2_HUMAN,0.224275478886627
t35690aep|HMGX4_HUMAN,0.000676621760693008
t32136aep|ZDH11_MOUSE,0.881087494971273
t32148aep|DPOA2_HUMAN,0.0183616565381938
t32140aep|RAD2B_ARATH,0.00648135863495314
t32147aep|DDX10_HUMAN,0.0533352117277047
t32151aep|HE_PARLI,0.129322760722345
t32143aep|RN212_MOUSE,0.0091907562565118
t37177aep|MDC1_RAT,0.0225194095723175
t37192aep|FBXW2_MOUSE,0.00245852287688399
t37178aep|MSH3_MOUSE,0.0183616565381938
t33385aep|CDD_DICDI,0.0548500349281241
t36557aep|DHSO_BOVIN,0.00643318763375904
t36736aep|ARP8_SALSA,0.0500029735443119
t36735aep|S30BP_HUMAN,0.0897379266469686
t34473aep|PGBD4_HUMAN,0.0091907562565118
t34465aep|NPHP4_MOUSE,0.0263758571733306
t34475aep|LRIG2_HUMAN,0.319452127081124
t34481aep|PYM1_BOVIN,0.0429872427912121
t34464aep|RUSD4_HUMAN,0.38687283040826
t34671aep|GT2D2_MOUSE,0.00606722804342227
t34682aep|IPMK_HUMAN,0.0603388092195253
t34670aep|VKORL_HUMAN,1.51394887192246
