t31633aep|PREA_SALTY,0.069361305982513
t36047aep|FUCTA_DROME,0.135760439626491
t36970aep|EXOS6_DANRE,0.0889262965425804
t34453aep|RIFK_DROME,0.0224456268366904
t34446aep|VIAAT_XENLA,0.069361305982513
t36334aep|DOCK3_HUMAN,0.207082991162144
t36332aep|COPG2_ORYSJ,0.069361305982513
t36329aep|FGOP2_CHICK,0.08098790101035
t35900aep|RHCG_XENTR,0.02150160040452
t35908aep|CAF1A_CHICK,0.00260387734553296
t32662aep|SERB_BOVIN,0.295427365978217
t31833aep|BP10_PARLI,0.129843048284953
t31838aep|STXB1_RAT,0.316990291867931
t38104aep|B3GN4_HUMAN,0.126055130573136
t38103aep|PTSS1_DANRE,0.0116085366089297
t38117aep|SAXO1_RAT,0.338334598643721
t32686aep|MRP1_CHICK,0.283725917676222
t32687aep|RAB23_HUMAN,0.0105917508703273
t35871aep|NOD1_MOUSE,0.199448933222204
t35860aep|KIF3A_MACFA,0.147376910441467
t35863aep|SSPO_CHICK,0.0585860940086146
t35857aep|PKD2_ORYLA,0.069361305982513
t35356aep|CASP8_RAT,0.192334141975238
t37371aep|IDI1_BOVIN,0.207422433115215
t37380aep|CBL_MOUSE,1.06743997390235
t32307aep|NCAN_PANTR,0.199448933222204
t32310aep|LSM1_HUMAN,0.0116104911935354
t32304aep|SWT15_VITVI,0.0270192971939381
t36728aep|ARL5B_MOUSE,0.0262090917147023
t32812aep|TCB2_CAEBR,0.069361305982513
t35724aep|SYF2_DANRE,0.227848991865284
t35979aep|ECI1_RAT,0.0314890929394972
t35991aep|FLNC_RAT,0.825986711065712
t37010aep|NDUF4_PONAB,0.127419647833367
t35982aep|NLTP_CHICK,0.0349051434961017
t38641aep|AL7A1_CAEEL,0.069361305982513
t34435aep|IMPTB_XENTR,0.0777277150223417
t34434aep|S12A8_XENLA,0.0424738409876492
t34428aep|SPC25_RAT,0.0616687360000539
t34802aep|PISD_CRIGR,0.11546649241156
t34796aep|PCMD2_BOVIN,0.0245497227124509
t34792aep|PTH2_BOVIN,0.00640774717356476
t32470aep|LYRM2_MOUSE,0.0122280040322007
t37814aep|CC105_BOVIN,0.0956126707496472
t37816aep|LRP2_RAT,0.201992529430697
t32256aep|P5CR1_BOVIN,0.0975218735591553
t32265aep|SYD1_CAEEL,1.93533279594149
t32253aep|YPEL5_PONAB,0.140066826018751
t32263aep|IF172_DANRE,0.201856528958525
t32267aep|CG050_MOUSE,0.524203810782104
t35079aep|RB39B_MOUSE,0.132271866367639
t35552aep|DTL_CHICK,0.00292650723515962
t36397aep|ARMC7_MOUSE,0.000878800875936497
t36395aep|NAS15_CAEEL,0.135760439626491
t35411aep|EDC3_PONAB,0.0904069663373632
t35408aep|NK2R_RAT,0.069361305982513
t33695aep|GID8_NEMVE,0.119518788167016
t35853aep|TM175_MOUSE,0.173330069554601
t35848aep|MS3L1_PONAB,0.0782558071585558
