t31619aep|ABCA2_HUMAN,0.045208959447898
t36336aep|CEP76_PONAB,0.15467645402304
t36335aep|RTJK_DROME,0.045208959447898
t36329aep|FGOP2_CHICK,0.0653979960502613
t36337aep|CRYAB_BOVIN,0.0392053184531846
t35904aep|DDAC_ENTAG,2.07861325852847
t35900aep|RHCG_XENTR,0.0844886020083958
t35903aep|S35E3_DANRE,0.233016129370658
t32662aep|SERB_BOVIN,0.142489711752928
t31833aep|BP10_PARLI,0.0392915681063598
t31838aep|STXB1_RAT,0.186586442849073
t38117aep|SAXO1_RAT,0.482235291121044
t33737aep|ZMYM6_HUMAN,0.045208959447898
t32685aep|RN146_XENTR,0.145627487346467
t32692aep|GPTC4_XENTR,0.158128186804781
t32693aep|S27A4_HUMAN,0.027211548361708
t32691aep|PP14C_RAT,0.0132516599207419
t35871aep|NOD1_MOUSE,0.132348307586389
t35860aep|KIF3A_MACFA,0.169668437386197
t35863aep|SSPO_CHICK,0.0344337474739995
t35870aep|STK10_CHICK,0.178113200653849
t35861aep|ABCBA_HUMAN,0.125972427598654
t35353aep|B4GA1_DANRE,0.00588039441557253
t37371aep|IDI1_BOVIN,0.00135649963732245
t37381aep|RPAC2_BOVIN,0.0369241559556646
t37368aep|PEX10_MOUSE,0.0344443578907463
t37380aep|CBL_MOUSE,0.282439746704874
t32307aep|NCAN_PANTR,1.01332760283499
t32304aep|SWT15_VITVI,0.0656522532998389
t33084aep|TXIP1_MOUSE,0.045208959447898
t33085aep|TXIP1_HUMAN,0.045208959447898
t36728aep|ARL5B_MOUSE,0.094477089584302
t32810aep|NDUA5_BOVIN,0.075695321557752
t35724aep|SYF2_DANRE,0.394505013045862
t35994aep|MLRP2_ACRMI,0.173142023388357
t35982aep|NLTP_CHICK,0.0419741778580626
t38636aep|ALG3_HUMAN,0.00212193518797288
t34431aep|RSPH1_HUMAN,0.366883593826239
t34434aep|S12A8_XENLA,0.062417704030199
t34436aep|XRN1_HUMAN,0.0560826941607807
t34428aep|SPC25_RAT,0.157250015099768
t34430aep|RPAP1_BOVIN,0.00242271403812146
