t36334aep|DOCK3_HUMAN,0.00439279940603482
t36337aep|CRYAB_BOVIN,0.0914036712370942
t35904aep|DDAC_ENTAG,2.18820833353514
t35900aep|RHCG_XENTR,0.0690014216450599
t32662aep|SERB_BOVIN,0.568121155110547
t31838aep|STXB1_RAT,0.265171991354093
t38117aep|SAXO1_RAT,0.506980130360242
t32685aep|RN146_XENTR,0.451553034127008
t32692aep|GPTC4_XENTR,0.222580379610978
t32691aep|PP14C_RAT,0.0849038276958967
t32688aep|CPT2_MOUSE,0.116861127223053
t35860aep|KIF3A_MACFA,0.275506806136217
t35870aep|STK10_CHICK,0.159765189418224
t35861aep|ABCBA_HUMAN,0.0273422864864176
t35855aep|MIPEP_PONAB,0.153616176172965
t35857aep|PKD2_ORYLA,0.116861127223053
t35356aep|CASP8_RAT,0.0485476739476734
t37371aep|IDI1_BOVIN,0.0289124578353125
t37380aep|CBL_MOUSE,0.327674323971879
t32307aep|NCAN_PANTR,1.0383094434929
t32310aep|LSM1_HUMAN,0.139800299814641
t32305aep|PPCT_MOUSE,0.0839235996595206
t32304aep|SWT15_VITVI,0.218897599410757
t36728aep|ARL5B_MOUSE,0.297845566832941
t32810aep|NDUA5_BOVIN,0.0803713410203047
t35724aep|SYF2_DANRE,0.652543721852586
t35981aep|PRPF3_CHICK,0.149123804985133
t35991aep|FLNC_RAT,0.214211228135221
t37010aep|NDUF4_PONAB,0.194410794426059
t35989aep|M2K3_ARATH,0.116861127223053
t38646aep|PARG_BOVIN,0.0464514573981884
t34431aep|RSPH1_HUMAN,0.558368945240368
t34436aep|XRN1_HUMAN,0.0261097036647146
t34428aep|SPC25_RAT,0.0879358009101549
t31846aep|CEP70_RAT,0.175162975548792
t31842aep|TERA_XENLA,0.104538195905352
t34798aep|APH1_DROME,0.0543768661348707
t34796aep|PCMD2_BOVIN,0.0720495439529909
t34792aep|PTH2_BOVIN,0.198286049390384
t34790aep|TWF1_HUMAN,0.0091446467291046
t32473aep|RB18B_DANRE,0.0950176641396528
t32470aep|LYRM2_MOUSE,0.204106306249019
