t34456aep|TAF3_CHICK,0.0888554324767354
t36334aep|DOCK3_HUMAN,0.0958546147585846
t36336aep|CEP76_PONAB,0.0116328029992011
t36329aep|FGOP2_CHICK,0.122811554413646
t36337aep|CRYAB_BOVIN,0.358723432376731
t35904aep|DDAC_ENTAG,2.29600203324646
t35900aep|RHCG_XENTR,0.0939393315656866
t35903aep|S35E3_DANRE,0.0268157453176182
t32662aep|SERB_BOVIN,0.337251019381513
t31833aep|BP10_PARLI,0.0665302259699124
t31838aep|STXB1_RAT,0.4599865941552
t38104aep|B3GN4_HUMAN,0.20965800963252
t38110aep|P2R3C_HUMAN,0.0308211498011801
t38103aep|PTSS1_DANRE,0.0204825459623285
t38117aep|SAXO1_RAT,0.466698248362046
t33741aep|IFT20_DANRE,0.0650169758449611
t32685aep|RN146_XENTR,0.24670235858299
t32692aep|GPTC4_XENTR,0.197454397244868
t32693aep|S27A4_HUMAN,0.0611410952049194
t35871aep|NOD1_MOUSE,0.0724476173114504
t35860aep|KIF3A_MACFA,0.357867664523781
t35863aep|SSPO_CHICK,0.131023825169781
t35861aep|ABCBA_HUMAN,0.118804101838968
t35353aep|B4GA1_DANRE,0.102470472111354
t37374aep|VWDE_HUMAN,0.0724476173114504
t37368aep|PEX10_MOUSE,0.169699214071909
t37380aep|CBL_MOUSE,0.0135057132162048
t32307aep|NCAN_PANTR,1.05053721912602
t32309aep|TM203_HUMAN,0.0050940419845669
t32304aep|SWT15_VITVI,0.0330578947111272
t33080aep|KIF17_HUMAN,0.00117993715095652
t32809aep|TRPA1_HUMAN,0.0724476173114504
t35981aep|PRPF3_CHICK,0.083883227020648
t35991aep|FLNC_RAT,0.260749759451857
t35994aep|MLRP2_ACRMI,0.0994497921967468
t35984aep|DYH6_HUMAN,0.0640032847301359
t38646aep|PARG_BOVIN,0.201844859624076
t38648aep|TM175_CHICK,0.14179903714368
t34435aep|IMPTB_XENTR,0.0416303308643147
t34431aep|RSPH1_HUMAN,0.808810915339283
t34434aep|S12A8_XENLA,0.0455601523165865
t34428aep|SPC25_RAT,0.00401883992152979
t31846aep|CEP70_RAT,0.0218945947279378
t34796aep|PCMD2_BOVIN,0.0276360340413885
t34792aep|PTH2_BOVIN,0.263792438890311
t32473aep|RB18B_DANRE,0.11995557406028
t36650aep|ANKK1_MOUSE,0.0989594709556996
t37814aep|CC105_BOVIN,0.0322998484346071
t37816aep|LRP2_RAT,0.0484204640714211
t32265aep|SYD1_CAEEL,0.627612583777531
t32253aep|YPEL5_PONAB,0.148940835372149
t32266aep|GGT1_PIG,0.067988312638805
t32255aep|CHSS1_MOUSE,0.0420008589955541
t32258aep|SHPK_MOUSE,0.0298903023923077
t32263aep|IF172_DANRE,0.238573998010593
t32267aep|CG050_MOUSE,0.453412174626514
t35085aep|RS30_ORYLA,0.0796418595958319
t35075aep|COMD6_MOUSE,0.118864982433997
t35079aep|RB39B_MOUSE,0.0746219702891145
t35552aep|DTL_CHICK,0.00601281856409704
t35411aep|EDC3_PONAB,0.104656497350501
t35408aep|NK2R_RAT,0.0724476173114504
t33696aep|CNRP1_BOVIN,0.0724476173114504
t33695aep|GID8_NEMVE,0.0154403319862206
t35851aep|OPSD1_MIZYE,0.26040605196507
t35853aep|TM175_MOUSE,0.483085162385169
t35850aep|CYTA_MOUSE,0.0724476173114504
t35208aep|TTC28_MOUSE,0.0724476173114504
t35217aep|CEBPB_CHICK,0.532943412936387
t37317aep|ASPM_SAIBB,0.0428954561166447
t32615aep|UNK_HUMAN,0.0741287810985239
t33656aep|CRYAB_BOVIN,0.0610155084669467
t33645aep|TLR1_DROME,0.436067263941527
t33647aep|WHITE_LUCCU,0.274418742788847
t33648aep|KPCD3_HUMAN,0.434173702353886
t33650aep|DUS22_HUMAN,0.23501094022788
t37961aep|NRDC_MOUSE,0.0564374880372986
t31825aep|F185A_MOUSE,0.00702244987700934
t31829aep|MYO10_HUMAN,0.0095276530302669
t31817aep|AKR1_YARLI,0.246021344271193
t32420aep|RPE_HUMAN,0.0504663678092142
t32421aep|PCS3_LOTJA,0.120631182051329
t32422aep|UTP11_MOUSE,0.370969894279007
t32416aep|COMD8_HUMAN,0.154082528483336
t32413aep|NTPES_BACSU,0.0241814254296688
t36946aep|ELOV5_XENTR,0.0265817493147277
