t36970aep|EXOS6_DANRE,0.0940208195322305
t34456aep|TAF3_CHICK,0.0516432570775556
t36334aep|DOCK3_HUMAN,0.161608916344827
t36337aep|CRYAB_BOVIN,0.0698676476804891
t35900aep|RHCG_XENTR,0.226217538583852
t32662aep|SERB_BOVIN,0.288765697765657
t31838aep|STXB1_RAT,0.203444285425516
t38117aep|SAXO1_RAT,1.23797692300462
t33741aep|IFT20_DANRE,0.0199069158761132
t32686aep|MRP1_CHICK,0.226081080655541
t32687aep|RAB23_HUMAN,0.0491319346352998
t35870aep|STK10_CHICK,1.05757320731393
t35855aep|MIPEP_PONAB,0.0245891552154922
t35353aep|B4GA1_DANRE,0.0573604121425062
t33691aep|ABCB2_DICDI,0.0966889771748318
t37368aep|PEX10_MOUSE,0.023736806108277
t37380aep|CBL_MOUSE,0.327263101040334
t32307aep|NCAN_PANTR,0.550204490701216
t32305aep|PPCT_MOUSE,0.0637514496112992
t32304aep|SWT15_VITVI,0.165336101729293
t38023aep|FUT3_PONPY,0.0966889771748318
t38021aep|YD286_MOUSE,0.121673442968732
t35991aep|FLNC_RAT,0.917404629510683
t31647aep|PPT1_HUMAN,0.0351691180806294
t38649aep|ATXA_LEIDO,0.0966889771748318
t34434aep|S12A8_XENLA,0.375077509646236
t34427aep|ML12B_BOVIN,0.0241512106449877
t34796aep|PCMD2_BOVIN,0.229265660891783
t32470aep|LYRM2_MOUSE,0.0643060064343788
t31227aep|SYCP2_RAT,0.0966889771748318
t36650aep|ANKK1_MOUSE,0.0538494109868514
t36663aep|AA2AR_CANLF,0.274077244161845
t32265aep|SYD1_CAEEL,0.388364769984696
t32266aep|GGT1_PIG,0.200266519656971
t32269aep|FSTL1_BOVIN,0.231442356232462
t32263aep|IF172_DANRE,0.0630084457364838
t32267aep|CG050_MOUSE,0.464412781525374
t35082aep|WASH7_HUMAN,0.00421668667062379
t35079aep|RB39B_MOUSE,0.0295119103202666
t35552aep|DTL_CHICK,0.0302541784274785
t35556aep|M4K2_HUMAN,0.0114603734054419
t35411aep|EDC3_PONAB,0.0449328915200461
t35851aep|OPSD1_MIZYE,0.262228766677974
t35853aep|TM175_MOUSE,0.187838442028669
t37316aep|ASPM_SHEEP,0.0478622144053857
t32622aep|MK14_CANLF,0.0602435403619887
t32614aep|XRRA1_MOUSE,0.0966889771748318
t32616aep|FBN1_BOVIN,0.246402959995578
t33656aep|CRYAB_BOVIN,0.0852568683303277
t33648aep|KPCD3_HUMAN,0.0967378140946786
t33644aep|CC180_HUMAN,0.0199906305744886
t33650aep|DUS22_HUMAN,0.363918634424181
t37948aep|RHG32_XENLA,0.0115963925687794
t31825aep|F185A_MOUSE,0.015860961659851
t31819aep|CPSF1_BOVIN,0.00595213464399087
t31817aep|AKR1_YARLI,0.0966889771748318
t32422aep|UTP11_MOUSE,0.0537456766536038
t32412aep|M3K19_HUMAN,0.0211687340642423
t32413aep|NTPES_BACSU,1.32689037982426
t36940aep|ROP1L_XENLA,0.215832865008222
t36944aep|CFA74_MOUSE,0.0398442499671804
t36938aep|SYT15_HUMAN,1.48131255880791
t36961aep|TRAF4_HUMAN,0.333421502017651
t33195aep|RA54B_CHICK,0.0558012877892676
t37627aep|CD2B2_MOUSE,0.220563841824577
t36574aep|OPN4B_XENLA,0.0966889771748318
t36583aep|CSTF3_MOUSE,0.0397007890569575
t36585aep|CALM_MACPY,0.271047214791841
t36580aep|S39AD_DANRE,0.693069013815599
t34762aep|TYDP2_RAT,0.112353733215283
t34577aep|ARSB_RAT,0.0670021385232768
t38671aep|SETD7_HUMAN,0.0470774567359225
t38685aep|TBP_XENTR,0.593069857573405
t38673aep|RDR2_ORYSJ,0.0966889771748318
t32852aep|NPC2_DROME,0.136364963506979
t36491aep|VP37B_HUMAN,0.360976806686561
t34600aep|KPSH1_BOVIN,0.13435373569473
t38360aep|PIGL_RAT,0.0409213223953168
t32780aep|TBRG1_XENTR,0.0236495406719046
