t37645aep|CP4V2_MOUSE,0.231839018215836
t31628aep|TSP1_BOVIN,0.0179556643073071
t34453aep|RIFK_DROME,0.0513358581101234
t34451aep|RSGI5_CLOTH,0.00898305494775122
t36334aep|DOCK3_HUMAN,0.00351809572157629
t36340aep|AT1A_HYDVU,0.00898305494775122
t36336aep|CEP76_PONAB,0.00184987609401594
t36329aep|FGOP2_CHICK,0.082302596995069
t36337aep|CRYAB_BOVIN,0.296074754524643
t35904aep|DDAC_ENTAG,0.0142329580123508
t35900aep|RHCG_XENTR,0.00217774814141328
t35903aep|S35E3_DANRE,0.112759313585726
t32664aep|AQP9_HUMAN,0.776340217789761
t31833aep|BP10_PARLI,0.0210005135338902
t31838aep|STXB1_RAT,0.121694752122267
t38104aep|B3GN4_HUMAN,0.0134941836878665
t38107aep|PKHL1_MOUSE,0.00898305494775122
t38118aep|AGRIN_MOUSE,0.462201715417345
t38103aep|PTSS1_DANRE,0.0505920221458941
t38117aep|SAXO1_RAT,0.142652624893892
t33743aep|EXOC7_RAT,0.0826638007581116
t33737aep|ZMYM6_HUMAN,0.00898305494775122
t33741aep|IFT20_DANRE,0.0140974614977975
t33735aep|DHB11_RAT,0.209863982717424
t32686aep|MRP1_CHICK,0.405905848082876
t32687aep|RAB23_HUMAN,0.160064312589141
t32691aep|PP14C_RAT,0.110559854449696
t35871aep|NOD1_MOUSE,0.0231994927412215
t35860aep|KIF3A_MACFA,0.0802176583115864
t35863aep|SSPO_CHICK,0.0250946407624109
t35872aep|NAPEP_BOVIN,0.349396366249259
t35870aep|STK10_CHICK,0.0569334650542578
t35862aep|MEGF6_HUMAN,0.0796642570398505
t35356aep|CASP8_RAT,0.0565260248265823
t35353aep|B4GA1_DANRE,0.00177310024070075
t33691aep|ABCB2_DICDI,0.00898305494775122
t37374aep|VWDE_HUMAN,0.00898305494775122
t37380aep|CBL_MOUSE,0.105975589693286
t32309aep|TM203_HUMAN,0.0812743289387428
t32305aep|PPCT_MOUSE,0.0386386867596264
t33480aep|MSRB_METBF,0.183408512645362
t33470aep|PGBD3_HUMAN,0.0179556643073071
t33084aep|TXIP1_MOUSE,0.00898305494775122
t33085aep|TXIP1_HUMAN,0.0179556643073071
t36728aep|ARL5B_MOUSE,0.189793401626973
t32809aep|TRPA1_HUMAN,0.00898305494775122
t32819aep|T106C_HUMAN,0.461124525288845
t32810aep|NDUA5_BOVIN,0.0191552625009046
t35726aep|SO4C1_RAT,0.33725348395355
t35981aep|PRPF3_CHICK,0.0502292456137713
t35991aep|FLNC_RAT,0.132512589432711
t35994aep|MLRP2_ACRMI,0.356116042945315
t35988aep|CIA30_DROME,0.0149009841830718
t35984aep|DYH6_HUMAN,0.0095113317259926
t31651aep|LRRK2_MOUSE,0.00898305494775122
t31647aep|PPT1_HUMAN,0.697126610211746
t38633aep|DRG1_XENLA,0.0674765836932576
t38636aep|ALG3_HUMAN,0.00218633225611564
t38648aep|TM175_CHICK,0.00898305494775122
t34435aep|IMPTB_XENTR,0.00505256628917343
t34431aep|RSPH1_HUMAN,0.921883260905733
t34427aep|ML12B_BOVIN,0.115503249351408
t31846aep|CEP70_RAT,0.0173257838040086
t31842aep|TERA_XENLA,0.143661793510091
t31849aep|TYPH_RAT,0.0462646006119459
t34798aep|APH1_DROME,0.0357672761677637
t34802aep|PISD_CRIGR,0.024517636055131
t34790aep|TWF1_HUMAN,0.220635371776635
t32481aep|GUAA_RAT,0.0990380016218578
t32470aep|LYRM2_MOUSE,0.0116523981073127
t31220aep|P52K_HUMAN,0.00898305494775122
t31230aep|UNC89_CAEEL,0.0179556643073071
t31231aep|UNC89_CAEEL,0.00898305494775122
t36653aep|DOHH_RAT,0.0269179048754282
t36650aep|ANKK1_MOUSE,0.00197201708208178
t37814aep|CC105_BOVIN,0.195316916672561
t32253aep|YPEL5_PONAB,0.056604316335141
t32266aep|GGT1_PIG,0.00666709105304344
t32269aep|FSTL1_BOVIN,1.88306949758344
t32255aep|CHSS1_MOUSE,0.0232964128451818
t32258aep|SHPK_MOUSE,0.0074801388002636
t32263aep|IF172_DANRE,0.0712694602815577
t35087aep|CJ076_XENLA,0.00262448065789746
t35085aep|RS30_ORYLA,0.0183206380100703
t35082aep|WASH7_HUMAN,0.0109703616314482
t35075aep|COMD6_MOUSE,0.0615195996205574
t35079aep|RB39B_MOUSE,0.018503280526224
t35552aep|DTL_CHICK,0.0192455486334358
t35556aep|M4K2_HUMAN,0.131630247616415
t35545aep|KLC4_MOUSE,0.0179556643073071
t36395aep|NAS15_CAEEL,0.00898305494775122
t36391aep|HETE1_PODAS,0.0269179048754282
t36387aep|NPHP3_HUMAN,0.0269179048754282
t35406aep|WDY_ANOGA,0.00898305494775122
t35408aep|NK2R_RAT,0.205586847759866
t33710aep|SEC_ARATH,0.0804778155579182
t33709aep|TC3A_CAEEL,0.00898305494775122
t35851aep|OPSD1_MIZYE,0.265048079103464
t35853aep|TM175_MOUSE,0.00898305494775122
t35850aep|CYTA_MOUSE,0.0179556643073071
t35847aep|PHF3_HUMAN,0.0079431366851994
t35208aep|TTC28_MOUSE,0.0411016652730261
t35217aep|CEBPB_CHICK,0.400932357829164
t37320aep|CO6A6_HUMAN,0.315620804741284
t37316aep|ASPM_SHEEP,0.0101363801219515
t37317aep|ASPM_SAIBB,0.0346275228424959
t32622aep|MK14_CANLF,0.00836614645721901
t32614aep|XRRA1_MOUSE,0.00898305494775122
t32633aep|MED16_XENTR,0.0185313230091957
