t33418aep|ZBED8_BOVIN,0.0188362038015068
t37645aep|CP4V2_MOUSE,0.194005795845392
t31619aep|ABCA2_HUMAN,0.0188362038015068
t34456aep|TAF3_CHICK,0.0121069710899311
t36329aep|FGOP2_CHICK,0.0596982852660325
t35904aep|DDAC_ENTAG,0.420877350933898
t32664aep|AQP9_HUMAN,0.0477314453271249
t32662aep|SERB_BOVIN,0.00884085311185429
t31833aep|BP10_PARLI,0.0129188124599688
t31838aep|STXB1_RAT,0.281226467548287
t38104aep|B3GN4_HUMAN,0.00913089474815178
t38118aep|AGRIN_MOUSE,1.4803055186642
t33735aep|DHB11_RAT,0.0792288758107892
t32686aep|MRP1_CHICK,0.714495361351445
t32685aep|RN146_XENTR,0.218715094448392
t32691aep|PP14C_RAT,0.0976228746958373
t35871aep|NOD1_MOUSE,0.274656556842456
t35860aep|KIF3A_MACFA,0.0741065010335068
t35872aep|NAPEP_BOVIN,0.119655935200401
t35870aep|STK10_CHICK,0.394199792666235
t35862aep|MEGF6_HUMAN,0.101678255928135
t35857aep|PKD2_ORYLA,0.0188362038015068
t35356aep|CASP8_RAT,0.0749368439477139
t37374aep|VWDE_HUMAN,0.0188362038015068
t37380aep|CBL_MOUSE,0.0740273196440021
t32307aep|NCAN_PANTR,0.0375607669004311
t32305aep|PPCT_MOUSE,0.0046232393368983
t32304aep|SWT15_VITVI,0.0208390317904408
t33081aep|ZMYM5_BOVIN,0.0930852230145571
t33085aep|TXIP1_HUMAN,0.0188362038015068
t36728aep|ARL5B_MOUSE,0.106803940492777
t32818aep|SY65_DROME,0.0188362038015068
t32809aep|TRPA1_HUMAN,0.0188362038015068
t32819aep|T106C_HUMAN,0.0231750587815999
t35726aep|SO4C1_RAT,0.0837542288234834
t35991aep|FLNC_RAT,0.00733143380442305
t31647aep|PPT1_HUMAN,0.706622865720553
t34431aep|RSPH1_HUMAN,0.116793932213742
t34427aep|ML12B_BOVIN,0.149562926565151
t34798aep|APH1_DROME,0.0595558688991147
t34802aep|PISD_CRIGR,0.0467209432017366
t34796aep|PCMD2_BOVIN,0.113405594719066
t31220aep|P52K_HUMAN,0.0375607669004311
t31230aep|UNC89_CAEEL,0.0188362038015068
t31231aep|UNC89_CAEEL,0.0561757779084395
t36650aep|ANKK1_MOUSE,0.0133362117204591
t32253aep|YPEL5_PONAB,0.106293361409036
t32269aep|FSTL1_BOVIN,3.55002272065838
t32263aep|IF172_DANRE,0.0224952464700918
t35558aep|ARP10_HUMAN,0.0185919075712414
t36395aep|NAS15_CAEEL,0.0188362038015068
t36387aep|NPHP3_HUMAN,0.0561757779084395
t35411aep|EDC3_PONAB,0.0484653620864659
t35408aep|NK2R_RAT,0.0375607669004311
t33710aep|SEC_ARATH,0.0188362038015068
t33696aep|CNRP1_BOVIN,0.0188362038015068
t35851aep|OPSD1_MIZYE,0.81170377890881
t35850aep|CYTA_MOUSE,0.0854604091293355
t35217aep|CEBPB_CHICK,0.127105401222646
t37320aep|CO6A6_HUMAN,2.71824647058174
t37312aep|UBC12_SCHPO,0.0440512956205973
t32614aep|XRRA1_MOUSE,0.0188362038015068
t32615aep|UNK_HUMAN,0.334380337528329
t32623aep|F1142_BOVIN,0.0925419068289768
t32616aep|FBN1_BOVIN,0.00988648273416379
t33645aep|TLR1_DROME,0.747044697412194
t33657aep|TM243_BOVIN,0.256439914589185
t33648aep|KPCD3_HUMAN,0.0653519977638932
t33650aep|DUS22_HUMAN,0.0938190879481559
t37961aep|NRDC_MOUSE,0.0137900140741849
t37948aep|RHG32_XENLA,0.0103682015870302
t31824aep|DNJC5_TETCF,0.173039019067523
t32425aep|ANXA7_MOUSE,0.0384585187929912
t32427aep|TBC20_MOUSE,0.0729540482521657
t32412aep|M3K19_HUMAN,0.0175649799039677
t32423aep|CADA_STAAR,0.0334112376176294
t32413aep|NTPES_BACSU,0.337501893973375
t36947aep|MFSD6_MOUSE,0.0561757779084395
t33893aep|MCPI_MELCP,1.96887915347948
t33900aep|SIP2_YEAST,1.00982556439095
t33620aep|SYT7_HUMAN,0.0246065862863667
t36961aep|TRAF4_HUMAN,0.00878130700107258
t31714aep|KLC4_RAT,0.0375607669004311
t33183aep|PNKP_HUMAN,0.0855289338244229
t33188aep|ADCY9_HUMAN,0.0447410428519786
t37623aep|RHES_HUMAN,0.0162073542089289
t36583aep|CSTF3_MOUSE,0.010079525017417
t36585aep|CALM_MACPY,0.0158061744315029
t36580aep|S39AD_DANRE,0.819832718290829
t34754aep|FXC2B_XENLA,2.33039162041387
t34762aep|TYDP2_RAT,0.0176005142011711
t34764aep|RSU1_BOVIN,0.656193553905272
t38671aep|SETD7_HUMAN,0.00656425746953023
t38683aep|H10A_XENLA,0.0269713252186147
t38687aep|PTPRD_MOUSE,0.0188362038015068
t38680aep|PGAP3_XENTR,0.0389359476700403
t36972aep|FUCM_HUMAN,0.0674591872050932
t32838aep|RASLC_DANRE,2.31473256833122
t32855aep|ZN205_BOVIN,0.0116941253112529
t32840aep|CNOT2_HUMAN,0.237292905455944
t36502aep|NPHP3_HUMAN,0.0172915970013374
t36496aep|TNAP3_MACFA,0.181344884019544
t36491aep|VP37B_HUMAN,0.278220325247511
t36488aep|TIGD2_MOUSE,0.0298027879701337
t34608aep|CATL_SARPE,0.0188362038015068
t34604aep|RA51D_ARATH,0.0114452124836689
t38360aep|PIGL_RAT,0.000408123128924508
t38363aep|DNAL4_PIG,0.016659488675516
t32785aep|HEBP1_MOUSE,5.28786507126708
t36257aep|EDIL3_MOUSE,0.00733143380442305
t36256aep|RTBS_DROME,0.0188362038015068
t37211aep|RYK_MOUSE,0.042057325423518
t37214aep|ITA9_MOUSE,0.231504739451869
t36469aep|DNLI1_XENLA,0.108307650276085
t38654aep|BBS4_HUMAN,0.102172105203347
t38653aep|TOR1A_MACFA,0.232222708276677
t38658aep|PKHG5_MOUSE,0.0762103468293746
t35890aep|PKD1_MOUSE,0.0118400611196787
t35898aep|NPHP3_XENLA,0.232697967770666
t38456aep|ELMD2_BOVIN,0.0807712039936197
t38458aep|PEBB_HUMAN,0.543583908264716
t31916aep|ZCRB1_XENLA,0.000743751542290367
t31915aep|F149A_MOUSE,0.0513233183739305
t34560aep|AMPN_RAT,0.0534120369736534
t34548aep|KLC4_HUMAN,0.0188362038015068
t34552aep|NPYR_DROME,0.0188362038015068
t35296aep|MORN2_BOVIN,0.00252313101333235
t37098aep|MUG1_MOUSE,0.0930852230145571
t37105aep|SNPC3_BOVIN,0.0710323217986109
t37095aep|AGRG4_HUMAN,0.351229765962982
t34990aep|LYST_MOUSE,0.0221992154326573
t34997aep|HBAP1_RAT,0.0118457677832757
t34996aep|RET_RAT,0.00871989870750838
t31900aep|FRIH_TREBE,5.88543260730878
t31908aep|RSLBA_HUMAN,0.275669217180145
t31909aep|RBM25_MOUSE,0.149415273098069
t31899aep|AT1A_HYDVU,0.0654863554263456
t38183aep|APC_RAT,0.0673090259817896
t38186aep|CRYAB_BOVIN,0.255691034740301
t32714aep|TENS1_HUMAN,1.18100298125596
t32717aep|STX12_MOUSE,0.00569930598519697
t35365aep|SGCD_HUMAN,0.16707691829913
t34190aep|CRFR2_MOUSE,0.0188362038015068
t34192aep|FORF_DICDI,0.250880600419034
t34186aep|BRPF1_HUMAN,0.0394406407088528
t32768aep|KLC4_MOUSE,0.0188362038015068
t32769aep|KLC4_HUMAN,0.0188362038015068
t32757aep|INO80_MOUSE,0.229668332808014
t32773aep|TRI50_MOUSE,1.2386528096684
t32766aep|SC5AC_MOUSE,0.0188362038015068
t32775aep|CELR2_HUMAN,0.144982074034433
t33155aep|CBPD_LOPSP,0.0484630172641626
t32180aep|MYLK_SHEEP,0.114092867412776
t32160aep|MYD88_HUMAN,0.410791697102244
t36935aep|KCNC1_HUMAN,0.0188362038015068
t36927aep|PLXA3_RAT,0.479576512882148
t36932aep|IQCD_BOVIN,0.0188362038015068
t36933aep|ATG2B_HUMAN,0.0556046167596028
t36928aep|CACB2_RABIT,1.59224389939013
t35832aep|SPTN1_HUMAN,0.562870012644035
t35829aep|PLPL9_HUMAN,0.15015219597272
t35009aep|SPB10_BOVIN,0.0600994074483282
t35017aep|HSF_XENLA,0.0127542906700739
t35008aep|OPN4_PHOSU,0.457795235001581
t35013aep|HERC1_HUMAN,0.0367493441664894
t35005aep|CHRD_XENLA,0.439494606887275
t34999aep|SRBP1_PIG,0.296672721188785
t35003aep|CTNS_HUMAN,0.169535070328182
t32094aep|TCB2_CAEBR,0.0188362038015068
t32106aep|TLN2_HUMAN,0.0992116944109369
t32100aep|PRRT1_MOUSE,0.307175615458365
t32108aep|FITM2_XENTR,0.0294743105849828
t32312aep|DJB12_MOUSE,0.0188362038015068
t32313aep|USP9X_HUMAN,0.103324731622759
t32319aep|AAPK2_HUMAN,0.0572575585939935
t36032aep|ABCA1_HUMAN,0.110603492310845
t36962aep|RTBS_DROME,0.0375607669004311
t34090aep|MYLK_RABIT,0.0188362038015068
t35694aep|NLTP_MOUSE,0.0209426751497915
t35698aep|VPS36_XENLA,0.313975155772517
t32136aep|ZDH11_MOUSE,0.400489252996123
t32140aep|RAD2B_ARATH,0.170387269141084
t32151aep|HE_PARLI,0.00558102773443402
t37178aep|MSH3_MOUSE,0.0188362038015068
t38446aep|RNF10_XENLA,0.120210988221352
t38440aep|AGGF1_MOUSE,0.0468077979314358
t33385aep|CDD_DICDI,0.0188362038015068
t36744aep|ZER1_HUMAN,0.0246275369801015
t36741aep|DYHC1_MOUSE,0.0490242851485232
t38617aep|U2AFM_HUMAN,0.107148376836361
t34476aep|Y1199_DICDI,0.0561757779084395
t34475aep|LRIG2_HUMAN,0.00963627390730161
t34674aep|KI16B_MOUSE,0.0821769584230121
t34686aep|CPMD8_HUMAN,0.0375607669004311
t37722aep|MEGF8_RAT,0.00354857969518246
t37718aep|CFA45_HUMAN,0.194870978129348
t37729aep|KPCD3_MOUSE,0.662586733202781
t37723aep|INTU_BOVIN,0.0576898462708794
t32508aep|CLK2_MOUSE,0.109148192396743
t32518aep|PTHD3_MOUSE,0.0110424381117421
t32517aep|IRF8_HUMAN,0.126236387441755
t32498aep|KLC4_BOVIN,0.0375607669004311
t32494aep|RBM45_MOUSE,0.00588633863367937
t32516aep|DTNB_MOUSE,0.733947594739069
t32501aep|GPMI_ONCVO,0.269552075701717
t36975aep|DYH5_HUMAN,0.0703610611577357
t36989aep|GPX5_PIG,2.17568399218657
t36977aep|ECT_ACRMI,0.0110842567546895
t36988aep|FAT4_HUMAN,0.00357684248606632
t36994aep|KINH_SYNRA,0.0188362038015068
t37005aep|CPMD8_HUMAN,0.271700899612904
t37006aep|SVIL_MOUSE,0.724770800879628
t35158aep|LITH_RAT,0.0430876224346413
t35150aep|FEM1C_MOUSE,0.0665241607701245
t35146aep|ABR_BOVIN,0.19780046105569
t35149aep|5HT1F_HUMAN,0.0188362038015068
t37988aep|GLNA_PANAR,1.34274108439415
t33506aep|GP126_MOUSE,0.0188362038015068
t38565aep|PDXK_HUMAN,0.0224069088411543
t38573aep|CL004_RAT,0.0698035239113906
t38575aep|CC146_RAT,0.00148853285009903
t38564aep|DEN2C_HUMAN,0.626822834331727
t31271aep|GAB1_MESAU,0.319610655338863
t33777aep|IKBP1_HUMAN,0.214492072960128
t31950aep|B3GN2_HUMAN,0.789574191003039
t31929aep|CERS6_HUMAN,0.297890515774727
t31935aep|AP4S1_HUMAN,0.0502516025468067
t31936aep|PRRT1_MOUSE,0.111383564981491
t31931aep|ANK3_MOUSE,0.169496806359373
t31941aep|ZNT10_MOUSE,0.168213546075899
t31957aep|DOCK1_HUMAN,0.06526841080281
t31930aep|GXN_ACRMI,1.56128360395795
t32739aep|CHM1B_CHICK,0.148275184550517
t32745aep|PRRT1_MOUSE,0.162807491994985
t32736aep|GRM7_MOUSE,0.0188362038015068
t32747aep|ZIC2B_XENLA,0.997311018089507
