t33418aep|ZBED8_BOVIN,0.114121967771827
t37645aep|CP4V2_MOUSE,0.114121967771827
t31628aep|TSP1_BOVIN,0
t31619aep|ABCA2_HUMAN,0
t31633aep|PREA_SALTY,0
t31620aep|PTRB_MORLA,0
t31618aep|DTBP1_CHICK,0.147957638863307
t36047aep|FUCTA_DROME,0
t36970aep|EXOS6_DANRE,-0.12563306292218
t34456aep|TAF3_CHICK,-0.000227637473420136
t34453aep|RIFK_DROME,0.0485356063159438
t34451aep|RSGI5_CLOTH,0
t34446aep|VIAAT_XENLA,0
t34450aep|KCNH5_MOUSE,0
t36334aep|DOCK3_HUMAN,-0.0170170423552519
t36327aep|RAD21_SCHPO,0
t36332aep|COPG2_ORYSJ,0
t36340aep|AT1A_HYDVU,0
t36336aep|CEP76_PONAB,0.0158297447772851
t36335aep|RTJK_DROME,0
t36329aep|FGOP2_CHICK,0.0867082800938692
t36337aep|CRYAB_BOVIN,-0.0424566347687014
t35904aep|DDAC_ENTAG,0
t35900aep|RHCG_XENTR,0.0098392870327557
t35903aep|S35E3_DANRE,0.125497781890114
t35908aep|CAF1A_CHICK,0.0286938568247864
t32664aep|AQP9_HUMAN,0.936110837628928
t32662aep|SERB_BOVIN,-0.0365547177859084
t31832aep|P52K_HUMAN,0
t31833aep|BP10_PARLI,-0.00591739134153808
t31838aep|STXB1_RAT,0.266357188760533
t38104aep|B3GN4_HUMAN,0.698290692549715
t38107aep|PKHL1_MOUSE,0
t38111aep|KCC2D_BOVIN,0
t38110aep|P2R3C_HUMAN,0.0614600426713696
t38118aep|AGRIN_MOUSE,0.870295402009819
t38103aep|PTSS1_DANRE,-0.0367744163757631
t38117aep|SAXO1_RAT,0.00263922480625426
t33743aep|EXOC7_RAT,-0.0272956333200063
t33739aep|RPP14_MOUSE,-0.0833419512991161
t33737aep|ZMYM6_HUMAN,0
t33741aep|IFT20_DANRE,-0.0574023333233335
t33735aep|DHB11_RAT,0.0978564568165276
t32686aep|MRP1_CHICK,0.297176921547906
t32685aep|RN146_XENTR,0.0864740990687364
t32696aep|OTOF_DANRE,0
t32692aep|GPTC4_XENTR,0.0329589287328526
t32693aep|S27A4_HUMAN,-0.0222002091838285
t32687aep|RAB23_HUMAN,0.0162807215469899
t32691aep|PP14C_RAT,0.201899383873469
t32688aep|CPT2_MOUSE,0
t35871aep|NOD1_MOUSE,0.106389273052217
t35860aep|KIF3A_MACFA,0.15901078708661
t35866aep|MEL2A_DANRE,-0.0258276811169725
t35863aep|SSPO_CHICK,0.0469237806368503
t35872aep|NAPEP_BOVIN,0.205944988876917
t35870aep|STK10_CHICK,0.296353729827215
t35858aep|SCND3_HUMAN,0.0193797279753852
t35861aep|ABCBA_HUMAN,-0.0895188407366356
t35862aep|MEGF6_HUMAN,0.0289063961829713
t35855aep|MIPEP_PONAB,0.00454473713019474
t35857aep|PKD2_ORYLA,0.0193797279753852
t35354aep|KLC3_RAT,0
t35356aep|CASP8_RAT,0.000485002163185823
t35353aep|B4GA1_DANRE,0.0373159940572091
t33691aep|ABCB2_DICDI,0.0386117052363264
t37371aep|IDI1_BOVIN,-0.0302496767769918
t37374aep|VWDE_HUMAN,0
t37381aep|RPAC2_BOVIN,-0.109133961794239
t37368aep|PEX10_MOUSE,-0.0314423153116373
t37380aep|CBL_MOUSE,0.187141363261227
t37375aep|TC3A_CAEEL,0.0306474506231086
t32307aep|NCAN_PANTR,0
t32309aep|TM203_HUMAN,0.0250686310058622
t32310aep|LSM1_HUMAN,0.0102204291071016
t32305aep|PPCT_MOUSE,0.0811844402082944
t32304aep|SWT15_VITVI,-0.051042149821804
t33480aep|MSRB_METBF,-0.0528298708946489
t33470aep|PGBD3_HUMAN,0
t33473aep|THAP1_DANRE,0
t33081aep|ZMYM5_BOVIN,0
t33080aep|KIF17_HUMAN,-0.0320753192186378
t33084aep|TXIP1_MOUSE,0.0193797279753852
t33085aep|TXIP1_HUMAN,0.0193797279753852
t38023aep|FUT3_PONPY,0
t38021aep|YD286_MOUSE,-0.059472717527357
t36728aep|ARL5B_MOUSE,0.228928406765549
t33589aep|THAP2_MOUSE,0
t32812aep|TCB2_CAEBR,0
t32818aep|SY65_DROME,0
t32809aep|TRPA1_HUMAN,0
t32819aep|T106C_HUMAN,0.44102173598303
t32810aep|NDUA5_BOVIN,-0.0112823051942266
t35726aep|SO4C1_RAT,0.543663794523429
t35724aep|SYF2_DANRE,-0.306685765670292
t35979aep|ECI1_RAT,0.00879859862788572
t35981aep|PRPF3_CHICK,-0.116682293785952
t35991aep|FLNC_RAT,0.204512771510617
t37010aep|NDUF4_PONAB,-0.0268386743650334
t35994aep|MLRP2_ACRMI,0.13762911407842
t35982aep|NLTP_CHICK,-0.267454080926385
t35993aep|VATE_DROME,-0.40593495675495
t35988aep|CIA30_DROME,0.00870110614933613
t35989aep|M2K3_ARATH,0
t35984aep|DYH6_HUMAN,-0.00844433258131474
t35985aep|DYH6_HUMAN,0.0193797279753852
t31651aep|LRRK2_MOUSE,0.0193797279753852
t31647aep|PPT1_HUMAN,0.46053151414923
t38649aep|ATXA_LEIDO,0
t38641aep|AL7A1_CAEEL,0
t38633aep|DRG1_XENLA,-0.150645664826949
t38636aep|ALG3_HUMAN,0.00826805162467659
t38647aep|RAP1_CAEEL,0
t38646aep|PARG_BOVIN,-0.0510299418494794
t37013aep|LAGE3_MOUSE,-0.0660178588446628
t38648aep|TM175_CHICK,0
t34435aep|IMPTB_XENTR,0.00779441878919041
t34431aep|RSPH1_HUMAN,0.562498588357776
t34434aep|S12A8_XENLA,-0.026887464994864
t34436aep|XRN1_HUMAN,-0.0669469738588364
t34428aep|SPC25_RAT,-0.0236582294503232
t34430aep|RPAP1_BOVIN,-0.0427862454097765
t34429aep|PP4C_XENTR,-0.198315012516235
t34427aep|ML12B_BOVIN,0.248798353935456
t31846aep|CEP70_RAT,-0.0119413173471865
t31844aep|TLL1_DANRE,0
t31842aep|TERA_XENLA,-0.012274073272761
t31849aep|TYPH_RAT,0.0660482556962498
t31847aep|RS2_ICTPU,-0.619568966947775
t31848aep|SPCS3_CHICK,-0.0875343268108845
t34798aep|APH1_DROME,0.0733119569899595
t34802aep|PISD_CRIGR,0.0374050453958178
t34796aep|PCMD2_BOVIN,0.0318329758194725
t34792aep|PTH2_BOVIN,-0.0339014069911596
t34790aep|TWF1_HUMAN,0.12367626526536
t32481aep|GUAA_RAT,-0.0121691247260197
t32473aep|RB18B_DANRE,0.0358555295273485
t32475aep|WHITE_DROME,0.0139373501510926
t32469aep|CO6A4_MOUSE,0
t32470aep|LYRM2_MOUSE,-0.0547339801557247
t31220aep|P52K_HUMAN,0
t31227aep|SYCP2_RAT,0
t31225aep|RT35_BOVIN,-0.118478796766298
t31230aep|UNC89_CAEEL,0.0193797279753852
t31231aep|UNC89_CAEEL,0.0386117052363264
