t33418aep|ZBED8_BOVIN,0
t37645aep|CP4V2_MOUSE,0
t31628aep|TSP1_BOVIN,0.0163791839347943
t31619aep|ABCA2_HUMAN,0.0163791839347943
t31633aep|PREA_SALTY,0
t31620aep|PTRB_MORLA,0
t31618aep|DTBP1_CHICK,0.185130987952463
t36047aep|FUCTA_DROME,0.0163791839347943
t36970aep|EXOS6_DANRE,0.129614124430622
t34456aep|TAF3_CHICK,0.0283420513772868
t34453aep|RIFK_DROME,-0.0469156791458227
t34451aep|RSGI5_CLOTH,0
t34446aep|VIAAT_XENLA,0.0163791839347943
t34450aep|KCNH5_MOUSE,0
t36334aep|DOCK3_HUMAN,-0.0306003236993282
t36327aep|RAD21_SCHPO,0.0163791839347943
t36332aep|COPG2_ORYSJ,0
t36340aep|AT1A_HYDVU,0
t36336aep|CEP76_PONAB,-0.0608148143122495
t36335aep|RTJK_DROME,0
t36329aep|FGOP2_CHICK,0.0702904094517242
t36337aep|CRYAB_BOVIN,0.0726050356019554
t35904aep|DDAC_ENTAG,0
t35900aep|RHCG_XENTR,0.329747572536766
t35903aep|S35E3_DANRE,-0.0341935256528026
t35908aep|CAF1A_CHICK,0.0314759605489442
t32664aep|AQP9_HUMAN,-0.00844433258131474
t32662aep|SERB_BOVIN,0.0600351216451828
t31832aep|P52K_HUMAN,0
t31833aep|BP10_PARLI,0.0104617925932564
t31838aep|STXB1_RAT,-0.0059001661999555
t38104aep|B3GN4_HUMAN,0.411315052379565
t38107aep|PKHL1_MOUSE,0
t38111aep|KCC2D_BOVIN,0
t38110aep|P2R3C_HUMAN,0.0881708852505772
t38118aep|AGRIN_MOUSE,0.0130050337512936
t38103aep|PTSS1_DANRE,0.0113083759798025
t38117aep|SAXO1_RAT,-0.0600565165013913
t33743aep|EXOC7_RAT,0.130547160959504
t33739aep|RPP14_MOUSE,0.0214447829061663
t33737aep|ZMYM6_HUMAN,0
t33741aep|IFT20_DANRE,-0.0604028773639243
t33735aep|DHB11_RAT,0.101139063925106
