t31628aep|TSP1_BOVIN,0.0079049884928549
t31619aep|ABCA2_HUMAN,0.0269376873606121
t31618aep|DTBP1_CHICK,0.0544936957540268
t36970aep|EXOS6_DANRE,0.141523583177522
t34456aep|TAF3_CHICK,0.020538008668466
t34451aep|RSGI5_CLOTH,0.0105476691756932
t34446aep|VIAAT_XENLA,0.00526614911684996
t34450aep|KCNH5_MOUSE,0.00526614911684996
t36334aep|DOCK3_HUMAN,0.0433795909364153
t36327aep|RAD21_SCHPO,0.00526614911684996
t36336aep|CEP76_PONAB,0.0340220373282182
t36337aep|CRYAB_BOVIN,0.164246109799954
t35904aep|DDAC_ENTAG,0.00263115248132942
t35900aep|RHCG_XENTR,0.906903864629285
t35903aep|S35E3_DANRE,0.0305595461910373
t38104aep|B3GN4_HUMAN,0.726277485572018
t38110aep|P2R3C_HUMAN,0.0250446237965926
t38103aep|PTSS1_DANRE,0.116489421234409
t38117aep|SAXO1_RAT,0.0173083274109357
t33743aep|EXOC7_RAT,0.0768984469899105
t33739aep|RPP14_MOUSE,0.0479253940660666
t33737aep|ZMYM6_HUMAN,0.00263115248132942
t33741aep|IFT20_DANRE,0.0141481542643372
t33735aep|DHB11_RAT,0.229274792407194
t32685aep|RN146_XENTR,0.00691772595540786
t32696aep|OTOF_DANRE,0.00526614911684996
t32692aep|GPTC4_XENTR,0.0826116708879324
t32693aep|S27A4_HUMAN,0.0306270490706563
t32687aep|RAB23_HUMAN,0.0562219058722529
t32688aep|CPT2_MOUSE,0.246844974027616
t35866aep|MEL2A_DANRE,0.0286088692590883
t35872aep|NAPEP_BOVIN,0.0355373299115333
t35870aep|STK10_CHICK,0.181972918172845
t35861aep|ABCBA_HUMAN,0.0616106110241827
t35862aep|MEGF6_HUMAN,0.0114514665526979
t35855aep|MIPEP_PONAB,0.0222675001753632
t35354aep|KLC3_RAT,0.00263115248132942
t35356aep|CASP8_RAT,0.0242308077459068
t35353aep|B4GA1_DANRE,0.0171914029441886
t33691aep|ABCB2_DICDI,0.0079049884928549
t37371aep|IDI1_BOVIN,0.00965355314038143
t37380aep|CBL_MOUSE,0.179382808757846
t37375aep|TC3A_CAEEL,0.00263115248132942
t32310aep|LSM1_HUMAN,0.0286375424184696
t32305aep|PPCT_MOUSE,0.00313470648679955
t33480aep|MSRB_METBF,0.0929887887028545
t33081aep|ZMYM5_BOVIN,0.00263115248132942
t33080aep|KIF17_HUMAN,0.102216649212699
t33085aep|TXIP1_HUMAN,0.00263115248132942
t38021aep|YD286_MOUSE,0.0372818227852915
t36728aep|ARL5B_MOUSE,0.123987301102167
t32818aep|SY65_DROME,0.018498744430188
t32809aep|TRPA1_HUMAN,0.00526614911684996
t32819aep|T106C_HUMAN,0.0305295036707744
t32810aep|NDUA5_BOVIN,0.394426543105217
t35726aep|SO4C1_RAT,0.210570684565569
t35724aep|SYF2_DANRE,0.100914245756935
t35979aep|ECI1_RAT,0.00611692167536622
t35981aep|PRPF3_CHICK,0.0918837027183901
t35991aep|FLNC_RAT,0.435628355790866
t37010aep|NDUF4_PONAB,0.0226199713361832
t35982aep|NLTP_CHICK,0.0962100243317937
t35993aep|VATE_DROME,0.859427577995686
t35988aep|CIA30_DROME,0.0126483112798506
t31651aep|LRRK2_MOUSE,0.0120953184183253
t31647aep|PPT1_HUMAN,0.0450222062297444
t38633aep|DRG1_XENLA,0.571649029884796
t38636aep|ALG3_HUMAN,0.0231465094476913
t38647aep|RAP1_CAEEL,0.0315781467754946
t38646aep|PARG_BOVIN,0.0336778824448549
t37013aep|LAGE3_MOUSE,0.0698298105909343
t34434aep|S12A8_XENLA,0.0156714453719773
t34436aep|XRN1_HUMAN,0.088257859007772
t34430aep|RPAP1_BOVIN,0.0380250388091058
t34429aep|PP4C_XENTR,0.210501782827188
t34427aep|ML12B_BOVIN,0.0632727950790976
t31846aep|CEP70_RAT,0.0277711547913317
t31842aep|TERA_XENLA,0.721647110366296
t31847aep|RS2_ICTPU,0.052257304131105
t31848aep|SPCS3_CHICK,0.0801825057310728
t34798aep|APH1_DROME,0.0208620208470252
t34802aep|PISD_CRIGR,0.0184615346028791
t34796aep|PCMD2_BOVIN,0.00583621742250125
t34790aep|TWF1_HUMAN,0.228028644394055
t32481aep|GUAA_RAT,0.0105157605799625
t32473aep|RB18B_DANRE,0.00509422427721168
t32475aep|WHITE_DROME,0.109779804372141
t32469aep|CO6A4_MOUSE,0.00263115248132942
t31220aep|P52K_HUMAN,0.0079049884928549
t31225aep|RT35_BOVIN,0.244866596150831
t31230aep|UNC89_CAEEL,0.00526614911684996
t31231aep|UNC89_CAEEL,0.0158445486277315
t37814aep|CC105_BOVIN,0.0147874283432537
t37817aep|RS6_BRAFL,0.286224343946519
t37818aep|EF1A_HYDVU,0.588988536020778
t37816aep|LRP2_RAT,0.219438207460528
t32256aep|P5CR1_BOVIN,0.448098790793294
t32265aep|SYD1_CAEEL,0.0321090829341026
t32253aep|YPEL5_PONAB,0.0173394933145738
t32261aep|GAPR1_HUMAN,0.00263115248132942
t32255aep|CHSS1_MOUSE,0.00405764942820353
t32258aep|SHPK_MOUSE,1.59544769823523e-06
t32267aep|CG050_MOUSE,0.212163614716065
t35087aep|CJ076_XENLA,0.0582924064242532
t35082aep|WASH7_HUMAN,0.117836097399686
t35556aep|M4K2_HUMAN,0.253521813084847
t35545aep|KLC4_MOUSE,0.0238186406224226
t35558aep|ARP10_HUMAN,0.0302748090015555
t36395aep|NAS15_CAEEL,0.00263115248132942
t36392aep|UTP15_HUMAN,0.340201072570646
t36387aep|NPHP3_HUMAN,0.0105476691756932
t35409aep|BTBD7_HUMAN,0.00263115248132942
t35401aep|LIN52_DANRE,0.000477731200617995
t35403aep|MYPN_MOUSE,0.664538743517615
t33712aep|HACD_CAEEL,0.00263115248132942
t33710aep|SEC_ARATH,0.00263115248132942
t33694aep|KLC4_MOUSE,0.00263115248132942
t33696aep|CNRP1_BOVIN,0.00263115248132942
t35853aep|TM175_MOUSE,0.00526614911684996
t35848aep|MS3L1_PONAB,0.0141787211912232
t35847aep|PHF3_HUMAN,0.0542595150790089
t35208aep|TTC28_MOUSE,0.00263115248132942
t35207aep|CP17A_ICTPU,0.00526614911684996
t35215aep|MTA1_HUMAN,0.338787988450857
t37316aep|ASPM_SHEEP,0.0142497894965913
t37317aep|ASPM_SAIBB,0.0231364498948315
t36969aep|CISD3_HUMAN,0.0644162799264005
t32622aep|MK14_CANLF,0.0115022490977201
t32614aep|XRRA1_MOUSE,0.00526614911684996
t32620aep|HMCN1_HUMAN,0.0749145991518883
t32615aep|UNK_HUMAN,0.00963282318615397
t32623aep|F1142_BOVIN,0.0419934113065667
t33645aep|TLR1_DROME,0.00833036921377856
t33647aep|WHITE_LUCCU,0.418256446480068
t33641aep|AT5F1_BOVIN,0.408627749203625
t33657aep|TM243_BOVIN,0.00389830481088396
t33648aep|KPCD3_HUMAN,0.149405957304778
t33644aep|CC180_HUMAN,0.0285417198182602
t37963aep|NAPEP_BOVIN,0.00263115248132942
t37951aep|MPU1_MOUSE,0.000561599251527198
t37961aep|NRDC_MOUSE,0.078200485899829
t37948aep|RHG32_XENLA,0.057117704821283
t31825aep|F185A_MOUSE,0.0870027971377796
t31829aep|MYO10_HUMAN,0.0519991198059246
t31824aep|DNJC5_TETCF,0.383820812195842
t31819aep|CPSF1_BOVIN,0.052585433813642
t31818aep|DYR_AEDAL,0.0985349874384463
t31817aep|AKR1_YARLI,0.0079049884928549
t32418aep|TSEAR_HUMAN,0.00263115248132942
t32411aep|CNGA2_BOVIN,0.00526614911684996
t32420aep|RPE_HUMAN,0.0776000434499396
t32421aep|PCS3_LOTJA,0.0285723882952863
t32425aep|ANXA7_MOUSE,0.83642392952681
t32422aep|UTP11_MOUSE,0.0129432406995045
t32427aep|TBC20_MOUSE,0.145037472807176
t32423aep|CADA_STAAR,0.179341095383879
t32416aep|COMD8_HUMAN,0.029638487987016
t36940aep|ROP1L_XENLA,0.10879953468673
t36953aep|RBM26_HUMAN,0.133954621700742
