Batch.ID	Seq.Batch.ID	Batch.Set.ID	dataset	color
ABML0001	ABML0001	ABML0001	Adult	black
ABML0002	ABML0002	ABML0002	Adult	black
ABML0003	ABML0003	ABML0003	Adult	black
ABML0004	ABML0004	ABML0004	Adult	black
ABML0005	ABML0005	ABML0005	Adult	black
ABML0006	ABML0006	ABML0006	Adult	black
ABML0007	ABML0007	ABML0007	Adult	black
ABML0008	ABML0008	ABML0008	Adult	black
ABML0009	ABML0009	ABML0009	Adult	black
ABML0010	ABML0010	ABML0010	Adult	black
ABML0011	ABML0011	ABML0011	Adult	black
ABML0012	ABML0012	ABML0012	Adult	black
ABML0013	ABML0013	ABML0013	Adult	black
ABML0014	ABML0014	ABML0014	Adult	black
ABML0015	ABML0015	ABML0015	Adult	black
ABML0016	ABML0016	ABML0016	Adult	black
ABML0017	ABML0017	ABML0017	Adult	black
ABML0018	ABML0018	ABML0018	Adult	black
ABML0019	ABML0019	ABML0019	Adult	black
ABML0020	ABML0020	ABML0020	Adult	black
ABML0021	ABML0021	ABML0021	Adult	black
ABML0022	ABML0022	ABML0022	Adult	black
ABML0023	ABML0023	ABML0023	Adult	black
ABML0024	ABML0024	ABML0024	Adult	black
ABML0025	ABML0025	ABML0025	Adult	black
ABML0026	ABML0026	ABML0026	Adult	black
ABML0027	ABML0027	ABML0027	Adult	black
ABML0028	ABML0028	ABML0028	Adult	black
ABML0029	ABML0029	ABML0029	Adult	black
ABML0030	ABML0030	ABML0030	Adult	black
ABML0031	ABML0031	ABML0031	Adult	black
ABML0032	ABML0032	ABML0032	Adult	black
