Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	dataset	color
ABNV0001	ABNV0001	ABNV0001	Adult	black
ABNV0002	ABNV0002	ABNV0002	Adult	black
ABNV0003	ABNV0003	ABNV0003	Adult	black
ABNV0004	ABNV0004	ABNV0004	Adult	black
ABNV0005	ABNV0005	ABNV0005	Adult	black
ABNV0006	ABNV0006	ABNV0006	Adult	black
ABNV0007	ABNV0007	ABNV0007	Adult	black
ABNV0008	ABNV0008	ABNV0008	Adult	black
ABNV0009	ABNV0009	ABNV0009	Adult	black
ABNV0010	ABNV0010	ABNV0010	Adult	black
ABNV0011	ABNV0011	ABNV0011	Adult	black
ABNV0012	ABNV0012	ABNV0012	Adult	black
ABNV0013	ABNV0013	ABNV0013	Adult	black
ABNV0014	ABNV0014	ABNV0014	Adult	black
ABNV0015	ABNV0015	ABNV0015	Adult	black
ABNV0016	ABNV0016	ABNV0016	Adult	black
ABNV0017	ABNV0017	ABNV0017	Adult	black
ABNV0018	ABNV0018	ABNV0018	Adult	black
ABNV0019	ABNV0019	ABNV0019	Adult	black
ABNV0020	ABNV0020	ABNV0020	Adult	black
ABNV0021	ABNV0021	ABNV0021	Adult	black
ABNV0022	ABNV0022	ABNV0022	Adult	black
ABNV0023	ABNV0023	ABNV0023	Juvenile	black
ABNV0024	ABNV0024	ABNV0024	Juvenile	black
ABNV0025	ABNV0025	ABNV0025	Juvenile	black
ABNV0026	ABNV0026	ABNV0026	Juvenile	black
ABNV0027	ABNV0027	ABNV0027	Juvenile	black
ABNV0028	ABNV0028	ABNV0028	Juvenile	black
ABNV0029	ABNV0029	ABNV0029	Juvenile	black
ABNV0030	ABNV0030	ABNV0030	Juvenile	black
ABNV0031	ABNV0031	ABNV0031	Adult	black
ABNV0032	ABNV0032	ABNV0032	Adult	black
ABNV0047	ABNV0047	ABNV0047	Adult	black
ABNV0048	ABNV0048	ABNV0048	Adult	black
ABNV0049	ABNV0049	ABNV0049	Adult	black
ABNV0050	ABNV0050	ABNV0050	Adult	black
ABNV0051	ABNV0051	ABNV0051	Adult	black
ABNV0052	ABNV0052	ABNV0052	Adult	black
ABNV0053	ABNV0053	ABNV0053	Adult	black
ABNV0054	ABNV0054	ABNV0054	Adult	black
ABNV0063	ABNV0063	ABNV0063	Adult_Aboral_Region	black
ABNV0064	ABNV0064	ABNV0064	Adult_Aboral_Region	black
ABNV0065	ABNV0065	ABNV0065	Adult_Aboral_Region	black
ABNV0066	ABNV0066	ABNV0066	Adult_Aboral_Region	black
ABNV0067	ABNV0067	ABNV0067	Adult_Aboral_Region	black
ABNV0068	ABNV0068	ABNV0068	Adult_Aboral_Region	black
ABNV0069	ABNV0069	ABNV0069	Adult_Aboral_Region	black
ABNV0070	ABNV0070	ABNV0070	Adult_Aboral_Region	black
ABNV0071	ABNV0071	ABNV0071	Adult_Aboral_Region	black
ABNV0072	ABNV0072	ABNV0072	Adult_Aboral_Region	black
ABNV0073	ABNV0073	ABNV0073	Adult_Aboral_Region	black
ABNV0074	ABNV0074	ABNV0074	Adult_Aboral_Region	black
ABNV0075	ABNV0075	ABNV0075	Adult_Aboral_Region	black
ABNV0076	ABNV0076	ABNV0076	Adult_Aboral_Region	black
ABNV0077	ABNV0077	ABNV0077	Adult_Aboral_Region	black
ABNV0078	ABNV0078	ABNV0078	Adult_Aboral_Region	black
ABNV0079	ABNV0079	ABNV0079	Adult_Aboral_Region	black
ABNV0080	ABNV0080	ABNV0080	Adult_Aboral_Region	black
ABNV0095	ABNV0095	ABNV0095	Adult	black
ABNV0096	ABNV0096	ABNV0096	Adult	black
ABNV0097	ABNV0097	ABNV0097	Adult	black
ABNV0098	ABNV0098	ABNV0098	Adult	black
ABNV0099	ABNV0099	ABNV0099	Adult	black
ABNV0100	ABNV0100	ABNV0100	Adult	black
ABNV0101	ABNV0101	ABNV0101	Adult	black
ABNV0102	ABNV0102	ABNV0102	Adult	black
ABNV0103	ABNV0103	ABNV0103	Adult	black
ABNV0104	ABNV0104	ABNV0104	Adult	black
ABNV0105	ABNV0105	ABNV0105	Adult	black
ABNV0106	ABNV0106	ABNV0106	Adult	black
ABNV0107	ABNV0107	ABNV0107	Adult	black
ABNV0108	ABNV0108	ABNV0108	Adult	black
ABNV0109	ABNV0109	ABNV0109	Adult	black
ABNV0110	ABNV0110	ABNV0110	Adult	black
