WHL22.47	WHL22.47	Gene Expression
WHL22.203	WHL22.203	Gene Expression
WHL22.207	WHL22.207	Gene Expression
WHL22.43	WHL22.43	Gene Expression
WHL22.215	WHL22.215	Gene Expression
WHL22.38	WHL22.38	Gene Expression
WHL22.101	WHL22.101	Gene Expression
WHL22.1859	WHL22.1859	Gene Expression
WHL22.1900	WHL22.1900	Gene Expression
WHL22.1948	WHL22.1948	Gene Expression
WHL22.1957	WHL22.1957	Gene Expression
WHL22.514	WHL22.514	Gene Expression
WHL22.520	WHL22.520	Gene Expression
WHL22.569	WHL22.569	Gene Expression
WHL22.1022	WHL22.1022	Gene Expression
WHL22.364	WHL22.364	Gene Expression
WHL22.578	WHL22.578	Gene Expression
WHL22.126	WHL22.126	Gene Expression
WHL22.170	WHL22.170	Gene Expression
WHL22.233	WHL22.233	Gene Expression
WHL22.249	WHL22.249	Gene Expression
WHL22.218	WHL22.218	Gene Expression
WHL22.309	WHL22.309	Gene Expression
WHL22.268	WHL22.268	Gene Expression
WHL22.602	WHL22.602	Gene Expression
WHL22.616	WHL22.616	Gene Expression
WHL22.637	WHL22.637	Gene Expression
WHL22.356	WHL22.356	Gene Expression
WHL22.359	WHL22.359	Gene Expression
WHL22.362	WHL22.362	Gene Expression
WHL22.397	WHL22.397	Gene Expression
WHL22.400	WHL22.400	Gene Expression
WHL22.493	WHL22.493	Gene Expression
WHL22.403	WHL22.403	Gene Expression
WHL22.539	WHL22.539	Gene Expression
WHL22.527	WHL22.527	Gene Expression
WHL22.536	WHL22.536	Gene Expression
WHL22.5235	WHL22.5235	Gene Expression
WHL22.5240	WHL22.5240	Gene Expression
WHL22.5247	WHL22.5247	Gene Expression
WHL22.5361	WHL22.5361	Gene Expression
WHL22.5364	WHL22.5364	Gene Expression
WHL22.5375	WHL22.5375	Gene Expression
WHL22.5387	WHL22.5387	Gene Expression
WHL22.5403	WHL22.5403	Gene Expression
WHL22.5406	WHL22.5406	Gene Expression
WHL22.5424	WHL22.5424	Gene Expression
WHL22.5445	WHL22.5445	Gene Expression
WHL22.5447	WHL22.5447	Gene Expression
WHL22.5466	WHL22.5466	Gene Expression
WHL22.5506	WHL22.5506	Gene Expression
WHL22.5759	WHL22.5759	Gene Expression
WHL22.553	WHL22.553	Gene Expression
WHL22.770	WHL22.770	Gene Expression
WHL22.1024	WHL22.1024	Gene Expression
WHL22.589	WHL22.589	Gene Expression
WHL22.1417	WHL22.1417	Gene Expression
WHL22.1366	WHL22.1366	Gene Expression
WHL22.775	WHL22.775	Gene Expression
WHL22.802	WHL22.802	Gene Expression
WHL22.860	WHL22.860	Gene Expression
WHL22.897	WHL22.897	Gene Expression
WHL22.1090	WHL22.1090	Gene Expression
WHL22.1093	WHL22.1093	Gene Expression
WHL22.1424	WHL22.1424	Gene Expression
WHL22.1173	WHL22.1173	Gene Expression
WHL22.1187	WHL22.1187	Gene Expression
WHL22.1278	WHL22.1278	Gene Expression
WHL22.1281	WHL22.1281	Gene Expression
WHL22.2847	WHL22.2847	Gene Expression
WHL22.2848	WHL22.2848	Gene Expression
WHL22.2869	WHL22.2869	Gene Expression
WHL22.1157	WHL22.1157	Gene Expression
WHL22.1161	WHL22.1161	Gene Expression
WHL22.1286	WHL22.1286	Gene Expression
WHL22.12122	WHL22.12122	Gene Expression
WHL22.12194	WHL22.12194	Gene Expression
WHL22.12679	WHL22.12679	Gene Expression
WHL22.12683	WHL22.12683	Gene Expression
WHL22.12871	WHL22.12871	Gene Expression
WHL22.12934	WHL22.12934	Gene Expression
WHL22.12946	WHL22.12946	Gene Expression
WHL22.13089	WHL22.13089	Gene Expression
WHL22.13090	WHL22.13090	Gene Expression
WHL22.13293	WHL22.13293	Gene Expression
WHL22.13294	WHL22.13294	Gene Expression
WHL22.1289	WHL22.1289	Gene Expression
WHL22.1302	WHL22.1302	Gene Expression
WHL22.1304	WHL22.1304	Gene Expression
WHL22.1862	WHL22.1862	Gene Expression
WHL22.1863	WHL22.1863	Gene Expression
WHL22.1981	WHL22.1981	Gene Expression
WHL22.2488	WHL22.2488	Gene Expression
WHL22.2631	WHL22.2631	Gene Expression
WHL22.2945	WHL22.2945	Gene Expression
WHL22.2946	WHL22.2946	Gene Expression
WHL22.1498	WHL22.1498	Gene Expression
WHL22.1829	WHL22.1829	Gene Expression
WHL22.1638	WHL22.1638	Gene Expression
WHL22.1640	WHL22.1640	Gene Expression
WHL22.1838	WHL22.1838	Gene Expression
WHL22.1841	WHL22.1841	Gene Expression
WHL22.2404	WHL22.2404	Gene Expression
WHL22.2407	WHL22.2407	Gene Expression
WHL22.2409	WHL22.2409	Gene Expression
WHL22.2437	WHL22.2437	Gene Expression
WHL22.2445	WHL22.2445	Gene Expression
WHL22.2464	WHL22.2464	Gene Expression
WHL22.2463	WHL22.2463	Gene Expression
WHL22.1844	WHL22.1844	Gene Expression
WHL22.1853	WHL22.1853	Gene Expression
WHL22.2167	WHL22.2167	Gene Expression
WHL22.2178	WHL22.2178	Gene Expression
WHL22.2181	WHL22.2181	Gene Expression
WHL22.2214	WHL22.2214	Gene Expression
WHL22.2236	WHL22.2236	Gene Expression
WHL22.2260	WHL22.2260	Gene Expression
WHL22.2284	WHL22.2284	Gene Expression
WHL22.2600	WHL22.2600	Gene Expression
WHL22.2609	WHL22.2609	Gene Expression
WHL22.2612	WHL22.2612	Gene Expression
WHL22.2808	WHL22.2808	Gene Expression
WHL22.2817	WHL22.2817	Gene Expression
WHL22.2845	WHL22.2845	Gene Expression
WHL22.2927	WHL22.2927	Gene Expression
WHL22.2931	WHL22.2931	Gene Expression
WHL22.2460	WHL22.2460	Gene Expression
WHL22.2531	WHL22.2531	Gene Expression
WHL22.2544	WHL22.2544	Gene Expression
WHL22.6050	WHL22.6050	Gene Expression
WHL22.6053	WHL22.6053	Gene Expression
WHL22.6068	WHL22.6068	Gene Expression
WHL22.6069	WHL22.6069	Gene Expression
WHL22.6078	WHL22.6078	Gene Expression
WHL22.6082	WHL22.6082	Gene Expression
WHL22.6112	WHL22.6112	Gene Expression
WHL22.6147	WHL22.6147	Gene Expression
WHL22.6175	WHL22.6175	Gene Expression
WHL22.6354	WHL22.6354	Gene Expression
WHL22.6370	WHL22.6370	Gene Expression
WHL22.2570	WHL22.2570	Gene Expression
WHL22.2583	WHL22.2583	Gene Expression
WHL22.3018	WHL22.3018	Gene Expression
WHL22.2783	WHL22.2783	Gene Expression
WHL22.2790	WHL22.2790	Gene Expression
WHL22.3338	WHL22.3338	Gene Expression
WHL22.3339	WHL22.3339	Gene Expression
WHL22.3654	WHL22.3654	Gene Expression
WHL22.3655	WHL22.3655	Gene Expression
WHL22.3803	WHL22.3803	Gene Expression
WHL22.3426	WHL22.3426	Gene Expression
WHL22.3439	WHL22.3439	Gene Expression
WHL22.3457	WHL22.3457	Gene Expression
WHL22.3465	WHL22.3465	Gene Expression
WHL22.3469	WHL22.3469	Gene Expression
WHL22.3472	WHL22.3472	Gene Expression
WHL22.3487	WHL22.3487	Gene Expression
WHL22.3505	WHL22.3505	Gene Expression
WHL22.3016	WHL22.3016	Gene Expression
WHL22.3012	WHL22.3012	Gene Expression
WHL22.3020	WHL22.3020	Gene Expression
WHL22.3051	WHL22.3051	Gene Expression
WHL22.3065	WHL22.3065	Gene Expression
WHL22.3158	WHL22.3158	Gene Expression
WHL22.3157	WHL22.3157	Gene Expression
WHL22.3228	WHL22.3228	Gene Expression
WHL22.3106	WHL22.3106	Gene Expression
WHL22.3317	WHL22.3317	Gene Expression
WHL22.3324	WHL22.3324	Gene Expression
WHL22.4013	WHL22.4013	Gene Expression
WHL22.4051	WHL22.4051	Gene Expression
WHL22.4052	WHL22.4052	Gene Expression
WHL22.4059	WHL22.4059	Gene Expression
WHL22.4065	WHL22.4065	Gene Expression
WHL22.4067	WHL22.4067	Gene Expression
WHL22.3236	WHL22.3236	Gene Expression
WHL22.3269	WHL22.3269	Gene Expression
WHL22.3314	WHL22.3314	Gene Expression
WHL22.4022	WHL22.4022	Gene Expression
WHL22.3343	WHL22.3343	Gene Expression
WHL22.3394	WHL22.3394	Gene Expression
WHL22.3534	WHL22.3534	Gene Expression
WHL22.3811	WHL22.3811	Gene Expression
WHL22.3943	WHL22.3943	Gene Expression
WHL22.3956	WHL22.3956	Gene Expression
WHL22.6662	WHL22.6662	Gene Expression
WHL22.6663	WHL22.6663	Gene Expression
WHL22.4106	WHL22.4106	Gene Expression
WHL22.4118	WHL22.4118	Gene Expression
WHL22.3998	WHL22.3998	Gene Expression
WHL22.5055	WHL22.5055	Gene Expression
WHL22.5141	WHL22.5141	Gene Expression
WHL22.4121	WHL22.4121	Gene Expression
WHL22.4133	WHL22.4133	Gene Expression
WHL22.4229	WHL22.4229	Gene Expression
WHL22.4232	WHL22.4232	Gene Expression
WHL22.4100	WHL22.4100	Gene Expression
SPU_008752	SPU_008752	Gene Expression
WHL22.4160	WHL22.4160	Gene Expression
WHL22.4352	WHL22.4352	Gene Expression
WHL22.4643	WHL22.4643	Gene Expression
WHL22.4597	WHL22.4597	Gene Expression
WHL22.4461	WHL22.4461	Gene Expression
WHL22.4470	WHL22.4470	Gene Expression
WHL22.4506	WHL22.4506	Gene Expression
WHL22.4522	WHL22.4522	Gene Expression
WHL22.5073	WHL22.5073	Gene Expression
WHL22.4850	WHL22.4850	Gene Expression
WHL22.4857	WHL22.4857	Gene Expression
WHL22.4747	WHL22.4747	Gene Expression
WHL22.4768	WHL22.4768	Gene Expression
WHL22.4844	WHL22.4844	Gene Expression
WHL22.5109	WHL22.5109	Gene Expression
WHL22.5151	WHL22.5151	Gene Expression
WHL22.5154	WHL22.5154	Gene Expression
WHL22.5156	WHL22.5156	Gene Expression
WHL22.5165	WHL22.5165	Gene Expression
WHL22.4868	WHL22.4868	Gene Expression
WHL22.4880	WHL22.4880	Gene Expression
WHL22.5040	WHL22.5040	Gene Expression
WHL22.5521	WHL22.5521	Gene Expression
WHL22.5611	WHL22.5611	Gene Expression
WHL22.5613	WHL22.5613	Gene Expression
WHL22.5631	WHL22.5631	Gene Expression
WHL22.5099	WHL22.5099	Gene Expression
WHL22.5102	WHL22.5102	Gene Expression
WHL22.5130	WHL22.5130	Gene Expression
WHL22.6979	WHL22.6979	Gene Expression
WHL22.7041	WHL22.7041	Gene Expression
WHL22.7141	WHL22.7141	Gene Expression
WHL22.7143	WHL22.7143	Gene Expression
WHL22.7147	WHL22.7147	Gene Expression
WHL22.7151	WHL22.7151	Gene Expression
WHL22.7289	WHL22.7289	Gene Expression
WHL22.7475	WHL22.7475	Gene Expression
WHL22.7479	WHL22.7479	Gene Expression
WHL22.7485	WHL22.7485	Gene Expression
WHL22.5237	WHL22.5237	Gene Expression
WHL22.5468	WHL22.5468	Gene Expression
WHL22.5259	WHL22.5259	Gene Expression
WHL22.5670	WHL22.5670	Gene Expression
WHL22.5892	WHL22.5892	Gene Expression
WHL22.5904	WHL22.5904	Gene Expression
WHL22.5910	WHL22.5910	Gene Expression
WHL22.5988	WHL22.5988	Gene Expression
WHL22.5652	WHL22.5652	Gene Expression
WHL22.6038	WHL22.6038	Gene Expression
WHL22.6041	WHL22.6041	Gene Expression
WHL22.6072	WHL22.6072	Gene Expression
WHL22.6202	WHL22.6202	Gene Expression
WHL22.7299	WHL22.7299	Gene Expression
WHL22.7302	WHL22.7302	Gene Expression
WHL22.6678	WHL22.6678	Gene Expression
WHL22.6470	WHL22.6470	Gene Expression
WHL22.6855	WHL22.6855	Gene Expression
WHL22.6892	WHL22.6892	Gene Expression
WHL22.6459	WHL22.6459	Gene Expression
WHL22.6460	WHL22.6460	Gene Expression
WHL22.6583	WHL22.6583	Gene Expression
WHL22.6591	WHL22.6591	Gene Expression
WHL22.6527	WHL22.6527	Gene Expression
WHL22.8014	WHL22.8014	Gene Expression
WHL22.6617	WHL22.6617	Gene Expression
WHL22.6651	WHL22.6651	Gene Expression
WHL22.6653	WHL22.6653	Gene Expression
WHL22.6675	WHL22.6675	Gene Expression
WHL22.6685	WHL22.6685	Gene Expression
WHL22.6724	WHL22.6724	Gene Expression
WHL22.6721	WHL22.6721	Gene Expression
WHL22.6718	WHL22.6718	Gene Expression
WHL22.6730	WHL22.6730	Gene Expression
WHL22.8481	WHL22.8481	Gene Expression
WHL22.8561	WHL22.8561	Gene Expression
WHL22.6961	WHL22.6961	Gene Expression
WHL22.7062	WHL22.7062	Gene Expression
WHL22.6985	WHL22.6985	Gene Expression
WHL22.6969	WHL22.6969	Gene Expression
WHL22.6954	WHL22.6954	Gene Expression
WHL22.10991	WHL22.10991	Gene Expression
WHL22.11441	WHL22.11441	Gene Expression
WHL22.7556	WHL22.7556	Gene Expression
WHL22.7111	WHL22.7111	Gene Expression
WHL22.7154	WHL22.7154	Gene Expression
WHL22.7863	WHL22.7863	Gene Expression
WHL22.7559	WHL22.7559	Gene Expression
WHL22.7592	WHL22.7592	Gene Expression
WHL22.7623	WHL22.7623	Gene Expression
WHL22.7647	WHL22.7647	Gene Expression
WHL22.8017	WHL22.8017	Gene Expression
WHL22.8022	WHL22.8022	Gene Expression
WHL22.9704	WHL22.9704	Gene Expression
WHL22.9760	WHL22.9760	Gene Expression
WHL22.9790	WHL22.9790	Gene Expression
WHL22.9804	WHL22.9804	Gene Expression
WHL22.8098	WHL22.8098	Gene Expression
WHL22.8109	WHL22.8109	Gene Expression
WHL22.8118	WHL22.8118	Gene Expression
WHL22.9532	WHL22.9532	Gene Expression
WHL22.9536	WHL22.9536	Gene Expression
WHL22.9606	WHL22.9606	Gene Expression
WHL22.10149	WHL22.10149	Gene Expression
WHL22.8218	WHL22.8218	Gene Expression
WHL22.8923	WHL22.8923	Gene Expression
WHL22.8378	WHL22.8378	Gene Expression
WHL22.8495	WHL22.8495	Gene Expression
WHL22.8498	WHL22.8498	Gene Expression
WHL22.8502	WHL22.8502	Gene Expression
WHL22.8655	WHL22.8655	Gene Expression
WHL22.8639	WHL22.8639	Gene Expression
WHL22.8642	WHL22.8642	Gene Expression
WHL22.8681	WHL22.8681	Gene Expression
WHL22.8679	WHL22.8679	Gene Expression
WHL22.8896	WHL22.8896	Gene Expression
WHL22.8926	WHL22.8926	Gene Expression
WHL22.9141	WHL22.9141	Gene Expression
WHL22.9144	WHL22.9144	Gene Expression
WHL22.9177	WHL22.9177	Gene Expression
WHL22.9091	WHL22.9091	Gene Expression
WHL22.9334	WHL22.9334	Gene Expression
WHL22.9337	WHL22.9337	Gene Expression
WHL22.9505	WHL22.9505	Gene Expression
WHL22.9560	WHL22.9560	Gene Expression
WHL22.9312	WHL22.9312	Gene Expression
WHL22.9369	WHL22.9369	Gene Expression
WHL22.9486	WHL22.9486	Gene Expression
WHL22.9378	WHL22.9378	Gene Expression
WHL22.9441	WHL22.9441	Gene Expression
WHL22.10471	WHL22.10471	Gene Expression
WHL22.10475	WHL22.10475	Gene Expression
WHL22.10495	WHL22.10495	Gene Expression
WHL22.10508	WHL22.10508	Gene Expression
WHL22.10526	WHL22.10526	Gene Expression
WHL22.10553	WHL22.10553	Gene Expression
WHL22.10562	WHL22.10562	Gene Expression
WHL22.9885	WHL22.9885	Gene Expression
WHL22.9887	WHL22.9887	Gene Expression
WHL22.9649	WHL22.9649	Gene Expression
WHL22.9709	WHL22.9709	Gene Expression
WHL22.9839	WHL22.9839	Gene Expression
WHL22.9845	WHL22.9845	Gene Expression
WHL22.10173	WHL22.10173	Gene Expression
WHL22.10197	WHL22.10197	Gene Expression
WHL22.10220	WHL22.10220	Gene Expression
WHL22.9860	WHL22.9860	Gene Expression
WHL22.9875	WHL22.9875	Gene Expression
WHL22.9966	WHL22.9966	Gene Expression
WHL22.10570	WHL22.10570	Gene Expression
WHL22.10029	WHL22.10029	Gene Expression
WHL22.10144	WHL22.10144	Gene Expression
WHL22.10147	WHL22.10147	Gene Expression
WHL22.16165	WHL22.16165	Gene Expression
WHL22.17916	WHL22.17916	Gene Expression
WHL22.18227	WHL22.18227	Gene Expression
WHL22.10254	WHL22.10254	Gene Expression
WHL22.10285	WHL22.10285	Gene Expression
WHL22.10598	WHL22.10598	Gene Expression
WHL22.16181	WHL22.16181	Gene Expression
WHL22.10652	WHL22.10652	Gene Expression
WHL22.10754	WHL22.10754	Gene Expression
WHL22.10760	WHL22.10760	Gene Expression
WHL22.10784	WHL22.10784	Gene Expression
WHL22.10790	WHL22.10790	Gene Expression
WHL22.10812	WHL22.10812	Gene Expression
WHL22.11343	WHL22.11343	Gene Expression
WHL22.11453	WHL22.11453	Gene Expression
WHL22.10659	WHL22.10659	Gene Expression
WHL22.10701	WHL22.10701	Gene Expression
WHL22.10716	WHL22.10716	Gene Expression
WHL22.10719	WHL22.10719	Gene Expression
WHL22.10739	WHL22.10739	Gene Expression
WHL22.10745	WHL22.10745	Gene Expression
WHL22.11012	WHL22.11012	Gene Expression
WHL22.11015	WHL22.11015	Gene Expression
WHL22.10821	WHL22.10821	Gene Expression
WHL22.11036	WHL22.11036	Gene Expression
WHL22.11231	WHL22.11231	Gene Expression
WHL22.11250	WHL22.11250	Gene Expression
WHL22.11267	WHL22.11267	Gene Expression
WHL22.11270	WHL22.11270	Gene Expression
WHL22.11256	WHL22.11256	Gene Expression
WHL22.11259	WHL22.11259	Gene Expression
WHL22.11422	WHL22.11422	Gene Expression
WHL22.12203	WHL22.12203	Gene Expression
WHL22.12207	WHL22.12207	Gene Expression
WHL22.12209	WHL22.12209	Gene Expression
WHL22.11417	WHL22.11417	Gene Expression
WHL22.11541	WHL22.11541	Gene Expression
WHL22.11525	WHL22.11525	Gene Expression
WHL22.11529	WHL22.11529	Gene Expression
WHL22.12691	WHL22.12691	Gene Expression
WHL22.12689	WHL22.12689	Gene Expression
WHL22.11539	WHL22.11539	Gene Expression
WHL22.11612	WHL22.11612	Gene Expression
WHL22.12014	WHL22.12014	Gene Expression
WHL22.12832	WHL22.12832	Gene Expression
WHL22.12836	WHL22.12836	Gene Expression
WHL22.12988	WHL22.12988	Gene Expression
WHL22.13041	WHL22.13041	Gene Expression
WHL22.13069	WHL22.13069	Gene Expression
WHL22.13075	WHL22.13075	Gene Expression
WHL22.12415	WHL22.12415	Gene Expression
WHL22.12445	WHL22.12445	Gene Expression
WHL22.12490	WHL22.12490	Gene Expression
WHL22.12802	WHL22.12802	Gene Expression
WHL22.13135	WHL22.13135	Gene Expression
WHL22.25440	WHL22.25440	Gene Expression
WHL22.25452	WHL22.25452	Gene Expression
WHL22.25485	WHL22.25485	Gene Expression
WHL22.25500	WHL22.25500	Gene Expression
WHL22.25560	WHL22.25560	Gene Expression
WHL22.25587	WHL22.25587	Gene Expression
WHL22.25596	WHL22.25596	Gene Expression
WHL22.25641	WHL22.25641	Gene Expression
WHL22.25677	WHL22.25677	Gene Expression
WHL22.25838	WHL22.25838	Gene Expression
WHL22.26341	WHL22.26341	Gene Expression
WHL22.12780	WHL22.12780	Gene Expression
WHL22.12823	WHL22.12823	Gene Expression
WHL22.12838	WHL22.12838	Gene Expression
WHL22.12952	WHL22.12952	Gene Expression
WHL22.12853	WHL22.12853	Gene Expression
WHL22.12949	WHL22.12949	Gene Expression
WHL22.12979	WHL22.12979	Gene Expression
WHL22.14902	WHL22.14902	Gene Expression
WHL22.14903	WHL22.14903	Gene Expression
WHL22.13037	WHL22.13037	Gene Expression
WHL22.13285	WHL22.13285	Gene Expression
WHL22.13878	WHL22.13878	Gene Expression
WHL22.14834	WHL22.14834	Gene Expression
WHL22.13156	WHL22.13156	Gene Expression
WHL22.13205	WHL22.13205	Gene Expression
WHL22.13209	WHL22.13209	Gene Expression
WHL22.13221	WHL22.13221	Gene Expression
WHL22.13233	WHL22.13233	Gene Expression
WHL22.13472	WHL22.13472	Gene Expression
WHL22.13463	WHL22.13463	Gene Expression
WHL22.13625	WHL22.13625	Gene Expression
WHL22.13636	WHL22.13636	Gene Expression
WHL22.13640	WHL22.13640	Gene Expression
WHL22.13474	WHL22.13474	Gene Expression
WHL22.13520	WHL22.13520	Gene Expression
WHL22.13601	WHL22.13601	Gene Expression
WHL22.13568	WHL22.13568	Gene Expression
WHL22.13574	WHL22.13574	Gene Expression
WHL22.15078	WHL22.15078	Gene Expression
WHL22.13708	WHL22.13708	Gene Expression
WHL22.13711	WHL22.13711	Gene Expression
WHL22.13682	WHL22.13682	Gene Expression
WHL22.14504	WHL22.14504	Gene Expression
WHL22.14594	WHL22.14594	Gene Expression
WHL22.16190	WHL22.16190	Gene Expression
WHL22.16192	WHL22.16192	Gene Expression
WHL22.16207	WHL22.16207	Gene Expression
WHL22.16289	WHL22.16289	Gene Expression
