Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	dataset	color
ABTA0001	ABTA0001	ABTA0001	Adult	black
ABTA0002	ABTA0002	ABTA0002	Adult	black
ABTA0003	ABTA0003	ABTA0003	Adult	black
ABTA0004	ABTA0004	ABTA0004	Adult	black
ABTA0005	ABTA0005	ABTA0005	Adult	black
ABTA0006	ABTA0006	ABTA0006	Adult	black
ABTA0007	ABTA0007	ABTA0007	Adult	black
ABTA0008	ABTA0008	ABTA0008	Adult	black
ABTA0009	ABTA0009	ABTA0009	Adult	black
ABTA0010	ABTA0010	ABTA0010	Adult	black
ABTA0011	ABTA0011	ABTA0011	Adult	black
ABTA0012	ABTA0012	ABTA0012	Adult	black
ABTA0013	ABTA0013	ABTA0013	Adult	black
ABTA0014	ABTA0014	ABTA0014	Adult	black
ABTA0015	ABTA0015	ABTA0015	Adult	black
ABTA0016	ABTA0016	ABTA0016	Adult	black
ABTA0017	ABTA0017	ABTA0017	Adult	black
ABTA0018	ABTA0018	ABTA0018	Adult	black
ABTA0019	ABTA0019	ABTA0019	Adult	black
ABTA0020	ABTA0020	ABTA0020	Adult	black
ABTA0021	ABTA0021	ABTA0021	Adult	black
ABTA0022	ABTA0022	ABTA0022	Adult	black
ABTA0023	ABTA0023	ABTA0023	Adult	black
ABTA0024	ABTA0024	ABTA0024	Adult	black
