gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
AmoebozoaDictyosteliumdiscoideumUP000002195_4930950__YGD6_SCHPO_Zinc-type_alcohol_dehydrogenase-like_protein_C1773.06c_OS_	OG0	1.0		
TelonemiaP00656Telonemasubtile_26541460__YGD6_SCHPO_Zinc-type_alcohol_dehydrogenase-like_protein_C1773.06c_OS_	OG0	1.0		
StramenopilesEP00652Aphanomycesastaci_26153515__UAP2_ARATH_UDP-N-acetylglucosamine_diphosphorylase_2_OS_	OG1	1.0		
TelonemiaP00656Telonemasubtile_26543243__ADHX_DICDI_Alcohol_dehydrogenase_class-3_OS_	OG1	1.0		
MalawimonadidaeEP00698Gefionellaokellyi_14705848__YOGA_LEPMJ_Zinc-type_alcohol_dehydrogenase-like_protein_YogA_OS_	OG1	1.0		
MalawimonadidaeEP00698Gefionellaokellyi_14690364__ENOXE_FRAAN_2-methylene-furan-3-one_reductase_OS_	OG1	1.0		
MalawimonadidaeEP00698Gefionellaokellyi_14705847__YOGA_LEPMJ_Zinc-type_alcohol_dehydrogenase-like_protein_YogA_OS_	OG1	1.0		
FungiFusariumoxysporumUP000002489_13369129__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2809614__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaBrachiopodaLingulaunguis_1294229__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaCnidariaMadracisauretenra_3309386__ADHA_BACSU_Probable_formaldehyde_dehydrogenase_AdhA_OS_	OG2	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2822734__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaBrachiopodaLingulaunguis_1279594__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
RigifilidaEP00004Rigifilaramosa_23124525__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaBrachiopodaLingulaunguis_1279329__ADH_STAAM_Alcohol_dehydrogenase_OS_	OG2	1.0		
ChoanoflagellataEP00040Diaphanoecagrandis_10913305__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaBrachiopodaLingulaunguis_1298121__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaPlacozoaEP00114TrichoplaxspH2_4507305__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaNematodaCaenorhabditiselegans_4318368__IDND_VITVI_L-idonate_5-dehydrogenase_OS_	OG2	1.0		
MetazoaEchinodermataAcanthasterplanci_3788538__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaAnnelidaEP00103Capitellateleta_82457__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
ChoanoflagellataEP00039Didymoecacostata_10873527__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2809613__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
RigifilidaEP00004Rigifilaramosa_23124523__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaMolluscaLottiagigantea_4225003__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaEchinodermataAcanthasterplanci_3788542__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaPoriferaAmphimedonqueenslandica_4697350__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaEchinodermataAcanthasterplanci_3788467__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaCnidariaAureliaGenome_3057817__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaEchinodermataAcanthasterplanci_3788505__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaPoriferaLeucosoleniacomplicata_4988457_	OG2	1.0		
MetazoaCnidariaMadracisauretenra_3300640__MTDH1_STYHU_Probable_mannitol_dehydrogenase_1_OS_	OG2	1.0		
MetazoaMolluscaEP00106Octopusbimaculoides_4174628__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2809622__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaPoriferaLeucosoleniacomplicata_4981391__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaPoriferaSyconciliatum_5113166__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaCnidariaMadracisauretenra_3283008__ADH1_GEOSE_Alcohol_dehydrogenase_OS_	OG2	1.0		
ChoanoflagellataEP00037Helgoecanana_10800123__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaBrachiopodaLingulaunguis_1288429__ADH3_GEOSE_Alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaUrochordataEP00059Cionaintestinalis_5335969__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaEchinodermataAcanthasterplanci_3788470__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaBrachiopodaLingulaunguis_1294233__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaPoriferaLeucosoleniacomplicata_4987303_	OG2	1.0		
MetazoaPoriferaLeucosoleniacomplicata_4971134_	OG2	1.0		
MetazoaArthropodaDaphniapulex_192396__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaCnidariaMadracisauretenra_3300815__ADH3_GEOSE_Alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaNematodaLoaloa_4409437__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaUrochordataEP00059Cionaintestinalis_5334945__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaBrachiopodaLingulaunguis_1282680__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaAnnelidaEP00103Capitellateleta_57808__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaUrochordataEP00059Cionaintestinalis_5343348__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaCnidariaAureliaGenome_3062472__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaTardigradaRamazzotiusvarieornatus_5274907_	OG2	1.0		
MetazoaBrachiopodaLingulaunguis_1278361__ADH3_GEOSE_Alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaArthropodaDrosophilamelanogaster_246906__YGD6_SCHPO_Zinc-type_alcohol_dehydrogenase-like_protein_C1773.06c_OS_	OG2	1.0		
MetazoaAnnelidaEP00103Capitellateleta_82033__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaBryozoaBugulaneritina_1585470__TDH_THET8_L-threonine_3-dehydrogenase_OS_	OG2	1.0		
CentroplasthelidaEP00300ChoanocystisspHF7_5627079__ADH_SULTO_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2818119__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
MetazoaHemichordataSaccoglossuskowalevskii_4053793__ADH_SULAC_NAD-dependent_alcohol_dehydrogenase_OS_	OG2	1.0		
