in_gene	out_gene	branch_support	ev_type	sos
HaptophytaEP00319Phaeocystisglobosa_14053873__ACOX_SYNY3_Apocarotenoid-15_15_-oxygenase_OS_	ChloroplastidaChlamydomonasreinhardtiiUP000006906_6365318__CCD8_ARATH_Carotenoid_cleavage_dioxygenase_8__chloroplastic_OS_	1.0	S	0.0
HaptophytaEP00319Phaeocystisglobosa_14053873__ACOX_SYNY3_Apocarotenoid-15_15_-oxygenase_OS_	ChloroplastidaChlamydomonasreinhardtiiUP000006906_6360538__CCD8_ARATH_Carotenoid_cleavage_dioxygenase_8__chloroplastic_OS_	1.0	S	0.0
HaptophytaEP00319Phaeocystisglobosa_14053873__ACOX_SYNY3_Apocarotenoid-15_15_-oxygenase_OS_	MetazoaBryozoaBugulaneritina_2273795__CCD8A_ORYSJ_Carotenoid_cleavage_dioxygenase_8_homolog_A__chloroplastic_OS_	1.0	S	0.0
HaptophytaEP00319Phaeocystisglobosa_14053873__ACOX_SYNY3_Apocarotenoid-15_15_-oxygenase_OS_	MetazoaBryozoaBugulaneritina_2108448__CCD8A_ORYSJ_Carotenoid_cleavage_dioxygenase_8_homolog_A__chloroplastic_OS_	1.0	S	0.0
HaptophytaEP00319Phaeocystisglobosa_14053873__ACOX_SYNY3_Apocarotenoid-15_15_-oxygenase_OS_	MetazoaNematodaCaenorhabditiselegans_4308368__BCDO1_CHICK_Beta_beta-carotene_15_15_-dioxygenase_OS_	1.0	S	0.0
HaptophytaEP00319Phaeocystisglobosa_14053873__ACOX_SYNY3_Apocarotenoid-15_15_-oxygenase_OS_	ChloroplastidaChlamydomonasreinhardtiiUP000006906_6368214__CCD8_ARATH_Carotenoid_cleavage_dioxygenase_8__chloroplastic_OS_	1.0	S	0.0
TelonemiaP00656Telonemasubtile_26562673_	ChloroplastidaChlamydomonasreinhardtiiUP000006906_6365318__CCD8_ARATH_Carotenoid_cleavage_dioxygenase_8__chloroplastic_OS_	1.0	S	0.0
TelonemiaP00656Telonemasubtile_26562673_	ChloroplastidaChlamydomonasreinhardtiiUP000006906_6360538__CCD8_ARATH_Carotenoid_cleavage_dioxygenase_8__chloroplastic_OS_	1.0	S	0.0
TelonemiaP00656Telonemasubtile_26562673_	MetazoaBryozoaBugulaneritina_2273795__CCD8A_ORYSJ_Carotenoid_cleavage_dioxygenase_8_homolog_A__chloroplastic_OS_	1.0	S	0.0
TelonemiaP00656Telonemasubtile_26562673_	MetazoaBryozoaBugulaneritina_2108448__CCD8A_ORYSJ_Carotenoid_cleavage_dioxygenase_8_homolog_A__chloroplastic_OS_	1.0	S	0.0
TelonemiaP00656Telonemasubtile_26562673_	MetazoaNematodaCaenorhabditiselegans_4308368__BCDO1_CHICK_Beta_beta-carotene_15_15_-dioxygenase_OS_	1.0	S	0.0
TelonemiaP00656Telonemasubtile_26562673_	ChloroplastidaChlamydomonasreinhardtiiUP000006906_6368214__CCD8_ARATH_Carotenoid_cleavage_dioxygenase_8__chloroplastic_OS_	1.0	S	0.0
MetazoaCnidariaMontastraeacavernosa_3322147__BCDO2_MOUSE_Beta_beta-carotene_9__10_-oxygenase_OS_	ChloroplastidaChlamydomonasreinhardtiiUP000006906_6365318__CCD8_ARATH_Carotenoid_cleavage_dioxygenase_8__chloroplastic_OS_	1.0	S	0.0
MetazoaCnidariaMontastraeacavernosa_3322147__BCDO2_MOUSE_Beta_beta-carotene_9__10_-oxygenase_OS_	ChloroplastidaChlamydomonasreinhardtiiUP000006906_6360538__CCD8_ARATH_Carotenoid_cleavage_dioxygenase_8__chloroplastic_OS_	1.0	S	0.0
MetazoaCnidariaMontastraeacavernosa_3322147__BCDO2_MOUSE_Beta_beta-carotene_9__10_-oxygenase_OS_	MetazoaBryozoaBugulaneritina_2273795__CCD8A_ORYSJ_Carotenoid_cleavage_dioxygenase_8_homolog_A__chloroplastic_OS_	1.0	S	0.0
