IQ-TREE multicore version 2.0.6 for Linux 64-bit built May 30 2020
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    node004 (AVX2, FMA3, 125 GB RAM)
Command: iqtree2 -s R9AP.doublefiltered.fasta.annot.clean.mafft.trimal -m MFP -mset Blosum62,cpREV,Dayhoff,DCMut,FLU,HIVb,HIVw,JTT,JTTDCMut,LG,mtART,mtMAM,mtREV,mtZOA,mtMet,mtVer,mtInv,Poisson,PMB,rtREV,VT,WAG,GTR20 -mrate E,I,G,I+G,R -B 1000 --wbtl --bnni --alrt 1000 --abayes -T AUTO --prefix R9AP.doublefiltered.fasta.annot.clean.mafft.trimal.UFB
Seed:    261925 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Apr  9 18:00:21 2021
Kernel:  AVX+FMA - auto-detect threads (12 CPU cores detected)

Reading alignment file R9AP.doublefiltered.fasta.annot.clean.mafft.trimal ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 19 sequences with 290 columns, 290 distinct patterns
252 parsimony-informative, 31 singleton sites, 7 constant sites
                                                                                                                                    Gap/Ambiguity  Composition  p-value
   1  MetazoaAnnelidaEP00103Capitellateleta_84286__R9BP_HUMAN_Regulator_of_G-protein_signaling_9-binding_protein_OS_                        4.83%    passed     18.54%
   2  MetazoaBrachiopodaLingulaunguis_1293888__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                            7.93%    passed     95.07%
   3  MetazoaEchinodermataAcanthasterplanci_3785627__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                     10.69%    passed     66.97%
   4  MetazoaEchinodermataAcanthasterplanci_3789889__R7BP_BOVIN_Regulator_of_G-protein_signaling_7-binding_protein_OS_                     20.34%    passed     12.77%
   5  MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3813798__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_   24.83%    passed     43.47%
   6  MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3830585__R9BP_HUMAN_Regulator_of_G-protein_signaling_9-binding_protein_OS_   11.38%    passed     33.37%
   7  MetazoaHemichordataSaccoglossuskowalevskii_4062999__R7BP_RAT_Regulator_of_G-protein_signaling_7-binding_protein_OS_                  15.86%    failed      1.23%
   8  MetazoaHemichordataSaccoglossuskowalevskii_4078919__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                30.69%    passed      6.95%
   9  MetazoaMolluscaLottiagigantea_4221559__R9BP_HUMAN_Regulator_of_G-protein_signaling_9-binding_protein_OS_                             23.79%    failed      0.47%
  10  MetazoaVertebrateDaniorerio_5421883__R9BPB_XENLA_Regulator_of_G-protein_signaling_9-binding_protein_B_OS_                            12.76%    passed      9.15%
  11  MetazoaVertebrateDaniorerio_5422302__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                               20.00%    passed     12.78%
  12  MetazoaVertebrateDaniorerio_5430385__R7BPA_DANRE_Regulator_of_G-protein_signaling_7-binding_protein_A_OS_                            22.07%    passed     89.75%
  13  MetazoaVertebrateDaniorerio_5431775__R9BP_DANRE_Regulator_of_G-protein_signaling_9-binding_protein_OS_                               21.38%    failed      1.19%
  14  MetazoaVertebrateEptatretusburgeri_6382680__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                        15.52%    failed      0.49%
  15  MetazoaVertebrateEptatretusburgeri_6390864__R9BP_CHICK_Regulator_of_G-protein_signaling_9-binding_protein_OS_                        20.34%    passed      8.97%
  16  MetazoaVertebrateHomosapiens_6460820__R7BP_HUMAN_Regulator_of_G-protein_signaling_7-binding_protein_OS_                              19.31%    passed     33.67%
  17  MetazoaVertebrateHomosapiens_6461538__R9BP_HUMAN_Regulator_of_G-protein_signaling_9-binding_protein_OS_                              18.97%    failed      0.01%
  18  MetazoaVertebrateMusmusculus_6535218__R9BP_MOUSE_Regulator_of_G-protein_signaling_9-binding_protein_OS_                              18.28%    failed      0.00%
  19  MetazoaVertebrateMusmusculus_6540712__R7BP_MOUSE_Regulator_of_G-protein_signaling_7-binding_protein_OS_                              19.31%    passed     63.73%
****  TOTAL                                                                                                                                17.80%  6 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.007 seconds
Measuring multi-threading efficiency up to 12 CPU cores
Increase to 10 rounds for branch lengths
158 trees examined
Threads: 1 / Time: 12.031 sec / Speedup: 1.000 / Efficiency: 100% / LogL: -9996
Threads: 2 / Time: 6.876 sec / Speedup: 1.750 / Efficiency: 87% / LogL: -9996
Threads: 3 / Time: 5.271 sec / Speedup: 2.283 / Efficiency: 76% / LogL: -9996
Threads: 4 / Time: 4.574 sec / Speedup: 2.630 / Efficiency: 66% / LogL: -9996
Threads: 5 / Time: 4.332 sec / Speedup: 2.777 / Efficiency: 56% / LogL: -9996
Threads: 6 / Time: 4.050 sec / Speedup: 2.971 / Efficiency: 50% / LogL: -9996
BEST NUMBER OF THREADS: 5

Perform fast likelihood tree search using LG+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -8472.522
Optimal log-likelihood: -8472.445
Proportion of invariable sites: 0.015
Gamma shape alpha: 2.472
Parameters optimization took 1 rounds (0.009 sec)
Time for fast ML tree search: 0.066 seconds

NOTE: ModelFinder requires 10 MB RAM!
ModelFinder will test up to 598 protein models (sample size: 290) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  Blosum62      8627.313     35  17324.627    17334.548    17453.073
  2  Blosum62+I    8600.932     36  17273.864    17284.394    17405.980
  3  Blosum62+G4   8554.290     36  17180.579    17191.109    17312.695
  4  Blosum62+I+G4 8546.700     37  17167.401    17178.559    17303.186
  5  Blosum62+R2   8549.648     37  17173.296    17184.454    17309.081
  6  Blosum62+R3   8548.190     39  17174.380    17186.860    17317.506
 14  Blosum62+F    8585.784     54  17279.569    17304.845    17477.742
 15  Blosum62+F+I  8559.172     55  17228.345    17254.669    17430.188
 16  Blosum62+F+G4 8509.910     55  17129.820    17156.145    17331.664
 17  Blosum62+F+I+G4 8502.346     56  17116.691    17144.091    17322.205
 18  Blosum62+F+R2 8507.175     56  17126.350    17153.749    17331.864
 19  Blosum62+F+R3 8504.949     58  17125.899    17155.527    17338.752
 27  cpREV         8671.913     35  17413.826    17423.748    17542.272
 28  cpREV+I       8654.097     36  17380.195    17390.724    17512.311
 29  cpREV+G4      8576.237     36  17224.475    17235.004    17356.591
 30  cpREV+I+G4    8573.579     37  17221.158    17232.317    17356.943
 31  cpREV+R2      8579.719     37  17233.439    17244.598    17369.225
 32  cpREV+R3      8573.139     39  17224.278    17236.758    17367.403
 33  cpREV+R4      8572.650     41  17227.299    17241.187    17377.765
 40  cpREV+F       8610.925     54  17329.851    17355.127    17528.024
 41  cpREV+F+I     8593.322     55  17296.643    17322.968    17498.487
 42  cpREV+F+G4    8509.845     55  17129.689    17156.014    17331.533
 43  cpREV+F+I+G4  8507.398     56  17126.795    17154.194    17332.308
 44  cpREV+F+R2    8513.768     56  17139.537    17166.936    17345.050
 45  cpREV+F+R3    8507.153     58  17130.306    17159.934    17343.159
 46  cpREV+F+R4    8506.545     60  17133.091    17165.056    17353.284
 53  Dayhoff       8661.631     35  17393.262    17403.183    17521.708
 54  Dayhoff+I     8634.385     36  17340.771    17351.300    17472.886
 55  Dayhoff+G4    8544.633     36  17161.266    17171.795    17293.381
 56  Dayhoff+I+G4  8538.962     37  17151.923    17163.082    17287.709
 57  Dayhoff+R2    8548.461     37  17170.922    17182.081    17306.708
 58  Dayhoff+R3    8540.916     39  17159.833    17172.313    17302.958
 59  Dayhoff+R4    8536.749     41  17155.498    17169.385    17305.963
 66  Dayhoff+F     8567.192     54  17242.384    17267.660    17440.557
 67  Dayhoff+F+I   8539.055     55  17188.110    17214.435    17389.953
 68  Dayhoff+F+G4  8452.141     55  17014.282    17040.607    17216.125
 69  Dayhoff+F+I+G4 8446.174     56  17004.348    17031.747    17209.861
 70  Dayhoff+F+R2  8455.040     56  17022.080    17049.479    17227.593
 71  Dayhoff+F+R3  8448.738     58  17013.476    17043.103    17226.329
 72  Dayhoff+F+R4  8444.292     60  17008.584    17040.549    17228.777
 79  DCMut         8661.162     35  17392.324    17402.245    17520.769
 80  DCMut+I       8633.965     36  17339.930    17350.460    17472.046
 81  DCMut+G4      8544.788     36  17161.576    17172.106    17293.692
 82  DCMut+I+G4    8539.109     37  17152.219    17163.378    17288.005
 83  DCMut+R2      8548.544     37  17171.089    17182.247    17306.874
 84  DCMut+R3      8541.045     39  17160.090    17172.570    17303.216
 85  DCMut+R4      8540.286     41  17162.572    17176.459    17313.037
 92  DCMut+F       8566.715     54  17241.431    17266.708    17439.605
 93  DCMut+F+I     8538.637     55  17187.274    17213.599    17389.118
 94  DCMut+F+G4    8452.247     55  17014.495    17040.819    17216.338
 95  DCMut+F+I+G4  8446.275     56  17004.550    17031.949    17210.063
 96  DCMut+F+R2    8455.083     56  17022.165    17049.565    17227.679
 97  DCMut+F+R3    8448.841     58  17013.681    17043.309    17226.534
 98  DCMut+F+R4    8444.394     60  17008.788    17040.753    17228.981
105  FLU           8806.084     35  17682.169    17692.090    17810.615
106  FLU+I         8760.833     36  17593.665    17604.195    17725.781
107  FLU+G4        8648.567     36  17369.134    17379.664    17501.250
108  FLU+I+G4      8638.056     37  17350.112    17361.271    17485.898
109  FLU+R2        8662.031     37  17398.062    17409.220    17533.847
110  FLU+R3        8643.591     39  17365.183    17377.663    17508.308
111  FLU+R4        8642.083     41  17366.166    17380.053    17516.631
118  FLU+F         8687.602     54  17483.203    17508.480    17681.377
119  FLU+F+I       8643.921     55  17397.843    17424.167    17599.686
120  FLU+F+G4      8534.351     55  17178.703    17205.028    17380.546
121  FLU+F+I+G4    8524.515     56  17161.031    17188.430    17366.544
122  FLU+F+R2      8544.150     56  17200.299    17227.698    17405.813
123  FLU+F+R3      8530.050     58  17176.099    17205.727    17388.952
124  FLU+F+R4      8529.706     60  17179.413    17211.378    17399.606
131  HIVb          8731.791     35  17533.582    17543.503    17662.028
132  HIVb+I        8696.035     36  17464.070    17474.600    17596.186
133  HIVb+G4       8592.569     36  17257.139    17267.669    17389.255
134  HIVb+I+G4     8584.839     37  17243.678    17254.837    17379.464
135  HIVb+R2       8601.036     37  17276.072    17287.231    17411.858
136  HIVb+R3       8586.301     39  17250.603    17263.083    17393.728
137  HIVb+R4       8585.818     41  17253.636    17267.523    17404.101
144  HIVb+F        8643.502     54  17395.004    17420.281    17593.178
145  HIVb+F+I      8607.465     55  17324.931    17351.256    17526.774
146  HIVb+F+G4     8500.086     55  17110.172    17136.497    17312.016
147  HIVb+F+I+G4   8492.696     56  17097.391    17124.790    17302.904
148  HIVb+F+R2     8507.197     56  17126.395    17153.794    17331.908
149  HIVb+F+R3     8492.201     58  17100.402    17130.029    17313.255
150  HIVb+F+R4     8492.170     60  17104.340    17136.305    17324.532
157  HIVw          9166.016     35  18402.032    18411.953    18530.478
158  HIVw+I        9121.512     36  18315.023    18325.553    18447.139
