gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
IchthyosporeaSphaeroformaarcticaUP000054560_14622464__PLPL1_HUMAN_Patatin-like_phospholipase_domain-containing_protein_1_OS_	OG0	1.0		
ChoanoflagellataEP00037Helgoecanana_10801052__PLPL3_MOUSE_1-acylglycerol-3-phosphate_O-acyltransferase_Pnpla3_OS_	OG0	1.0		
ChoanoflagellataEP00039Didymoecacostata_10883315__PLPL2_CAEEL_Patanin-like_phospholipase_domain-containing_protein_atgl-1_OS_	OG0	1.0		
ChoanoflagellataEP00035Acanthoecaspectabilis_10719965__PLPL2_CAEEL_Patanin-like_phospholipase_domain-containing_protein_atgl-1_OS_	OG0	1.0		
ChoanoflagellataEP00040Diaphanoecagrandis_10909737__PLPL2_HUMAN_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG0	1.0		
HaptophytaEP00319Phaeocystisglobosa_14069363__PLPL2_HUMAN_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG0	1.0		
FilastreaCapsasporaowczarzakiUP000008743_12978154__PLPL2_MOUSE_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaArthropodaEP00090Calanusglacialis_714709__PLPL2_RAT_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaHemichordataSaccoglossuskowalevskii_4054223__PLPL4_HUMAN_Patatin-like_phospholipase_domain-containing_protein_4_OS_	OG1	1.0		
MetazoaCnidariaFungiascutaria_3197478__PLPL4_HUMAN_Patatin-like_phospholipase_domain-containing_protein_4_OS_	OG1	1.0		
MetazoaVertebrateMusmusculus_6535411__PLPL5_MOUSE_Patatin-like_phospholipase_domain-containing_protein_5_OS_	OG1	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3834401__PLPL2_RAT_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaCnidariaMadracisauretenra_3299669__PLPL4_HUMAN_Patatin-like_phospholipase_domain-containing_protein_4_OS_	OG1	1.0		
MetazoaCnidariaClytiahemisphaerica_3093032__PLPL2_BOVIN_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaBryozoaBugulaneritina_2399029__PLPL2_MOUSE_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaVertebrateHomosapiens_6468756__PLPL3_HUMAN_1-acylglycerol-3-phosphate_O-acyltransferase_PNPLA3_OS_	OG1	1.0		
MetazoaVertebrateDaniorerio_5419850__PLPL4_HUMAN_Patatin-like_phospholipase_domain-containing_protein_4_OS_	OG1	1.0		
MetazoaArthropodaEP00090Calanusglacialis_702499__PLPL4_HUMAN_Patatin-like_phospholipase_domain-containing_protein_4_OS_	OG1	1.0		
MetazoaCnidariaAnthopleuraelegantissima_3022601__PLPL2_MOUSE_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaAcoelaHofsteniamiamia_13585__PLPL2_MOUSE_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaVertebrateHomosapiens_6456181__PLPL4_HUMAN_Patatin-like_phospholipase_domain-containing_protein_4_OS_	OG1	1.0		
MetazoaAnnelidaEP00103Capitellateleta_55334__PLPL4_HUMAN_Patatin-like_phospholipase_domain-containing_protein_4_OS_	OG1	1.0		
MetazoaCnidariaMadracisauretenra_3305844__PLPL2_BOVIN_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaCnidariaAstreoporasp_3040313__PLPL2_BOVIN_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaPlacozoaHoilungiahongkongensis_4576735__PLPL4_HUMAN_Patatin-like_phospholipase_domain-containing_protein_4_OS_	OG1	1.0		
MetazoaVertebrateHomosapiens_6463484__PLPL1_HUMAN_Patatin-like_phospholipase_domain-containing_protein_1_OS_	OG1	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2813156__PLPL4_HUMAN_Patatin-like_phospholipase_domain-containing_protein_4_OS_	OG1	1.0		
MetazoaCnidariaFungiascutaria_3197479__PLPL4_HUMAN_Patatin-like_phospholipase_domain-containing_protein_4_OS_	OG1	1.0		
MetazoaAcoelaHofsteniamiamia_20360__PLPL2_RAT_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaBryozoaBugulaneritina_2366488__PLPL4_HUMAN_Patatin-like_phospholipase_domain-containing_protein_4_OS_	OG1	1.0		
MetazoaHemichordataSaccoglossuskowalevskii_4055930__PLPL2_MOUSE_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2805666__PLPL2_MOUSE_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaUrochordataOikopleuradioica_5364601__PLPL2_RAT_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaCnidariaHydramagnapapillata_3267440__PLPL2_RAT_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaAcoelaHofsteniamiamia_14881__PLPL4_HUMAN_Patatin-like_phospholipase_domain-containing_protein_4_OS_	OG1	1.0		
MetazoaCnidariaAnthopleuraelegantissima_3011003__PLPL4_HUMAN_Patatin-like_phospholipase_domain-containing_protein_4_OS_	OG1	1.0		
MetazoaCnidariaMontastraeacavernosa_3351453__PLPL2_BOVIN_Patatin-like_phospholipase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaEchinodermataAcanthasterplanci_3781513__PLPL4_HUMAN_Patatin-like_phospholipase_domain-containing_protein_4_OS_	OG1	1.0		
