gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
MetazoaCnidariaMadracisauretenra_3274993__DGAT2_HUMAN_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
RigifilidaEP00004Rigifilaramosa_23142676__MOGT2_HUMAN_2-acylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
ChoanoflagellataEP00037Helgoecanana_10807739__DGAT2_HUMAN_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
HeteroloboseaEP00761Pharyngomonaskirbyi_14480705__DGT2B_UMBRA_Diacylglycerol_O-acyltransferase_2B_OS_	OG0	1.0		
HaptophytaEP00319Phaeocystisglobosa_14078227__AWAT1_HUMAN_Acyl-CoA_wax_alcohol_acyltransferase_1_OS_	OG0	1.0		
ChoanoflagellataEP00047Mylnosigafluctuans_11132076__DGAT2_DICDI_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
RhodelphisEP00736Rhodelphismarinus_22797319__DGAT2_YEAST_Diacylglycerol_O-acyltransferase_1_OS_	OG0	1.0		
CollodictyonidaeEP00002Diphylleiarotans_11634295__DGAT2_DICDI_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
ChloroplastidaEP00738Chloropiconprimus_8597202__DAT2D_SOYBN_Diacylglycerol_O-acyltransferase_2D_OS_	OG0	1.0		
ChoanoflagellataEP00039Didymoecacostata_10886380__MOGT3_HUMAN_2-acylglycerol_O-acyltransferase_3_OS_	OG0	1.0		
ChoanoflagellataEP00045Choanoecaperplexa_11092385__DGAT2_DANRE_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
StramenopilesEP00652Aphanomycesastaci_26154629__MOGT1_MOUSE_2-acylglycerol_O-acyltransferase_1_OS_	OG0	1.0		
ChoanoflagellateaMonosigabrevicollisUP000001357_11429968__MOGT3_HUMAN_2-acylglycerol_O-acyltransferase_3_OS_	OG0	1.0		
RigifilidaEP00004Rigifilaramosa_23142673__AWAT2_MOUSE_Acyl-CoA_wax_alcohol_acyltransferase_2_OS_	OG0	1.0		
CollodictyonidaeEP00002Diphylleiarotans_11634296__DGAT2_DICDI_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
TelonemiaP00656Telonemasubtile_26521477__DG2L6_BOVIN_Diacylglycerol_O-acyltransferase_2-like_protein_6_OS_	OG0	1.0		
ChoanoflagellataEP00039Didymoecacostata_10856319__DGAT2_DICDI_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
ChoanoflagellataEP00040Diaphanoecagrandis_10914889__MOGT2_HUMAN_2-acylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
RotosphaeridaEP00160Parvulariaatlantis_23158923__DAT2D_SOYBN_Diacylglycerol_O-acyltransferase_2D_OS_	OG0	1.0		
ChoanoflagellataEP00050Salpingoecakvevrii_11210803__DGAT2_DICDI_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
ChoanoflagellataEP00045Choanoecaperplexa_11092826__DGAT2_ARATH_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
IchthyosporeaSphaeroformaarcticaUP000054560_14617211__MOGT3_HUMAN_2-acylglycerol_O-acyltransferase_3_OS_	OG0	1.0		
StramenopilesPhytophthorainfestansUP000006643_26370424__DGAT2_XENTR_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
ChoanoflagellateaMonosigabrevicollisUP000001357_11433712__DGAT2_XENTR_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
AlveolataEP00742ColponemidiaspColp10_4283727__DGAT2_ASHGO_Diacylglycerol_O-acyltransferase_1_OS_	OG0	1.0		
RigifilidaEP00004Rigifilaramosa_23125871__AWAT2_MOUSE_Acyl-CoA_wax_alcohol_acyltransferase_2_OS_	OG0	1.0		
ChoanoflagellataEP00035Acanthoecaspectabilis_10741441__DGAT2_HUMAN_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
ChoanoflagellataEP00040Diaphanoecagrandis_10905168__DG2L6_BOVIN_Diacylglycerol_O-acyltransferase_2-like_protein_6_OS_	OG0	1.0		
StramenopilesPhytophthorainfestansUP000006643_26370426__DGAT2_DICDI_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
AlveolataEP00742ColponemidiaspColp10_4284262__DGAT2_YEAST_Diacylglycerol_O-acyltransferase_1_OS_	OG0	1.0		
ApusomonadidaThecamonastrahensUP000054408_5477494__MOGT1_XENTR_2-acylglycerol_O-acyltransferase_1_OS_	OG0	1.0		
CentroplasthelidaEP00300ChoanocystisspHF7_5594938__DGAT2_HUMAN_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
StramenopilesEP00652Aphanomycesastaci_26154651__DGAT2_DANRE_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
RhizariaEP00473Plasmodiophorabrassicae_22119711__AWAT2_MOUSE_Acyl-CoA_wax_alcohol_acyltransferase_2_OS_	OG0	1.0		
HaptophytaEP00327Prymnesiumparvum_14292881__MOG2A_XENLA_2-acylglycerol_O-acyltransferase_2-A_OS_	OG0	1.0		
MetazoaCnidariaMadracisauretenra_3293363__MOGT1_BOVIN_2-acylglycerol_O-acyltransferase_1_OS_	OG0	1.0		
HaptophytaEP00327Prymnesiumparvum_14291058__DGAT2_ARATH_Diacylglycerol_O-acyltransferase_2_OS_	OG0	1.0		
ChloroplastidaChlamydomonasreinhardtiiUP000006906_6368851__DAT2D_SOYBN_Diacylglycerol_O-acyltransferase_2D_OS_	OG1	1.0		
ChloroplastidaEP00248Marchantiapolymorpha_7475662__DAT2D_SOYBN_Diacylglycerol_O-acyltransferase_2D_OS_	OG1	1.0		
ChloroplastidaArabidopsisthalianaUP000006548_5880176__DGAT2_ARATH_Diacylglycerol_O-acyltransferase_2_OS_	OG1	1.0		
CentroplasthelidaEP00300ChoanocystisspHF7_5620981__DGAT2_XENLA_Diacylglycerol_O-acyltransferase_2_OS_	OG2	1.0		
TelonemiaP00656Telonemasubtile_26553689__DGAT2_ARATH_Diacylglycerol_O-acyltransferase_2_OS_	OG2	1.0		
CryptophyceaeEP00290BaffinellaspCCMP2293_12060121__DGAT2_BOVIN_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
ChoanoflagellataEP00035Acanthoecaspectabilis_10755609__MOGT2_MOUSE_2-acylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
StramenopilesEP00652Aphanomycesastaci_26140532__MOG2A_XENLA_2-acylglycerol_O-acyltransferase_2-A_OS_	OG3	1.0		
HeteroloboseaEP00761Pharyngomonaskirbyi_14492540__DGAT2_RICCO_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
ChoanoflagellataEP00037Helgoecanana_10809024__MOG2A_XENLA_2-acylglycerol_O-acyltransferase_2-A_OS_	OG3	1.0		
TelonemiaP00656Telonemasubtile_26557947__DGAT2_DICDI_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
TelonemiaP00656Telonemasubtile_26525069__DG2L6_BOVIN_Diacylglycerol_O-acyltransferase_2-like_protein_6_OS_	OG3	1.0		
HeteroloboseaEP00761Pharyngomonaskirbyi_14493745__MOGT1_XENTR_2-acylglycerol_O-acyltransferase_1_OS_	OG3	1.0		
StramenopilesPhytophthorainfestansUP000006643_26377281__DGAT2_ARATH_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
StramenopilesEP00652Aphanomycesastaci_26140541__MOGT1_MOUSE_2-acylglycerol_O-acyltransferase_1_OS_	OG3	1.0		
StramenopilesPhytophthorainfestansUP000006643_26383591__DGAT2_ARATH_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
StramenopilesPhytophthorainfestansUP000006643_26377279__DGAT2_ARATH_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
RigifilidaEP00004Rigifilaramosa_23134330__MOGT1_MOUSE_2-acylglycerol_O-acyltransferase_1_OS_	OG3	1.0		
MetazoaCnidariaMadracisauretenra_3310532__DG2L6_BOVIN_Diacylglycerol_O-acyltransferase_2-like_protein_6_OS_	OG3	1.0		
RhodophytaGaldieriasulphurariaUP000030680_23112653__MOGT2_MOUSE_2-acylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
RigifilidaEP00004Rigifilaramosa_23134328__MOGT1_MOUSE_2-acylglycerol_O-acyltransferase_1_OS_	OG3	1.0		
TelonemiaP00656Telonemasubtile_26539460__MOGT1_MOUSE_2-acylglycerol_O-acyltransferase_1_OS_	OG3	1.0		
StramenopilesEP00652Aphanomycesastaci_26140535__MOG2A_XENLA_2-acylglycerol_O-acyltransferase_2-A_OS_	OG3	1.0		
StramenopilesPhytophthorainfestansUP000006643_26383464__MOGT1_XENLA_2-acylglycerol_O-acyltransferase_1_OS_	OG3	1.0		
TelonemiaP00656Telonemasubtile_26514314__DGAT2_DICDI_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
AmoebozoaEP00007CuneaspBSH02190019_4984991__DGAT2_MOUSE_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
StramenopilesEP00652Aphanomycesastaci_26140530__MOG2A_XENLA_2-acylglycerol_O-acyltransferase_2-A_OS_	OG3	1.0		
RigifilidaEP00004Rigifilaramosa_23134329__MOGT2_HUMAN_2-acylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
StramenopilesEP00652Aphanomycesastaci_26140542__DGT2A_UMBRA_Diacylglycerol_O-acyltransferase_2A_OS_	OG3	1.0		
AmoebozoaEP00007CuneaspBSH02190019_4981732__DGAT2_ARATH_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
RotosphaeridaFonticulaalbaUP000030693_23192803__DGAT2_DANRE_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
TelonemiaP00656Telonemasubtile_26514316__DGAT2_DICDI_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
TelonemiaP00656Telonemasubtile_26557945__MOGT1_XENTR_2-acylglycerol_O-acyltransferase_1_OS_	OG3	1.0		
CryptophyceaeGuillardiathetaUP000011087_12263217__DG2L6_HUMAN_Diacylglycerol_O-acyltransferase_2-like_protein_6_OS_	OG3	1.0		
EuglenozoaEP00668Euglenalonga_12392928__DGAT2_DICDI_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
CryptophyceaeEP00290BaffinellaspCCMP2293_12045629__MOGT3_HUMAN_2-acylglycerol_O-acyltransferase_3_OS_	OG3	1.0		
ChoanoflagellataEP00050Salpingoecakvevrii_11203868__DGT2B_UMBRA_Diacylglycerol_O-acyltransferase_2B_OS_	OG3	1.0		
CryptophyceaeEP00290BaffinellaspCCMP2293_12058697__DGAT2_BOVIN_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
AlveolataEP00742ColponemidiaspColp10_4276954__DGAT2_BOVIN_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
ChoanoflagellataEP00050Salpingoecakvevrii_11203869__DGT2B_UMBRA_Diacylglycerol_O-acyltransferase_2B_OS_	OG3	1.0		
IchthyosporeaEP00123Amoebidiumparasiticum_14561025__DGAT2_XENTR_Diacylglycerol_O-acyltransferase_2_OS_	OG3	1.0		
HaptophytaEP00319Phaeocystisglobosa_14070802__DG2L6_HUMAN_Diacylglycerol_O-acyltransferase_2-like_protein_6_OS_	OG4	1.0		
MetazoaCnidariaMontastraeacavernosa_3338890__MOGT3_HUMAN_2-acylglycerol_O-acyltransferase_3_OS_	OG4	1.0		
HaptophytaEP00327Prymnesiumparvum_14298542__DGAT2_DANRE_Diacylglycerol_O-acyltransferase_2_OS_	OG4	1.0		
MetazoaCnidariaMadracisauretenra_3298773__MOGT3_HUMAN_2-acylglycerol_O-acyltransferase_3_OS_	OG4	1.0		
StramenopilesPhytophthorainfestansUP000006643_26370657__AWAT2_MOUSE_Acyl-CoA_wax_alcohol_acyltransferase_2_OS_	OG5	1.0		
StramenopilesEP00652Aphanomycesastaci_26138258__MOGT2_MOUSE_2-acylglycerol_O-acyltransferase_2_OS_	OG5	1.0		
StramenopilesEP00652Aphanomycesastaci_26138260__MOGT2_MOUSE_2-acylglycerol_O-acyltransferase_2_OS_	OG5	1.0		
StramenopilesEP00652Aphanomycesastaci_26138259__MOGT3_HUMAN_2-acylglycerol_O-acyltransferase_3_OS_	OG5	1.0		
