gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
MetazoaPlacozoaHoilungiahongkongensis_4572465__BDH_BOVIN_D-beta-hydroxybutyrate_dehydrogenase__mitochondrial_OS_	OG0	1.0		
MetazoaNematodaLoaloa_4411953__DHS16_CAEEL_3_beta-hydroxysteroid_dehydrogenase_dhs-16_OS_	OG0	1.0		
MetazoaNematodaLoaloa_4411883__DHS16_CAEEL_3_beta-hydroxysteroid_dehydrogenase_dhs-16_OS_	OG0	1.0		
MetazoaNematodaLoaloa_4411890__DHS16_CAEEL_3_beta-hydroxysteroid_dehydrogenase_dhs-16_OS_	OG0	1.0		
FungiFusariumoxysporumUP000002489_13357056__CITE_MONPU_Short_chain_dehydrogenase_mpl6_OS_	OG1	1.0		
PluriformeaEP00127Corallochytriumlimacisporum_21622973__YQJQ_BACSU_Uncharacterized_oxidoreductase_YqjQ_OS_	OG1	1.0		
HaptophytaEP00319Phaeocystisglobosa_14053853__RDH7_RAT_Retinol_dehydrogenase_7_OS_	OG2	1.0		
BreviataEP00033Pygsuiabiforma_5533362__Y2036_STAES_Uncharacterized_oxidoreductase_SE_2036_OS_	OG2	1.0		
FungiFusariumoxysporumUP000002489_13368734__RED1_MAGO7_Short-chain_dehydrogenase_RED1_OS_	OG2	1.0		
ApusomonadidaThecamonastrahensUP000054408_5477950__YUSZ_BACSU_Uncharacterized_oxidoreductase_YusZ_OS_	OG3	1.0		
MetazoaCnidariaGorgoniaventalina_3223255__DHB1_MOUSE_Estradiol_17-beta-dehydrogenase_1_OS_	OG3	1.0		
ChoanoflagellataEP00040Diaphanoecagrandis_10930887__BDH_RAT_D-beta-hydroxybutyrate_dehydrogenase__mitochondrial_OS_	OG4	1.0		
AmoebozoaEP00029Vermamoebavermiformis_5278917__BDH_MOUSE_D-beta-hydroxybutyrate_dehydrogenase__mitochondrial_OS_	OG4	1.0		
AmoebozoaEP00029Vermamoebavermiformis_5284378__BDH_MOUSE_D-beta-hydroxybutyrate_dehydrogenase__mitochondrial_OS_	OG4	1.0		
AmoebozoaEP00029Vermamoebavermiformis_5278918__BDH_BOVIN_D-beta-hydroxybutyrate_dehydrogenase__mitochondrial_OS_	OG4	1.0		
PluriformeaEP00127Corallochytriumlimacisporum_21623405__BDH_BOVIN_D-beta-hydroxybutyrate_dehydrogenase__mitochondrial_OS_	OG4	1.0		
PluriformeaEP00127Corallochytriumlimacisporum_21623711__RDH16_HUMAN_Retinol_dehydrogenase_16_OS_	OG4	1.0		
GlaucophytaEP00276Gloeochaetewittrockiana_13498723__FABG_PSEAE_3-oxoacyl-_acyl-carrier-protein__reductase_FabG_OS_	OG5	1.0		
MetazoaNematodaCaenorhabditiselegans_4313103__YCP9_SCHPO_Uncharacterized_oxidoreductase_C663.09c_OS_	OG5	1.0		
MetazoaPlacozoaEP00114TrichoplaxspH2_4509957__YCP8_SCHPO_Uncharacterized_oxidoreductase_C663.08c_OS_	OG5	1.0		
MetazoaNematodaCaenorhabditiselegans_4306390__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaNematodaCaenorhabditiselegans_4313952__DHB2_RAT_Estradiol_17-beta-dehydrogenase_2_OS_	OG5	1.0		
MetazoaCnidariaNematostellavectensis_3392446__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaVertebrateDaniorerio_5417633__YCP6_SCHPO_Uncharacterized_oxidoreductase_C663.06c_OS_	OG5	1.0		
StramenopilesPhytophthorainfestansUP000006643_26373408__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaCtenophoraMnemiopsisleidyi_3733556__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaArthropodaEP00090Calanusglacialis_686035__YCP6_SCHPO_Uncharacterized_oxidoreductase_C663.06c_OS_	OG5	1.0		
MetazoaCnidariaNematostellavectensis_3374502__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
StramenopilesEP00652Aphanomycesastaci_26148086__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaPlacozoaEP00114TrichoplaxspH2_4506281__YCP9_SCHPO_Uncharacterized_oxidoreductase_C663.09c_OS_	OG5	1.0		
ChoanoflagellataEP00050Salpingoecakvevrii_11195892__YCP8_SCHPO_Uncharacterized_oxidoreductase_C663.08c_OS_	OG5	1.0		
ChoanoflagellataEP00039Didymoecacostata_10876401__YCP9_SCHPO_Uncharacterized_oxidoreductase_C663.09c_OS_	OG5	1.0		
MetazoaNematodaCaenorhabditiselegans_4307844__YCP6_SCHPO_Uncharacterized_oxidoreductase_C663.06c_OS_	OG5	1.0		
MetazoaCnidariaClytiahemisphaerica_3097083__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaNematodaCaenorhabditiselegans_4320307__YCP6_SCHPO_Uncharacterized_oxidoreductase_C663.06c_OS_	OG5	1.0		
MetazoaAnnelidaHelobdellarobusta_104266__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
StramenopilesPhytophthorainfestansUP000006643_26378273__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaVertebrateEptatretusburgeri_6397174__YCP6_SCHPO_Uncharacterized_oxidoreductase_C663.06c_OS_	OG5	1.0		
MetazoaBrachiopodaLingulaunguis_1293939__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
FungiRhizopusmicrosporusUP000242254_13431416__YCP9_SCHPO_Uncharacterized_oxidoreductase_C663.09c_OS_	OG5	1.0		
ChoanoflagellataEP00047Mylnosigafluctuans_11123846__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaCnidariaNematostellavectensis_3392448__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaCnidariaAureliaGenome_3073919__PTALR_ARATH_NADPH-dependent_pterin_aldehyde_reductase_OS_	OG5	1.0		
MetazoaNematodaCaenorhabditiselegans_4320306__YCP6_SCHPO_Uncharacterized_oxidoreductase_C663.06c_OS_	OG5	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3822975__YCP6_SCHPO_Uncharacterized_oxidoreductase_C663.06c_OS_	OG5	1.0		
MetazoaCnidariaAureliaGenome_3074842__PTALR_ARATH_NADPH-dependent_pterin_aldehyde_reductase_OS_	OG5	1.0		
MetazoaCnidariaClytiahemisphaerica_3076800__YCP9_SCHPO_Uncharacterized_oxidoreductase_C663.09c_OS_	OG5	1.0		
MetazoaPlacozoaHoilungiahongkongensis_4564378__YCP6_SCHPO_Uncharacterized_oxidoreductase_C663.06c_OS_	OG5	1.0		
MalawimonadidaeEP00698Gefionellaokellyi_14690819__ISOH_RHOSX_1-hydroxy-2-glutathionyl-2-methyl-3-butene_dehydrogenase_OS_	OG5	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3822976__YCP6_SCHPO_Uncharacterized_oxidoreductase_C663.06c_OS_	OG5	1.0		
ChloroplastidaEP00738Chloropiconprimus_8603091__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaCnidariaPoritesaustraliensis_3550317__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
IchthyosporeaEP00126Sphaerothecumdestruens_14610648__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaHemichordataSaccoglossuskowalevskii_4073408__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
StramenopilesPhytophthorainfestansUP000006643_26378281__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaPlacozoaHoilungiahongkongensis_4543638__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaCnidariaNematostellavectensis_3381725__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
FungiRhizopusmicrosporusUP000242254_13431769__YCP9_SCHPO_Uncharacterized_oxidoreductase_C663.09c_OS_	OG5	1.0		
StramenopilesPhytophthorainfestansUP000006643_26378283__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaCnidariaPoritesaustraliensis_3536256__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaPlacozoaHoilungiahongkongensis_4543637__RDH16_MOUSE_Retinol_dehydrogenase_16_OS_	OG5	1.0		
MetazoaPlacozoaEP00114TrichoplaxspH2_4504470__YCP9_SCHPO_Uncharacterized_oxidoreductase_C663.09c_OS_	OG5	1.0		
MetazoaMolluscaEP00106Octopusbimaculoides_4177808__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaBrachiopodaLingulaunguis_1295237__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaArthropodaEP00090Calanusglacialis_681647__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
StramenopilesPhytophthorainfestansUP000006643_26384463__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
ChoanoflagellataEP00047Mylnosigafluctuans_11118879__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
ChoanoflagellataEP00047Mylnosigafluctuans_11134674__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaAnnelidaEP00103Capitellateleta_72906__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaNematodaCaenorhabditiselegans_4310115__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
TelonemiaP00656Telonemasubtile_26551469__YCP6_SCHPO_Uncharacterized_oxidoreductase_C663.06c_OS_	OG5	1.0		
MetazoaCnidariaGorgoniaventalina_3216882__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaBrachiopodaLingulaunguis_1303929__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaCnidariaHydramagnapapillata_3256027__YCP8_SCHPO_Uncharacterized_oxidoreductase_C663.08c_OS_	OG5	1.0		
StramenopilesPhytophthorainfestansUP000006643_26383055__DCXR_CAEEL_L-xylulose_reductase_OS_	OG5	1.0		
MalawimonadidaeEP00698Gefionellaokellyi_14691213__ISOH_RHOSX_1-hydroxy-2-glutathionyl-2-methyl-3-butene_dehydrogenase_OS_	OG5	1.0		
MetazoaArthropodaDaphniapulex_210938__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaCnidariaHydramagnapapillata_3260669__YCP8_SCHPO_Uncharacterized_oxidoreductase_C663.08c_OS_	OG5	1.0		
MetazoaPlacozoaHoilungiahongkongensis_4570676__YCP9_SCHPO_Uncharacterized_oxidoreductase_C663.09c_OS_	OG5	1.0		
MetazoaVertebrateDaniorerio_5428738__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaCnidariaNematostellavectensis_3381724__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaCnidariaNematostellavectensis_3392447__CSGA_MYXXA_C-factor_OS_	OG5	1.0		
MetazoaNematodaCaenorhabditiselegans_4319309__YCP9_SCHPO_Uncharacterized_oxidoreductase_C663.09c_OS_	OG5	1.0		
CentroplasthelidaEP00300ChoanocystisspHF7_5596330__CBR1_MACFA_Carbonyl_reductase__NADPH__1_OS_	OG5	1.0		
ApusomonadidaThecamonastrahensUP000054408_5484168__SDR2B_ARATH_Short-chain_dehydrogenase_reductase_2b_OS_	OG5	1.0		
FungiFusariumoxysporumUP000002489_13364047__TROPE_TALSN_Short-chain_dehydrogenase_reductase_tropE_OS_	OG5	1.0		
RotosphaeridaEP00160Parvulariaatlantis_23156273__CBR1_PIG_Carbonyl_reductase__NADPH__1_OS_	OG5	1.0		
FungiFusariumoxysporumUP000002489_13367810__EUPG_PHOSX_Short-chain_dehydrogenase_reductase_eupG_OS_	OG5	1.0		
FungiFusariumoxysporumUP000002489_13362295__EUPG_PHOSX_Short-chain_dehydrogenase_reductase_eupG_OS_	OG5	1.0		
GlaucophytaEP00276Gloeochaetewittrockiana_13484695__MNR1_CAPAN____-neomenthol_dehydrogenase_OS_	OG5	1.0		
FungiFusariumoxysporumUP000002489_13359763__TROPE_TALSN_Short-chain_dehydrogenase_reductase_tropE_OS_	OG5	1.0		
