gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
HeteroloboseaEP00761Pharyngomonaskirbyi_14493207__CP4Z1_HUMAN_Cytochrome_P450_4Z1_OS_	OG0	1.0		
MetazoaHemichordataSaccoglossuskowalevskii_4047302__CP1B1_HUMAN_Cytochrome_P450_1B1_OS_	OG0	1.0		
MetazoaCnidariaAnthopleuraelegantissima_2998117__CP17A_ICTPU_Steroid_17-alpha-hydroxylase_17_20_lyase_OS_	OG0	1.0		
JakobidaEP00762Andaluciagodoyi_14659233__CP3A6_RABIT_Cytochrome_P450_3A6_OS_	OG0	1.0		
MetazoaCnidariaMontastraeacavernosa_3342456__CP4F4_RAT_Cytochrome_P450_4F4_OS_	OG0	1.0		
GlaucophytaEP00276Gloeochaetewittrockiana_13494180__CP3AO_SHEEP_Cytochrome_P450_3A24_OS_	OG0	1.0		
RhodophytaEP00185Porphyridiumpurpureum_23045706__C71DI_MENSP_Cytochrome_P450_71D18_OS_	OG0	1.0		
MetazoaEchinodermataAcanthasterplanci_3792673__CP3A2_RAT_Cytochrome_P450_3A2_OS_	OG0	1.0		
MetazoaPoriferaStylissacarteri_5072952__THAS_PIG_Thromboxane-A_synthase_OS_	OG0	1.0		
MetazoaEchinodermataAcanthasterplanci_3790277__C13A8_CAEEL_Putative_cytochrome_P450_CYP13A8_OS_	OG0	1.0		
FilastreaCapsasporaowczarzakiUP000008743_12979495__CPXB_BACMB_Bifunctional_cytochrome_P450_NADPH--P450_reductase_OS_	OG1	1.0		
MetazoaCnidariaAstreoporasp_3029442__VERC_CLORO_Cytochrome_P450_monooxygenase_verC_OS_	OG1	1.0		
FungiSpizellomycespunctatusUP000053201_13454302__CP4V2_RAT_Cytochrome_P450_4V2_OS_	OG1	1.0		
MetazoaCnidariaPoritesaustraliensis_3543646__VERC_CLORO_Cytochrome_P450_monooxygenase_verC_OS_	OG1	1.0		
MetazoaCnidariaGorgoniaventalina_3236634__CP3A5_HUMAN_Cytochrome_P450_3A5_OS_	OG1	1.0		
MetazoaArthropodaEP00090Calanusglacialis_701176__C12B1_DROAC_Cytochrome_P450_12b1__mitochondrial_OS_	OG1	1.0		
RhodophytaEP00185Porphyridiumpurpureum_23047486__CP4B1_RABIT_Cytochrome_P450_4B1_OS_	OG2	1.0		
MetazoaCnidariaPoritesaustraliensis_3535959__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaGorgoniaventalina_3224306__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5091757__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAstreoporasp_3037712__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaFungiascutaria_3187652__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCtenophoraMnemiopsisleidyi_3735892__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaStylophorapistillata_3679721__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5082641__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaMadracisauretenra_3287884__CP3AI_RAT_Cytochrome_P450_3A18_OS_	OG2	1.0		
MetazoaCtenophoraMnemiopsisleidyi_3735412__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAnthopleuraelegantissima_3022917__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaRotiferaBrachionusplicatilis_5236460__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaNematostellavectensis_3384901__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaNematostellavectensis_3380983__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaMadracisauretenra_3305418__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaMadracisauretenra_3283415__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5088119__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3832149__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaPoritesaustraliensis_3542091__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaMadracisauretenra_3277973__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5088118__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaFungiascutaria_3180132__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaEphydatiamuelleri_4921922__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3805110__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaVertebrateDaniorerio_5430592__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaMontastraeacavernosa_3324347__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5082920__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaEphydatiamuelleri_4929474__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCtenophoraMnemiopsisleidyi_3726178__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCtenophoraMnemiopsisleidyi_3721148__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2821309__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaRotiferaBrachionusplicatilis_5252200__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaPoritesaustraliensis_3537292__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaMontastraeacavernosa_3324348__CP343_HUMAN_Cytochrome_P450_3A43_OS_	OG2	1.0		
MetazoaCnidariaGorgoniaventalina_3223242__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaMontastraeacavernosa_3352042__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5086249__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCtenophoraMnemiopsisleidyi_3732620__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataAcanthasterplanci_3799095__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAstreoporasp_3036998__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCtenophoraMnemiopsisleidyi_3724439__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaFungiascutaria_3187910__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaGorgoniaventalina_3225925__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAnthopleuraelegantissima_3018025__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5097212__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaBryozoaBugulaneritina_2506141__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCtenophoraMnemiopsisleidyi_3726613__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5082910__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaHaliclonatubifera_4954205__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCtenophoraMnemiopsisleidyi_3721471__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaBryozoaBugulaneritina_2509561__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaStylophorapistillata_3669941__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAnthopleuraelegantissima_3008119__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaPoritesaustraliensis_3543728__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataAcanthasterplanci_3778483__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5080390__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaPoritesaustraliensis_3546981__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataAcanthasterplanci_3801857__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaNematostellavectensis_3376359__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaRotiferaBrachionusplicatilis_5255589__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5074033__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAnthopleuraelegantissima_3003872__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAstreoporasp_3036169__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaMontastraeacavernosa_3351054__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAnthopleuraelegantissima_3003871__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCtenophoraMnemiopsisleidyi_3721473__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5085191__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAnthopleuraelegantissima_3018188__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCtenophoraPleurobrachiabachei_3758294__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAcroporadigitifera_2947280__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCtenophoraMnemiopsisleidyi_3729023__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaFungiascutaria_3201838__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCtenophoraMnemiopsisleidyi_3721472__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3832774__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3815922__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3811851__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaStylophorapistillata_3673900__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCtenophoraMnemiopsisleidyi_3734143__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3836133__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaVertebrateDaniorerio_5428672__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaNematostellavectensis_3391041__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaEphydatiamuelleri_4913753__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaGorgoniaventalina_3208660__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5073243__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaVertebrateDaniorerio_5425197__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3834222__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaFungiascutaria_3197411__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAureliaGenome_3069746__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5093355__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaEP00118Oscarellapearsei_4813622__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5073245__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaFungiascutaria_3205770__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAcroporadigitifera_2944211__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaFungiascutaria_3179008__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaStylophorapistillata_3682675__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCtenophoraMnemiopsisleidyi_3724438__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataAcanthasterplanci_3794010__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaEphydatiamuelleri_4924150__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaEphydatiamuelleri_4921923__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaVertebrateDaniorerio_5411976__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3836778__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3815870__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaBrachiopodaLingulaunguis_1290771__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaStylissacarteri_5082921__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaFungiascutaria_3188822__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3805473__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAcroporadigitifera_2944619__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaMadracisauretenra_3284388__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataAcanthasterplanci_3790574__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaVertebrateHomosapiens_6470814__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataAcanthasterplanci_3778510__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAstreoporasp_3045028__CP3AI_RAT_Cytochrome_P450_3A18_OS_	OG2	1.0		
MetazoaCnidariaNematostellavectensis_3380982__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaPoriferaEphydatiamuelleri_4921918__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaStylophorapistillata_3664254__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaGorgoniaventalina_3226448__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaEchinodermataAcanthasterplanci_3790572__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCnidariaAcroporadigitifera_2930945__CP46A_MOUSE_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
MetazoaCtenophoraPleurobrachiabachei_3755510__CP46A_HUMAN_Cholesterol_24-hydroxylase_OS_	OG2	1.0		
