gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
MetazoaPoriferaSyconciliatum_5143426__PLAT1_MOUSE_Phospholipase_A_and_acyltransferase_1_OS_	OG0	1.0		
MetazoaPoriferaLeucosoleniacomplicata_5035242__PLAT1_MOUSE_Phospholipase_A_and_acyltransferase_1_OS_	OG0	1.0		
MetazoaPoriferaLeucosoleniacomplicata_4984178__PLAT1_MOUSE_Phospholipase_A_and_acyltransferase_1_OS_	OG0	1.0		
MetazoaVertebrateDaniorerio_5416499__LRAT_MOUSE_Lecithin_retinol_acyltransferase_OS_	OG1	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2796139__PLAT1_MOUSE_Phospholipase_A_and_acyltransferase_1_OS_	OG1	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2796061__PLAT1_HUMAN_Phospholipase_A_and_acyltransferase_1_OS_	OG1	1.0		
MetazoaHemichordataSaccoglossuskowalevskii_4048805__PLAT3_RAT_Phospholipase_A_and_acyltransferase_3_OS_	OG1	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2796045__PLAT3_RAT_Phospholipase_A_and_acyltransferase_3_OS_	OG1	1.0		
MetazoaRotiferaBrachionusplicatilis_5253929__PLAT3_RAT_Phospholipase_A_and_acyltransferase_3_OS_	OG1	1.0		
MetazoaCnidariaAnthopleuraelegantissima_2997299__PLAT3_RAT_Phospholipase_A_and_acyltransferase_3_OS_	OG1	1.0		
MetazoaCnidariaStylophorapistillata_3678277__PLAT3_RAT_Phospholipase_A_and_acyltransferase_3_OS_	OG1	1.0		
MetazoaCnidariaAnthopleuraelegantissima_3005089__PLAT3_HUMAN_Phospholipase_A_and_acyltransferase_3_OS_	OG1	1.0		
MetazoaBrachiopodaLingulaunguis_1299417__PLAT3_HUMAN_Phospholipase_A_and_acyltransferase_3_OS_	OG1	1.0		
MetazoaHemichordataSaccoglossuskowalevskii_4057012__PLAT3_RAT_Phospholipase_A_and_acyltransferase_3_OS_	OG1	1.0		
MetazoaMolluscaLottiagigantea_4204378__PLAT3_MOUSE_Phospholipase_A_and_acyltransferase_3_OS_	OG1	1.0		
