in_gene	out_gene	branch_support	ev_type	sos
IchthyosporeaSphaeroformaarcticaUP000054560_14622464__PLPL1_HUMAN_Patatin-like_phospholipase_domain-containing_protein_1_OS_	ChoanoflagellataEP00037Helgoecanana_10801052__PLPL3_MOUSE_1-acylglycerol-3-phosphate_O-acyltransferase_Pnpla3_OS_	1.0	S	0.0
IchthyosporeaSphaeroformaarcticaUP000054560_14622464__PLPL1_HUMAN_Patatin-like_phospholipase_domain-containing_protein_1_OS_	ChoanoflagellataEP00039Didymoecacostata_10883315__PLPL2_CAEEL_Patanin-like_phospholipase_domain-containing_protein_atgl-1_OS_	1.0	S	0.0
IchthyosporeaSphaeroformaarcticaUP000054560_14622464__PLPL1_HUMAN_Patatin-like_phospholipase_domain-containing_protein_1_OS_	ChoanoflagellataEP00035Acanthoecaspectabilis_10719965__PLPL2_CAEEL_Patanin-like_phospholipase_domain-containing_protein_atgl-1_OS_	1.0	S	0.0
IchthyosporeaSphaeroformaarcticaUP000054560_14622464__PLPL1_HUMAN_Patatin-like_phospholipase_domain-containing_protein_1_OS_	ChoanoflagellataEP00040Diaphanoecagrandis_10909737__PLPL2_HUMAN_Patatin-like_phospholipase_domain-containing_protein_2_OS_	1.0	S	0.0
IchthyosporeaSphaeroformaarcticaUP000054560_14622464__PLPL1_HUMAN_Patatin-like_phospholipase_domain-containing_protein_1_OS_	HaptophytaEP00319Phaeocystisglobosa_14069363__PLPL2_HUMAN_Patatin-like_phospholipase_domain-containing_protein_2_OS_	1.0	S	0.0
ChoanoflagellataEP00039Didymoecacostata_10883315__PLPL2_CAEEL_Patanin-like_phospholipase_domain-containing_protein_atgl-1_OS_	ChoanoflagellataEP00035Acanthoecaspectabilis_10719965__PLPL2_CAEEL_Patanin-like_phospholipase_domain-containing_protein_atgl-1_OS_	1.0	S	0.0
ChoanoflagellataEP00039Didymoecacostata_10883315__PLPL2_CAEEL_Patanin-like_phospholipase_domain-containing_protein_atgl-1_OS_	ChoanoflagellataEP00037Helgoecanana_10801052__PLPL3_MOUSE_1-acylglycerol-3-phosphate_O-acyltransferase_Pnpla3_OS_	1.0	S	0.0
ChoanoflagellataEP00039Didymoecacostata_10883315__PLPL2_CAEEL_Patanin-like_phospholipase_domain-containing_protein_atgl-1_OS_	ChoanoflagellataEP00040Diaphanoecagrandis_10909737__PLPL2_HUMAN_Patatin-like_phospholipase_domain-containing_protein_2_OS_	1.0	S	0.0
HaptophytaEP00319Phaeocystisglobosa_14069363__PLPL2_HUMAN_Patatin-like_phospholipase_domain-containing_protein_2_OS_	ChoanoflagellataEP00035Acanthoecaspectabilis_10719965__PLPL2_CAEEL_Patanin-like_phospholipase_domain-containing_protein_atgl-1_OS_	1.0	S	0.0
HaptophytaEP00319Phaeocystisglobosa_14069363__PLPL2_HUMAN_Patatin-like_phospholipase_domain-containing_protein_2_OS_	ChoanoflagellataEP00037Helgoecanana_10801052__PLPL3_MOUSE_1-acylglycerol-3-phosphate_O-acyltransferase_Pnpla3_OS_	1.0	S	0.0
