gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
HeteroloboseaEP00761Pharyngomonaskirbyi_14491034__AOFA_DICDI_Probable_flavin-containing_monoamine_oxidase_A_OS_	OG0	1.0		
MetazoaArthropodaDaphniapulex_193742__SMOX_HUMAN_Spermine_oxidase_OS_	OG0	1.0		
MetazoaPlatyhelminthesEchinococcusmultilocularis_4613164__KDM1A_HUMAN_Lysine-specific_histone_demethylase_1A_OS_	OG1	1.0		
RhodophytaEP00185Porphyridiumpurpureum_23049150__CRTSO_DAUCA_Prolycopene_isomerase__chloroplastic_OS_	OG1	1.0		
TelonemiaP00656Telonemasubtile_26515706__RETST_DANRE_All-trans-retinol_13_14-reductase_OS_	OG1	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2825523__PYRD2_HUMAN_Pyridine_nucleotide-disulfide_oxidoreductase_domain-containing_protein_2_OS_	OG1	1.0		
CentroplasthelidaEP00300ChoanocystisspHF7_5626215__RETST_HUMAN_All-trans-retinol_13_14-reductase_OS_	OG1	1.0		
ChoanoflagellataEP00037Helgoecanana_10799970__PYRD2_RAT_Pyridine_nucleotide-disulfide_oxidoreductase_domain-containing_protein_2_OS_	OG1	1.0		
MalawimonadidaeEP00698Gefionellaokellyi_14701936__RETST_MOUSE_All-trans-retinol_13_14-reductase_OS_	OG1	1.0		
MetazoaCephalochordataBranchiostomabelcheri_2808031__RETST_DANRE_All-trans-retinol_13_14-reductase_OS_	OG1	1.0		
CentroplasthelidaEP00300ChoanocystisspHF7_5600539__PYRD2_RAT_Pyridine_nucleotide-disulfide_oxidoreductase_domain-containing_protein_2_OS_	OG1	1.0		
PluriformeaEP00127Corallochytriumlimacisporum_21623211__CRTI_PHYB8_Phytoene_desaturase_OS_	OG1	1.0		
MetazoaBryozoaBugulaneritina_2367144__RETST_DANRE_All-trans-retinol_13_14-reductase_OS_	OG1	1.0		
HaptophytaEP00327Prymnesiumparvum_14278966__RETST_DANRE_All-trans-retinol_13_14-reductase_OS_	OG1	1.0		
RhodelphisEP00736Rhodelphismarinus_22803832__RETST_DANRE_All-trans-retinol_13_14-reductase_OS_	OG1	1.0		
CryptophyceaeGuillardiathetaUP000011087_12248920__CRTI_CERNC_Phytoene_desaturase_OS_	OG1	1.0		
ChloroplastidaEP00248Marchantiapolymorpha_7467148__CRTS1_ONCHC_Prolycopene_isomerase_1__chloroplastic_OS_	OG1	1.0		
MetazoaArthropodaEP00090Calanusglacialis_677060__PYRD2_RAT_Pyridine_nucleotide-disulfide_oxidoreductase_domain-containing_protein_2_OS_	OG1	1.0		
MetazoaPoriferaLeucosoleniacomplicata_5020092__RETST_DANRE_All-trans-retinol_13_14-reductase_OS_	OG1	1.0		
MetazoaCnidariaClytiahemisphaerica_3094255__RETST_DANRE_All-trans-retinol_13_14-reductase_OS_	OG1	1.0		
