gene	orthogroup	orthogroup_support	reference_ortholog	reference_support
FungiFusariumoxysporumUP000002489_13363318__UD2C1_RABIT_UDP-glucuronosyltransferase_2C1__Fragment__OS_	OG0	1.0		
MetazoaPoriferaStylissacarteri_5082389__U71D1_ARATH_UDP-glycosyltransferase_71D1_OS_	OG0	1.0		
StramenopilesEP00652Aphanomycesastaci_26140216__UD3A1_MOUSE_UDP-glucuronosyltransferase_3A1_OS_	OG0	1.0		
MetazoaPoriferaStylissacarteri_5098577__UD2C1_RABIT_UDP-glucuronosyltransferase_2C1__Fragment__OS_	OG0	1.0		
MetazoaPoriferaStylissacarteri_5083576__UD2B9_MACFA_UDP-glucuronosyltransferase_2B9_OS_	OG0	1.0		
RhodophytaEP00185Porphyridiumpurpureum_23049583__UD3A2_HUMAN_UDP-glucuronosyltransferase_3A2_OS_	OG0	1.0		
MetazoaPoriferaAmphimedonqueenslandica_4704353__CGT_RAT_2-hydroxyacylsphingosine_1-beta-galactosyltransferase_OS_	OG0	1.0		
MetazoaPoriferaStylissacarteri_5072950__U71D1_ARATH_UDP-glycosyltransferase_71D1_OS_	OG0	1.0		
MetazoaPoriferaStylissacarteri_5086603__UD2C1_RABIT_UDP-glucuronosyltransferase_2C1__Fragment__OS_	OG0	1.0		
MetazoaPoriferaStylissacarteri_5095899__UD2C1_RABIT_UDP-glucuronosyltransferase_2C1__Fragment__OS_	OG0	1.0		
RhodophytaEP00185Porphyridiumpurpureum_23040497__UDPE_NPVCD_Ecdysteroid_UDP-glucosyltransferase_OS_	OG0	1.0		
RhodelphisEP00736Rhodelphismarinus_22809854__UD2B4_HUMAN_UDP-glucuronosyltransferase_2B4_OS_	OG0	1.0		
MetazoaPoriferaStylissacarteri_5079229_	OG0	1.0		
MetazoaPoriferaStylissacarteri_5098026_	OG0	1.0		
MetazoaPoriferaEphydatiamuelleri_4922748__UDB33_MACMU_UDP-glucuronosyltransferase_2B33_OS_	OG0	1.0		
MetazoaPoriferaAmphimedonqueenslandica_4704422__UD11_HUMAN_UDP-glucuronosyltransferase_1A1_OS_	OG0	1.0		
MetazoaPoriferaAmphimedonqueenslandica_4709962__UDB23_MACFA_UDP-glucuronosyltransferase_2B23_OS_	OG0	1.0		
MetazoaPoriferaStylissacarteri_5080206__CGT_RAT_2-hydroxyacylsphingosine_1-beta-galactosyltransferase_OS_	OG0	1.0		
MetazoaPoriferaEphydatiamuelleri_4911006__UDB33_MACMU_UDP-glucuronosyltransferase_2B33_OS_	OG0	1.0		
MetazoaPoriferaStylissacarteri_5098025__UD16_RAT_UDP-glucuronosyltransferase_1-6_OS_	OG0	1.0		
StramenopilesPhytophthorainfestansUP000006643_26379415__UD13_HUMAN_UDP-glucuronosyltransferase_1A3_OS_	OG0	1.0		
MetazoaPoriferaAmphimedonqueenslandica_4689786__UDB33_MACMU_UDP-glucuronosyltransferase_2B33_OS_	OG0	1.0		
MetazoaPoriferaStylissacarteri_5085643__UDB15_HUMAN_UDP-glucuronosyltransferase_2B15_OS_	OG0	1.0		
MetazoaPoriferaStylissacarteri_5084853__UDB33_MACMU_UDP-glucuronosyltransferase_2B33_OS_	OG0	1.0		
