in_gene	out_gene	branch_support	ev_type	sos
TelonemiaP00656Telonemasubtile_26525536__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	RhodelphisEP00736Rhodelphismarinus_22809221__WAXS2_ARATH_Probable_long-chain-alcohol_O-fatty-acyltransferase_2_OS_	1.0	S	0.0
TelonemiaP00656Telonemasubtile_26525536__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	ChoanoflagellataEP00039Didymoecacostata_10871273__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
MetazoaUrochordataOikopleuradioica_5360473__PORCN_ANOGA_Protein-serine_O-palmitoleoyltransferase_porcupine_OS_	RhodelphisEP00736Rhodelphismarinus_22809221__WAXS2_ARATH_Probable_long-chain-alcohol_O-fatty-acyltransferase_2_OS_	1.0	S	0.0
MetazoaUrochordataOikopleuradioica_5360473__PORCN_ANOGA_Protein-serine_O-palmitoleoyltransferase_porcupine_OS_	ChoanoflagellataEP00039Didymoecacostata_10871273__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
RhodophytaEP00185Porphyridiumpurpureum_23047108__DGAT1_MOUSE_Diacylglycerol_O-acyltransferase_1_OS_	HeteroloboseaEP00761Pharyngomonaskirbyi_14483709__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
RhodophytaEP00185Porphyridiumpurpureum_23047108__DGAT1_MOUSE_Diacylglycerol_O-acyltransferase_1_OS_	RotosphaeridaEP00160Parvulariaatlantis_23171830__DAT1C_SOYBN_Diacylglycerol_O-acyltransferase_1C_OS_	1.0	S	0.0
RhodophytaEP00185Porphyridiumpurpureum_23047108__DGAT1_MOUSE_Diacylglycerol_O-acyltransferase_1_OS_	RotosphaeridaEP00160Parvulariaatlantis_23171829__DAT1B_SOYBN_Diacylglycerol_O-acyltransferase_1B_OS_	1.0	S	0.0
RhodophytaGaldieriasulphurariaUP000030680_23116817__DAT1B_SOYBN_Diacylglycerol_O-acyltransferase_1B_OS_	HeteroloboseaEP00761Pharyngomonaskirbyi_14483709__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
RhodophytaGaldieriasulphurariaUP000030680_23116817__DAT1B_SOYBN_Diacylglycerol_O-acyltransferase_1B_OS_	RotosphaeridaEP00160Parvulariaatlantis_23171830__DAT1C_SOYBN_Diacylglycerol_O-acyltransferase_1C_OS_	1.0	S	0.0
RhodophytaGaldieriasulphurariaUP000030680_23116817__DAT1B_SOYBN_Diacylglycerol_O-acyltransferase_1B_OS_	RotosphaeridaEP00160Parvulariaatlantis_23171829__DAT1B_SOYBN_Diacylglycerol_O-acyltransferase_1B_OS_	1.0	S	0.0
MetazoaUrochordataOikopleuradioica_5360473__PORCN_ANOGA_Protein-serine_O-palmitoleoyltransferase_porcupine_OS_	TelonemiaP00656Telonemasubtile_26525536__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
ChoanoflagellataEP00039Didymoecacostata_10871273__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	RhodelphisEP00736Rhodelphismarinus_22809221__WAXS2_ARATH_Probable_long-chain-alcohol_O-fatty-acyltransferase_2_OS_	1.0	S	0.0
BreviataEP00033Pygsuiabiforma_5529826__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	MetazoaPoriferaAmphimedonqueenslandica_4713813__DGAT1_MOUSE_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
BreviataEP00033Pygsuiabiforma_5529826__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	ChoanoflagellataEP00047Mylnosigafluctuans_11126316__DGAT1_MOUSE_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
BreviataEP00033Pygsuiabiforma_5529826__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	MetazoaCnidariaAstreoporasp_3031473__DGAT1_RAT_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
BreviataEP00033Pygsuiabiforma_5529826__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	MetazoaUrochordataOikopleuradioica_5366837__DGAT1_MOUSE_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
BreviataEP00033Pygsuiabiforma_5529826__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	ChoanoflagellataEP00050Salpingoecakvevrii_11191782__DGAT1_MOUSE_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
BreviataEP00033Pygsuiabiforma_5529826__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	RotosphaeridaFonticulaalbaUP000030693_23191143__DGAT1_MOUSE_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
BreviataEP00033Pygsuiabiforma_5529826__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	ApusomonadidaThecamonastrahensUP000054408_5480042__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
BreviataEP00033Pygsuiabiforma_5529826__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	MetazoaEchinodermataEP00057Strongylocentrotuspurpuratus_3831980__DGAT1_MOUSE_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
BreviataEP00033Pygsuiabiforma_5529826__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	MetazoaCnidariaAstreoporasp_3031194__DGAT1_CHLAE_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
BreviataEP00033Pygsuiabiforma_5529826__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	MetazoaBryozoaBugulaneritina_2578493__DGAT1_BOVIN_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
BreviataEP00033Pygsuiabiforma_5529826__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	TelonemiaP00656Telonemasubtile_26514977__DAT1A_SOYBN_Diacylglycerol_O-acyltransferase_1A_OS_	1.0	S	0.0
BreviataEP00033Pygsuiabiforma_5529826__DGAT1_DICDI_Diacylglycerol_O-acyltransferase_1_OS_	MetazoaHemichordataSaccoglossuskowalevskii_4052373__DGAT1_MOUSE_Diacylglycerol_O-acyltransferase_1_OS_	1.0	S	0.0
